beta,radius,ref_count,q05_ess_fraction,max_split_logZ_per_P_diff,mean_smc_mh_acceptance,min_smc_cess_fraction,mean_smc_step_count,mean_weighted_accuracy,mean_weighted_ce_l2_ratio
0.05,0.13,2700,0.9263564705879329,2.5225193075537237e-05,0.9859436487268518,0.8311016018930447,1.0,0.8167069537066972,0.4283850626271044
0.05,0.14,2700,0.9136335182490293,2.2162620968013035e-05,0.9846375868055556,0.8330754659759942,1.0,0.8027403078879672,0.4817858338639349
0.05,0.15,2700,0.9016428921095818,2.7273346971119792e-05,0.9832107204861111,0.7944892622643162,1.0,0.7895284427569336,0.5353619920868254
0.05,0.16,2700,0.8868431353188302,3.1381290149573614e-05,0.9819578269675926,0.7841877805173063,1.0,0.7770354527095801,0.5887490947080514
0.05,0.17,2700,0.874074078180529,2.7066963126077553e-05,0.9805844907407407,0.7816732521477018,1.0,0.7652133648236514,0.641927819093904
0.05,0.18,2700,0.8598558106915697,2.912414847459747e-05,0.9793428096064815,0.7595318268242048,1.0,0.7540464880252342,0.694701655628905
0.05,0.19,2700,0.8473221923639709,3.552136811906549e-05,0.9779073230131172,0.7500000000215009,1.001111111111111,0.7434998526393777,0.7467454208356653
0.05,0.2,2700,0.8347210714500714,3.597523692855812e-05,0.9767030767746915,0.7500000000047397,1.0014814814814814,0.7335313775115246,0.7982114294240864
0.05,0.21,2700,0.8183092580219452,3.291037710793528e-05,0.9753980396412038,0.75000000000515,1.0018518518518518,0.7241391989539759,0.8485027763027737
0.05,0.22,2700,0.8070894972921658,4.6334321804740665e-05,0.9742119984567902,0.750000000000615,1.0055555555555555,0.715216653855653,0.8983627965760554
0.05,0.23,2700,0.7947142005191263,4.5882553855567975e-05,0.9727927879050926,0.7500000000048282,1.01,0.7067820323565467,0.9470112371314131
0.05,0.24,2700,0.7831255283126289,4.049455605137368e-05,0.9715473090277781,0.7500000000002259,1.0185185185185186,0.6987894323772222,0.9947733664030889
0.05,0.25,2700,0.7784667758851492,4.98075330724825e-05,0.970283444251543,0.7500000000001047,1.047037037037037,0.6912411282104269,1.0415273654424402
0.05,0.26,2700,0.7728796026643062,4.3576544183754405e-05,0.9693212890625004,0.7500000000000261,1.0740740740740742,0.6840473005802371,1.0872918121011592
0.05,0.27,2700,0.7691416821887097,5.187130220848277e-05,0.9679160638503088,0.7500000000003432,1.114074074074074,0.677234393931858,1.1323035084446846
0.05,0.28,2700,0.7670283146407427,6.28959076551359e-05,0.9666734784915119,0.7500000000000807,1.1685185185185185,0.6708049016945018,1.1759877069628077
0.05,0.29,2700,0.7657113366393694,5.0286986689579744e-05,0.9655247516396606,0.750000000000108,1.2214814814814814,0.6646608266778182,1.2187978567812061
0.05,0.3,2700,0.7663927139405483,4.351062892878369e-05,0.9644158709490742,0.7500000000000994,1.2925925925925925,0.658865517486826,1.260186449066318
0.05,0.31,2700,0.767195578499012,5.597718565522427e-05,0.9632520134066359,0.7500000000000074,1.3525925925925926,0.6533146434570082,1.3009182517526747
0.05,0.32,2700,0.7664106364612834,6.269051302428879e-05,0.9622140239197524,0.7500000000000594,1.4055555555555554,0.6480915778605485,1.3405133607419528
0.05,0.33,2700,0.767560420604031,5.8954339508990005e-05,0.9612979841820982,0.7500000000000008,1.4592592592592593,0.6430642380425746,1.3792110157539306
0.05,0.34,2700,0.7689861117179838,6.525494090625277e-05,0.96046615788966,0.7500000000000168,1.5092592592592593,0.6383114734906439,1.416904229112947
0.05,0.35,2700,0.7705413951224479,5.9082199556744604e-05,0.9593044102044747,0.7500000000000001,1.5477777777777777,0.6337933686910633,1.4533830675825203
0.05,0.36,2700,0.7710214397355042,6.286520331760387e-05,0.9584529320987656,0.7500000000000354,1.5866666666666667,0.6294759511355562,1.4892600073275284
0.05,0.37,2700,0.7713477879778144,7.24649970307373e-05,0.9575657672646616,0.7500000000000634,1.62,0.6253631823307346,1.5240708912265803
0.05,0.38,2700,0.7721877729544459,6.462976817245607e-05,0.9565166256751544,0.7500000000000048,1.6474074074074074,0.6214497637667531,1.557806481830072
0.05,0.39,2700,0.7735826647200692,7.153559474790648e-05,0.9556810619212964,0.7500000000000141,1.675185185185185,0.6177002560129791,1.5905054305760027
0.05,0.4,2700,0.7770741216516269,7.528536951877629e-05,0.9545960527584878,0.7500000000000061,1.702962962962963,0.6140855156321525,1.6230119327711217
0.05,0.41,2700,0.7779485384123892,7.26798255976002e-05,0.9538059413580243,0.750000000000094,1.7237037037037037,0.6106554431902119,1.6541121915990262
0.05,0.42,2700,0.7805263191499111,7.26244867297264e-05,0.9530044970100311,0.7500000000000374,1.7414814814814814,0.6074053386767841,1.6842359799866409
