cell_id,series,dataset_id,seed,beta_ising,rewire_p,scale,C_s,rho_s
cell_beta_0p05_p_0p00,beta,24,2401234,0.05,0.0,0.5,0.4520863324969589,0.09582733500608225
cell_beta_0p05_p_0p00,beta,24,2401234,0.05,0.0,1.0,0.4540127939836837,0.0919744120326326
cell_beta_0p05_p_0p00,beta,24,2401234,0.05,0.0,2.0,0.45495168750996706,0.09009662498006586
cell_beta_0p05_p_0p00,beta,24,2401234,0.05,0.0,4.0,0.4552111121068977,0.08957777578620464
cell_beta_0p05_p_0p00,beta,25,2501234,0.05,0.0,0.5,0.4753412310729472,0.049317537854105684
cell_beta_0p05_p_0p00,beta,25,2501234,0.05,0.0,1.0,0.4656861366644677,0.06862772667106465
cell_beta_0p05_p_0p00,beta,25,2501234,0.05,0.0,2.0,0.46367941498653975,0.07264117002692048
cell_beta_0p05_p_0p00,beta,25,2501234,0.05,0.0,4.0,0.4632522399127273,0.07349552017454543
cell_beta_0p05_p_0p00,beta,26,2601234,0.05,0.0,0.5,0.4410109206312925,0.11797815873741502
cell_beta_0p05_p_0p00,beta,26,2601234,0.05,0.0,1.0,0.4594834653746865,0.08103306925062706
cell_beta_0p05_p_0p00,beta,26,2601234,0.05,0.0,2.0,0.46599694437944417,0.06800611124111168
cell_beta_0p05_p_0p00,beta,26,2601234,0.05,0.0,4.0,0.4677307825847809,0.06453843483043821
cell_beta_0p05_p_0p00,beta,27,2701234,0.05,0.0,0.5,0.4815656538125482,0.03686869237490362
cell_beta_0p05_p_0p00,beta,27,2701234,0.05,0.0,1.0,0.47734884754456,0.04530230491088003
cell_beta_0p05_p_0p00,beta,27,2701234,0.05,0.0,2.0,0.4761120236805606,0.04777595263887877
cell_beta_0p05_p_0p00,beta,27,2701234,0.05,0.0,4.0,0.475807176809631,0.048385646380737925
cell_beta_0p05_p_0p00,beta,28,2801234,0.05,0.0,0.5,0.49964483424258094,0.0007103315148380869
cell_beta_0p05_p_0p00,beta,28,2801234,0.05,0.0,1.0,0.49819661238054985,0.0036067752389002767
cell_beta_0p05_p_0p00,beta,28,2801234,0.05,0.0,2.0,0.4980072320094882,0.0039855359810235915
cell_beta_0p05_p_0p00,beta,28,2801234,0.05,0.0,4.0,0.4979370734108057,0.004125853178388689
cell_beta_0p05_p_0p00,beta,29,2901234,0.05,0.0,0.5,0.4502805195498956,0.09943896090020878
cell_beta_0p05_p_0p00,beta,29,2901234,0.05,0.0,1.0,0.45128798861749675,0.09742402276500652
cell_beta_0p05_p_0p00,beta,29,2901234,0.05,0.0,2.0,0.45138645864290233,0.09722708271419535
cell_beta_0p05_p_0p00,beta,29,2901234,0.05,0.0,4.0,0.4513811745863032,0.0972376508273935
cell_beta_0p07_p_0p00,beta,0,3234,0.07,0.0,0.5,0.4245185708058274,0.15096285838834522
cell_beta_0p07_p_0p00,beta,0,3234,0.07,0.0,1.0,0.4284266613760572,0.1431466772478856
cell_beta_0p07_p_0p00,beta,0,3234,0.07,0.0,2.0,0.43059710199407414,0.13880579601185172
cell_beta_0p07_p_0p00,beta,0,3234,0.07,0.0,4.0,0.43123336666555795,0.13753326666888413
cell_beta_0p07_p_0p00,beta,1,103234,0.07,0.0,0.5,0.4726353585119424,0.05472928297611524
cell_beta_0p07_p_0p00,beta,1,103234,0.07,0.0,1.0,0.4626517720700287,0.0746964558599425
cell_beta_0p07_p_0p00,beta,1,103234,0.07,0.0,2.0,0.4601346843236849,0.07973063135263027
cell_beta_0p07_p_0p00,beta,1,103234,0.07,0.0,4.0,0.45958250160490305,0.08083499679019394
cell_beta_0p07_p_0p00,beta,2,203234,0.07,0.0,0.5,0.4494106146214592,0.10117877075708163
cell_beta_0p07_p_0p00,beta,2,203234,0.07,0.0,1.0,0.440039957226223,0.11992008554755393
cell_beta_0p07_p_0p00,beta,2,203234,0.07,0.0,2.0,0.43487886703315126,0.13024226593369753
cell_beta_0p07_p_0p00,beta,2,203234,0.07,0.0,4.0,0.43331215994701544,0.13337568010596906
cell_beta_0p07_p_0p00,beta,3,303234,0.07,0.0,0.5,0.4615245270979095,0.0769509458041811
cell_beta_0p07_p_0p00,beta,3,303234,0.07,0.0,1.0,0.45965376043439665,0.08069247913120665
cell_beta_0p07_p_0p00,beta,3,303234,0.07,0.0,2.0,0.4605391786505143,0.07892164269897138
cell_beta_0p07_p_0p00,beta,3,303234,0.07,0.0,4.0,0.460878778940852,0.07824244211829605
cell_beta_0p07_p_0p00,beta,4,403234,0.07,0.0,0.5,0.45327126205538815,0.09345747588922369
cell_beta_0p07_p_0p00,beta,4,403234,0.07,0.0,1.0,0.4599176173427385,0.08016476531452295
cell_beta_0p07_p_0p00,beta,4,403234,0.07,0.0,2.0,0.4610433211295954,0.07791335774080921
cell_beta_0p07_p_0p00,beta,4,403234,0.07,0.0,4.0,0.46130875253316606,0.07738249493366794
cell_beta_0p07_p_0p00,beta,5,503234,0.07,0.0,0.5,0.4455010807366073,0.10899783852678532
cell_beta_0p07_p_0p00,beta,5,503234,0.07,0.0,1.0,0.4427932392421049,0.11441352151579016
cell_beta_0p07_p_0p00,beta,5,503234,0.07,0.0,2.0,0.4416730192558781,0.11665396148824375
cell_beta_0p07_p_0p00,beta,5,503234,0.07,0.0,4.0,0.4414736685746018,0.11705266285079637
cell_beta_0p07_p_0p00,beta,6,603234,0.07,0.0,0.5,0.49612402705418596,0.007751945891628137
cell_beta_0p07_p_0p00,beta,6,603234,0.07,0.0,1.0,0.498268402741277,0.003463194517446054
cell_beta_0p07_p_0p00,beta,6,603234,0.07,0.0,2.0,0.4975599725795117,0.004880054840976658
cell_beta_0p07_p_0p00,beta,6,603234,0.07,0.0,4.0,0.4971680089393037,0.005663982121392676
cell_beta_0p07_p_0p00,beta,7,703234,0.07,0.0,0.5,0.415430692910457,0.16913861417908607
cell_beta_0p07_p_0p00,beta,7,703234,0.07,0.0,1.0,0.42435951993461596,0.15128096013076808
cell_beta_0p07_p_0p00,beta,7,703234,0.07,0.0,2.0,0.4281522474966773,0.14369550500664544
cell_beta_0p07_p_0p00,beta,7,703234,0.07,0.0,4.0,0.4293434340126645,0.141313131974671
cell_beta_0p07_p_0p00,beta,8,803234,0.07,0.0,0.5,0.47239145638236035,0.05521708723527934
cell_beta_0p07_p_0p00,beta,8,803234,0.07,0.0,1.0,0.46553691627960914,0.06892616744078178
cell_beta_0p07_p_0p00,beta,8,803234,0.07,0.0,2.0,0.4633266830664343,0.07334663386713142
cell_beta_0p07_p_0p00,beta,8,803234,0.07,0.0,4.0,0.462856852507235,0.07428629498552998
cell_beta_0p07_p_0p00,beta,9,903234,0.07,0.0,0.5,0.467338007862769,0.06532398427446193
cell_beta_0p07_p_0p00,beta,9,903234,0.07,0.0,1.0,0.46607484017412293,0.06785031965175412
cell_beta_0p07_p_0p00,beta,9,903234,0.07,0.0,2.0,0.4648969989167194,0.07020600216656128
cell_beta_0p07_p_0p00,beta,9,903234,0.07,0.0,4.0,0.46452912532512763,0.07094174934974472
cell_beta_0p07_p_0p00,beta,10,1003234,0.07,0.0,0.5,0.4599821754344685,0.08003564913106302
cell_beta_0p07_p_0p00,beta,10,1003234,0.07,0.0,1.0,0.4585299442840367,0.08294011143192664
cell_beta_0p07_p_0p00,beta,10,1003234,0.07,0.0,2.0,0.4583400611765948,0.08331987764681037
cell_beta_0p07_p_0p00,beta,10,1003234,0.07,0.0,4.0,0.45823934368899444,0.08352131262201115
cell_beta_0p07_p_0p00,beta,11,1103234,0.07,0.0,0.5,0.41832409622377403,0.16335180755245196
cell_beta_0p07_p_0p00,beta,11,1103234,0.07,0.0,1.0,0.42597075470989315,0.1480584905802137
cell_beta_0p07_p_0p00,beta,11,1103234,0.07,0.0,2.0,0.43129859502030654,0.13740280995938695
cell_beta_0p07_p_0p00,beta,11,1103234,0.07,0.0,4.0,0.43299379804914767,0.13401240390170466
cell_beta_0p07_p_0p00,beta,12,1203234,0.07,0.0,0.5,0.4055064601673476,0.1889870796653048
cell_beta_0p07_p_0p00,beta,12,1203234,0.07,0.0,1.0,0.4178761133390324,0.16424777332193513
cell_beta_0p07_p_0p00,beta,12,1203234,0.07,0.0,2.0,0.4249867692937397,0.15002646141252057
cell_beta_0p07_p_0p00,beta,12,1203234,0.07,0.0,4.0,0.4271062791198094,0.1457874417603812
cell_beta_0p07_p_0p00,beta,13,1303234,0.07,0.0,0.5,0.4422780723471384,0.11544385530572324
cell_beta_0p07_p_0p00,beta,13,1303234,0.07,0.0,1.0,0.4368790196095619,0.1262419607808762
cell_beta_0p07_p_0p00,beta,13,1303234,0.07,0.0,2.0,0.4351741417286007,0.1296517165427986
cell_beta_0p07_p_0p00,beta,13,1303234,0.07,0.0,4.0,0.4347012940998412,0.13059741180031761
cell_beta_0p07_p_0p00,beta,14,1403234,0.07,0.0,0.5,0.4544272208513518,0.09114555829729638
cell_beta_0p07_p_0p00,beta,14,1403234,0.07,0.0,1.0,0.4500381506259515,0.09992369874809706
cell_beta_0p07_p_0p00,beta,14,1403234,0.07,0.0,2.0,0.4501111182584745,0.09977776348305106
cell_beta_0p07_p_0p00,beta,14,1403234,0.07,0.0,4.0,0.45026278066872344,0.09947443866255315
cell_beta_0p07_p_0p00,beta,15,1503234,0.07,0.0,0.5,0.40955277484353547,0.180894450312929
cell_beta_0p07_p_0p00,beta,15,1503234,0.07,0.0,1.0,0.4269809173399483,0.14603816532010339
cell_beta_0p07_p_0p00,beta,15,1503234,0.07,0.0,2.0,0.4322206079664124,0.1355587840671752
cell_beta_0p07_p_0p00,beta,15,1503234,0.07,0.0,4.0,0.43351126757113495,0.13297746485773007
cell_beta_0p07_p_0p00,beta,16,1603234,0.07,0.0,0.5,0.45291457948033403,0.09417084103933189
cell_beta_0p07_p_0p00,beta,16,1603234,0.07,0.0,1.0,0.44932244750881045,0.10135510498237912
cell_beta_0p07_p_0p00,beta,16,1603234,0.07,0.0,2.0,0.4478094774995125,0.10438104500097495
cell_beta_0p07_p_0p00,beta,16,1603234,0.07,0.0,4.0,0.4472814936107236,0.10543701277855282
cell_beta_0p07_p_0p00,beta,17,1703234,0.07,0.0,0.5,0.43603286570441224,0.1279342685911755
cell_beta_0p07_p_0p00,beta,17,1703234,0.07,0.0,1.0,0.445692498945335,0.10861500210932996
cell_beta_0p07_p_0p00,beta,17,1703234,0.07,0.0,2.0,0.4496716023427391,0.10065679531452179
cell_beta_0p07_p_0p00,beta,17,1703234,0.07,0.0,4.0,0.4506832108539099,0.09863357829218022
cell_beta_0p07_p_0p00,beta,18,1803234,0.07,0.0,0.5,0.43693008026163516,0.12613983947672974
cell_beta_0p07_p_0p00,beta,18,1803234,0.07,0.0,1.0,0.43747892176478675,0.12504215647042646
cell_beta_0p07_p_0p00,beta,18,1803234,0.07,0.0,2.0,0.4379756242717218,0.12404875145655639
cell_beta_0p07_p_0p00,beta,18,1803234,0.07,0.0,4.0,0.4382288336260036,0.1235423327479928
cell_beta_0p07_p_0p00,beta,19,1903234,0.07,0.0,0.5,0.46706387796550913,0.06587224406898173
cell_beta_0p07_p_0p00,beta,19,1903234,0.07,0.0,1.0,0.4586000053025179,0.08279998939496429
cell_beta_0p07_p_0p00,beta,19,1903234,0.07,0.0,2.0,0.4566924074553824,0.0866151850892352
cell_beta_0p07_p_0p00,beta,19,1903234,0.07,0.0,4.0,0.4563010355207671,0.0873979289584658
cell_beta_0p07_p_0p00,beta,20,2003234,0.07,0.0,0.5,0.4384069067786799,0.12318618644264022
cell_beta_0p07_p_0p00,beta,20,2003234,0.07,0.0,1.0,0.4244107172899042,0.15117856542019156
cell_beta_0p07_p_0p00,beta,20,2003234,0.07,0.0,2.0,0.42030733221030125,0.15938533557939744
cell_beta_0p07_p_0p00,beta,20,2003234,0.07,0.0,4.0,0.41918630913828214,0.16162738172343574
cell_beta_0p07_p_0p00,beta,21,2103234,0.07,0.0,0.5,0.40943495128734664,0.1811300974253067
cell_beta_0p07_p_0p00,beta,21,2103234,0.07,0.0,1.0,0.41033991840889417,0.17932016318221167
cell_beta_0p07_p_0p00,beta,21,2103234,0.07,0.0,2.0,0.41019551942088966,0.17960896115822064
cell_beta_0p07_p_0p00,beta,21,2103234,0.07,0.0,4.0,0.41016043288895576,0.17967913422208853
cell_beta_0p07_p_0p00,beta,22,2203234,0.07,0.0,0.5,0.47793123180353086,0.04413753639293827
cell_beta_0p07_p_0p00,beta,22,2203234,0.07,0.0,1.0,0.46208856829947226,0.07582286340105547
cell_beta_0p07_p_0p00,beta,22,2203234,0.07,0.0,2.0,0.4584969625163341,0.08300607496733177
cell_beta_0p07_p_0p00,beta,22,2203234,0.07,0.0,4.0,0.45765438569799377,0.08469122860401249
cell_beta_0p07_p_0p00,beta,23,2303234,0.07,0.0,0.5,0.45209028639894694,0.09581942720210615
cell_beta_0p07_p_0p00,beta,23,2303234,0.07,0.0,1.0,0.45037638060000684,0.09924723879998633
cell_beta_0p07_p_0p00,beta,23,2303234,0.07,0.0,2.0,0.4501504903337674,0.09969901933246517
cell_beta_0p07_p_0p00,beta,23,2303234,0.07,0.0,4.0,0.45010624922604203,0.0997875015479159
cell_beta_0p07_p_0p00,beta,24,2403234,0.07,0.0,0.5,0.4360447606325162,0.12791047873496758
cell_beta_0p07_p_0p00,beta,24,2403234,0.07,0.0,1.0,0.43890240892817844,0.12219518214364307
cell_beta_0p07_p_0p00,beta,24,2403234,0.07,0.0,2.0,0.4383913069525917,0.1232173860948166
cell_beta_0p07_p_0p00,beta,24,2403234,0.07,0.0,4.0,0.43823896877919805,0.12352206244160392
cell_beta_0p07_p_0p00,beta,25,2503234,0.07,0.0,0.5,0.43153361806733037,0.13693276386533929
cell_beta_0p07_p_0p00,beta,25,2503234,0.07,0.0,1.0,0.4432513904611426,0.11349721907771483
cell_beta_0p07_p_0p00,beta,25,2503234,0.07,0.0,2.0,0.4483205748532865,0.10335885029342697
cell_beta_0p07_p_0p00,beta,25,2503234,0.07,0.0,4.0,0.44980734363461816,0.10038531273076373
cell_beta_0p07_p_0p00,beta,26,2603234,0.07,0.0,0.5,0.43033597316594074,0.13932805366811846
cell_beta_0p07_p_0p00,beta,26,2603234,0.07,0.0,1.0,0.44452098942130425,0.11095802115739153
cell_beta_0p07_p_0p00,beta,26,2603234,0.07,0.0,2.0,0.44894461505118094,0.10211076989763809
cell_beta_0p07_p_0p00,beta,26,2603234,0.07,0.0,4.0,0.4500510992556969,0.0998978014886062
cell_beta_0p07_p_0p00,beta,27,2703234,0.07,0.0,0.5,0.44442950852083385,0.11114098295833233
cell_beta_0p07_p_0p00,beta,27,2703234,0.07,0.0,1.0,0.4521897513754483,0.09562049724910338
cell_beta_0p07_p_0p00,beta,27,2703234,0.07,0.0,2.0,0.4554327566282625,0.089134486743475
cell_beta_0p07_p_0p00,beta,27,2703234,0.07,0.0,4.0,0.45630682733193917,0.08738634533612165
cell_beta_0p07_p_0p00,beta,28,2803234,0.07,0.0,0.5,0.45984519391324086,0.08030961217351826
cell_beta_0p07_p_0p00,beta,28,2803234,0.07,0.0,1.0,0.4601072871483948,0.0797854257032105
cell_beta_0p07_p_0p00,beta,28,2803234,0.07,0.0,2.0,0.460175802558001,0.07964839488399801
cell_beta_0p07_p_0p00,beta,28,2803234,0.07,0.0,4.0,0.46013193514568024,0.07973612970863957
cell_beta_0p07_p_0p00,beta,29,2903234,0.07,0.0,0.5,0.4585729886797114,0.08285402264057722
cell_beta_0p07_p_0p00,beta,29,2903234,0.07,0.0,1.0,0.46001361108550826,0.07997277782898353
cell_beta_0p07_p_0p00,beta,29,2903234,0.07,0.0,2.0,0.45972316650774897,0.08055366698450209
cell_beta_0p07_p_0p00,beta,29,2903234,0.07,0.0,4.0,0.45956099470844314,0.08087801058311378
cell_beta_0p09_p_0p00,beta,0,5234,0.09,0.0,0.5,0.43914795589490685,0.12170408821018636
cell_beta_0p09_p_0p00,beta,0,5234,0.09,0.0,1.0,0.4412902597907032,0.11741948041859365
cell_beta_0p09_p_0p00,beta,0,5234,0.09,0.0,2.0,0.44118208859561353,0.11763582280877297
cell_beta_0p09_p_0p00,beta,0,5234,0.09,0.0,4.0,0.4410167510282422,0.11796649794351556
cell_beta_0p09_p_0p00,beta,1,105234,0.09,0.0,0.5,0.40333788071908516,0.19332423856182965
cell_beta_0p09_p_0p00,beta,1,105234,0.09,0.0,1.0,0.39822228552462735,0.20355542895074535
cell_beta_0p09_p_0p00,beta,1,105234,0.09,0.0,2.0,0.39691998024621744,0.20616003950756515
cell_beta_0p09_p_0p00,beta,1,105234,0.09,0.0,4.0,0.39664406424541604,0.20671187150916792
cell_beta_0p09_p_0p00,beta,2,205234,0.09,0.0,0.5,0.42354557314128904,0.15290885371742188
cell_beta_0p09_p_0p00,beta,2,205234,0.09,0.0,1.0,0.4320589587458801,0.13588208250823985
cell_beta_0p09_p_0p00,beta,2,205234,0.09,0.0,2.0,0.43530258759361845,0.12939482481276307
cell_beta_0p09_p_0p00,beta,2,205234,0.09,0.0,4.0,0.43616116279329104,0.12767767441341796
cell_beta_0p09_p_0p00,beta,3,305234,0.09,0.0,0.5,0.4020097072467411,0.19598058550651778
cell_beta_0p09_p_0p00,beta,3,305234,0.09,0.0,1.0,0.4015847484913899,0.1968305030172201
