rule,radius,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,qc_pass,claim_status
random_label,0.02,1.0,0.7273834879053582,3.477304079779319e-05,1.641277587918487e-05,True,claimable_rule_radius
random_label,0.03,1.0,0.5277140386522756,0.008605673702854639,0.014855649585879151,False,no_claim
random_label,0.05,1.0,0.5408416468190455,0.0035580560150670426,0.009580920984693335,True,claimable_rule_radius
random_label,0.08,1.0,0.6128867427849046,0.002084079583152441,0.0003041658298119423,True,claimable_rule_radius
random_label,0.12,1.0,0.6349835302976491,0.011886847808054882,0.0005860264633641031,False,no_claim
random_label,0.15,1.0,0.6030324058132857,0.017477409627195965,0.0008056420214489864,False,no_claim
random_label,0.2,1.0,0.5794849339810357,0.01566283238917596,0.00276328310930263,False,no_claim
random_label,0.3,1.0,0.6459930269253221,0.019039308925965837,0.0016414161326837175,False,no_claim
random_label,0.45,1.0,0.6163441715002328,0.028234480754881164,0.0010625146554386277,False,no_claim
random_label,0.65,1.0,0.6190264850410596,0.018446707457014225,0.0007360268798183744,False,no_claim
random_label,0.85,1.0,0.6415973478018676,0.018939008374739375,0.00048284906003989947,False,no_claim
random_label,1.0,1.0,0.5604243020557215,0.009823071735803058,0.0005103501193219861,False,no_claim
random_label,1.25,1.0,0.62874179904063,0.008351617059404225,0.0003052956566362166,False,no_claim
random_label,1.5,1.0,0.5907958766246256,0.008954482515175988,0.0005326352879331842,False,no_claim
random_label,1.75,1.0,0.6081846451414051,0.009606768942632835,0.0004910158014742674,False,no_claim
random_label,2.0,1.0,0.6103232672499395,0.006354566272262423,0.0006210078522017423,False,no_claim
random_label,2.25,1.0,0.5947084776411142,0.011412067906094708,0.00025545030595714146,False,no_claim
random_label,2.5,1.0,0.5842624472995932,0.0077486347768016915,0.00029160085070099574,False,no_claim
real_even_odd,0.01,1.0,0.9973439958919704,0.0010378290840706063,0.0,True,claimable_rule_radius
real_even_odd,0.02,1.0,0.9882329790509422,0.0005896275788661355,0.024437585280765176,False,no_claim
real_even_odd,0.03,1.0,0.9558720057989375,5.486190237170382e-06,0.018597791237793034,False,no_claim
real_even_odd,0.05,1.0,0.6946814842685384,1.698663114881018e-05,0.01723027596950732,False,no_claim
real_even_odd,0.08,1.0,0.5238184564941829,0.003259127054748247,0.02129833932996384,False,no_claim
real_even_odd,0.12,1.0,0.5477935853411062,0.0012464368126768011,0.016820787501902787,False,no_claim
real_even_odd,0.15,1.0,0.6084821026406948,0.04450644488170926,0.0204314761822983,False,no_claim
real_even_odd,0.2,1.0,0.6537806467818171,0.0033293821056140003,0.01860398625816395,False,no_claim
real_even_odd,0.3,1.0,0.6329227110819058,0.009140069082959168,0.017125236118708836,False,no_claim
real_even_odd,0.45,1.0,0.6062724833622946,0.009880702881833148,0.017629472347889287,False,no_claim
real_even_odd,0.65,1.0,0.6224058772928688,0.014737466432688117,0.017721056472735284,False,no_claim
real_even_odd,0.85,1.0,0.6038928518014767,0.013996423065122976,0.017737116167409958,False,no_claim
real_even_odd,1.0,1.0,0.6570505054211846,0.013753364674592192,0.017343251277409693,False,no_claim
real_even_odd,1.25,1.0,0.6231403620135841,0.014062353586672656,0.0194910016991733,False,no_claim
real_even_odd,1.5,1.0,0.5662737315622206,0.019879742936741635,0.018419332807359648,False,no_claim
real_even_odd,1.75,1.0,0.6374279072447743,0.024816568237450817,0.01619826898890041,False,no_claim
real_even_odd,2.0,1.0,0.6208716768153814,0.023924955414900827,0.016646735622192394,False,no_claim
real_even_odd,2.25,1.0,0.5984123797564953,0.01878203158986267,0.018338194302738423,False,no_claim
real_even_odd,2.5,1.0,0.584960695008451,0.018888124303845573,0.016839025139303392,False,no_claim
teacher_nn,0.01,1.0,0.9671773498985038,5.045169271054763e-06,0.0,True,claimable_rule_radius
teacher_nn,0.02,1.0,0.8494354119554718,1.1845868465706989e-05,9.550085167472787e-06,True,claimable_rule_radius
teacher_nn,0.03,1.0,0.634001602499925,1.4557685894668461e-05,2.442186909882884e-05,True,claimable_rule_radius
