rule,ref_id,radius,probe_label,replicate_idx,seed,n_samples,source_split_logZ_per_P_diff,source_logZ_inf_full,elapsed_s,finite,logZ_inf_full,phi_energy,split_logZ_per_P_diff,ess_fraction,weighted_ce,weighted_error,smc_step_count,smc_total_step_count,smc_mean_mh_acceptance
random_label,39,1.0,low_split,1,2039110800,1024,7.662312999537287e-05,-405.34034916301385,26.15985083580017,True,-400.0783265771398,-0.1625673817867289,0.0003295827296462117,0.6581837348392179,0.667069948329696,0.3753006822713066,74,147,0.3914753401360544
random_label,18,2.5,high_split,0,2029104800,1024,0.0146393586246915,-431.1805035844932,28.407143354415894,True,-438.1698714847827,-0.1780454577345724,0.0019612496439458194,0.9730993761331523,0.7344995147072916,0.4289849631472151,86,156,0.29984224759615385
random_label,18,2.5,high_split,1,2039104800,1024,0.0146393586246915,-431.1805035844932,30.97508454322815,True,-439.6786454892677,-0.17865853128373332,0.003263675656023,0.8618935842327009,0.7415036456128294,0.4586164324801797,80,159,0.29891411163522014
random_label,1001,2.5,low_split,0,2030087800,1024,6.907868099466854e-07,-432.1053874305559,31.504706621170044,True,-449.7439285238735,-0.18274844718564545,0.0014237104197910913,0.8592814236294957,0.7331858969806686,0.4426190076527904,84,167,0.2870859842814371
random_label,1001,2.5,low_split,1,2040087800,1024,6.907868099466854e-07,-432.1053874305559,29.87009334564209,True,-426.0744044630833,-0.17313059913168763,0.010464697885048203,0.6553501635970094,0.7282427891604066,0.4403767849452115,83,164,0.2904558879573171
real_even_odd,1008,0.3,high_split,0,2028072800,1024,0.0048569688461121,-62.53875563510656,16.67107105255127,True,-65.99888030970443,-0.02681791154396767,0.001684448354758005,0.5776688548666117,0.06906480149758634,0.027990799832675967,47,91,0.6024639423076923
real_even_odd,1008,0.3,high_split,1,2038072800,1024,0.0048569688461121,-62.53875563510656,16.009395122528076,True,-68.87622756992535,-0.02798708962613789,0.0023798738001016354,0.7589866950164943,0.07717600605362572,0.030469761456163983,46,89,0.6051834620786517
real_even_odd,1020,0.3,low_split,0,2028084800,1024,1.543095100898197e-05,-67.61241744242102,16.38986563682556,True,-65.31017441084344,-0.026538063555807984,0.0006661303395502494,0.9022923838057629,0.07088108296070669,0.028782888256373502,45,89,0.5968881671348315
real_even_odd,1020,0.3,low_split,1,2038084800,1024,1.543095100898197e-05,-67.61241744242102,16.239670515060425,True,-68.07247974516841,-0.027660495629893703,0.001008574142532472,0.5997231853905729,0.07049912665799021,0.028597150661769176,46,89,0.5987754564606742
real_even_odd,46,1.0,high_split,0,2027117800,1024,0.0145139559817157,-156.56263883802754,24.353641510009766,True,-173.96662471764947,-0.07068940459880109,0.0036224246576372675,0.9472614965748465,0.24017670473142194,0.10047928142982945,68,135,0.3774016203703704
real_even_odd,46,1.0,high_split,1,2037117800,1024,0.0145139559817157,-156.56263883802754,25.1257643699646,True,-166.98674278697618,-0.06785320714627233,0.0050899120438703625,0.847369704572509,0.2115011603200086,0.08571761041111303,72,142,0.3613556338028169
real_even_odd,21,1.0,low_split,0,2027092800,1024,9.368759873987928e-06,-185.848244107244,24.925796508789062,True,-187.6231637861787,-0.07623858747914616,0.0006595838703699732,0.7027300411217534,0.24400662332683518,0.10517665811009337,71,140,0.3722516741071429
real_even_odd,21,1.0,low_split,1,2037092800,1024,9.368759873987928e-06,-185.848244107244,26.06613802909851,True,-175.78553296089726,-0.07142849774924716,0.0019537829894008783,0.6670816311099753,0.23578502280232,0.09455312751667228,72,139,0.36911252248201437
real_even_odd,1008,2.5,high_split,0,2028094800,1024,0.0236922523599258,-280.29149401038484,30.423187494277954,True,-291.9980980267071,-0.11865018205067335,0.0013111386232568475,0.9920007468575521,0.4418111668305367,0.1932708652305813,85,166,0.2900978915662651
real_even_odd,1008,2.5,high_split,1,2038094800,1024,0.0236922523599258,-280.29149401038484,28.46542000770569,True,-301.9806816047087,-0.12270649394746393,0.002577298195224922,0.832820133513159,0.4696605191070665,0.20570519534611953,83,160,0.3019287109375
real_even_odd,34,2.5,low_split,0,2027120800,1024,3.428839839007392e-05,-304.2206255983193,33.199949741363525,True,-286.47356154720035,-0.11640534804843573,0.00246986076985404,0.8596749087828262,0.42934338551556006,0.1797766656451231,86,167,0.287109375
real_even_odd,34,2.5,low_split,1,2037120800,1024,3.428839839007392e-05,-304.2206255983193,33.64233732223511,True,-274.23839777121987,-0.11143372522195037,0.011917937266851414,0.7360679269094158,0.41507107354794603,0.17715369758786778,88,167,0.28626730913173654
teacher_nn,45,0.3,high_split,0,2028109800,1024,0.008127618888717,-98.5009898822009,20.98144245147705,True,-113.55748990392794,-0.04614282401622428,0.0010303744024595788,0.8475977531397422,0.14252119281948936,0.05739755664465372,51,102,0.5549938725490197
teacher_nn,45,0.3,high_split,1,2038109800,1024,0.008127618888717,-98.5009898822009,21.50361704826355,True,-111.61095011928035,-0.04535186920734675,0.001336301567092221,0.7456591686931029,0.13254353030706514,0.05473002602337374,53,105,0.5431919642857143
teacher_nn,23,0.3,low_split,0,2028087800,1024,4.298480260136172e-05,-112.63182523415992,18.790444374084473,True,-115.35036748310114,-0.046871339895612,0.0021484891912731305,0.8200262468318404,0.1501625577169859,0.0631304719849217,50,99,0.5552004419191919
teacher_nn,23,0.3,low_split,1,2038087800,1024,4.298480260136172e-05,-112.63182523415992,18.326139450073242,True,-117.54046891647918,-0.04776126327366078,0.0011315827220220371,0.7413838858781381,0.15872253100296907,0.06629196949503605,48,96,0.5776570638020834
teacher_nn,1025,1.0,high_split,0,2029096800,1024,0.016154341358012,-246.434594145122,27.913097858428955,True,-248.29566768553786,-0.10089218516275411,0.000993960027006913,0.7557885477026515,0.362508013361723,0.1579157709333698,72,142,0.37028224031690143
teacher_nn,1025,1.0,high_split,1,2039096800,1024,0.016154341358012,-246.434594145122,26.747958183288574,True,-260.78982552378636,-0.10596904734814562,0.007140452977657534,0.7935229978939498,0.410460197170287,0.18104190020489971,71,141,0.3596520390070922
teacher_nn,1003,1.0,low_split,0,2029074800,1024,0.0002831105696116,-269.85704636052674,26.051034927368164,True,-272.5089746640749,-0.1107309933620784,0.0015085867062053049,0.7431860849080085,0.3989593827380248,0.184178540114739,72,143,0.3471645541958042
teacher_nn,1003,1.0,low_split,1,2039074800,1024,0.0002831105696116,-269.85704636052674,26.168322563171387,True,-264.0933996039845,-0.10731141796179784,0.0015256687403136112,0.7681517953522404,0.39355024763580226,0.16624152249201027,73,143,0.3500874125874126
teacher_nn,14,2.5,high_split,0,2028100800,1024,0.01984881787625,-350.50427814909955,28.980507850646973,True,-375.9713156039106,-0.15277176578785479,3.9985184205441615e-05,0.849108076809857,0.6067409628523857,0.2933052546677538,85,156,0.2979892828525641
teacher_nn,14,2.5,high_split,1,2038100800,1024,0.01984881787625,-350.50427814909955,33.10045266151428,True,-374.8320031176988,-0.15230881882068215,0.002691820068722987,0.8101202938927672,0.5945224159242326,0.3012190783516595,88,170,0.27621783088235297
teacher_nn,1001,2.5,low_split,0,2029087800,1024,0.0001619517765507,-384.7656857210318,30.616199731826782,True,-370.1609620922733,-0.15041079321100093,0.0021090633972989116,0.7181972275096007,0.6112972210233112,0.3019265675160725,81,157,0.2956309713375796
teacher_nn,1001,2.5,low_split,1,2039087800,1024,0.0001619517765507,-384.7656857210318,32.53107285499573,True,-386.837397474246,-0.15718707739709306,0.0016306262178030985,0.7148176206479915,0.6276917086860847,0.31291922947892237,84,165,0.276953125
