run,radius,high_beta_count,slope_phi_energy_per_beta,slope_ci95_low,slope_ci95_high,slope_significant
30_dataset,1.1,6,0.0012342726513812046,-0.00023165359056849522,0.0027001988933309045,no
30_dataset,1.11,6,0.0012319264024781811,-0.0002410733866602486,0.002704926191616611,no
30_dataset,1.12,6,0.0012286151765788338,-0.00025105212329365446,0.002708282476451322,no
30_dataset,1.13,6,0.0012204474919146635,-0.00025860343617644527,0.002699498420005772,no
30_dataset,1.14,6,0.0012189673575565203,-0.00025692067680409703,0.0026948553919171375,no
30_dataset,1.15,6,0.0012307654064998652,-0.00023801635573694594,0.0026995471687366766,no
30_dataset,1.16,6,0.0012248003183279658,-0.0002539391042548796,0.0027035397409108115,no
30_dataset,1.17,6,0.0012316281917968124,-0.0002618253820009359,0.0027250817655945607,no
30_dataset,1.18,6,0.0012336947104195234,-0.00023564264279272626,0.0027030320636317728,no
30_dataset,1.19,6,0.0012308315703560338,-0.0002361158075978103,0.002697778948309878,no
30_dataset,1.2,6,0.0012290703283670973,-0.0002547380628905838,0.0027128787196247783,no
30_dataset,1.21,6,0.001224629606213197,-0.0002557563544082844,0.002705015566834678,no
30_dataset,1.22,6,0.001229315274317544,-0.00023051235086146054,0.0026891428994965487,no
30_dataset,1.23,6,0.0012289422325523806,-0.0002535989106961646,0.0027114833758009257,no
30_dataset,1.24,6,0.0012373307948827861,-0.00022390860399650134,0.0026985701937620736,no
30_dataset,1.25,6,0.0012236688319051307,-0.00025698939583953476,0.0027043270596497962,no
30_dataset,1.26,6,0.001229363089252929,-0.0002509473691281409,0.002709673547633999,no
30_dataset,1.27,6,0.001226274225020176,-0.000246560074705772,0.0026991085247461237,no
30_dataset,1.28,6,0.0012346260338357605,-0.0002545397938615698,0.002723791861533091,no
30_dataset,1.29,6,0.0012430242008844177,-0.00023103997620748415,0.00271708837797632,no
30_dataset,1.3,6,0.0012492056378127232,-0.00022260389673280697,0.0027210151723582533,no
30_dataset,1.31,6,0.0012412325413595703,-0.00023403811673365442,0.002716503199452795,no
30_dataset,1.32,6,0.001251973069523183,-0.0002318124475678032,0.002735758586614169,no
30_dataset,1.33,6,0.0012560833646376485,-0.00021185736566135924,0.002724024094936656,no
30_dataset,1.34,6,0.0012550796044623325,-0.0002253728054178296,0.002735532014342495,no
30_dataset,1.35,6,0.0012536107592739905,-0.00022705893518912474,0.0027342804537371056,no
30_dataset,1.36,6,0.0012525352382744379,-0.000205933784204272,0.0027110042607531477,no
30_dataset,1.37,6,0.0012632537620582227,-0.0002151599795807114,0.0027416675036971566,no
30_dataset,1.38,6,0.0012715205841759038,-0.00019792943507863036,0.002740970603430438,no
30_dataset,1.39,6,0.0012632999286270228,-0.00019103561789509164,0.0027176354751491374,no
30_dataset,1.4,6,0.0012679018283056852,-0.00019884336491856995,0.0027346470215299404,no
30_dataset,1.41,6,0.0012734967288140855,-0.00018216058765208455,0.0027291540452802554,no
30_dataset,1.42,6,0.0012707907767365776,-0.00017907716502781924,0.0027206587185009744,no
30_dataset,1.43,6,0.0012627746812016267,-0.00019287888766938142,0.0027184282500726346,no
30_dataset,1.44,6,0.0012808023901069647,-0.00016175911802246293,0.0027233638982363923,no
30_dataset,1.45,6,0.0012776772671984824,-0.000191518291220535,0.0027468728256174997,no
30_dataset,1.46,6,0.0012736325794818677,-0.00020226487950935138,0.0027495300384730867,no
30_dataset,1.47,6,0.0012921585827144555,-0.00015558442374130426,0.0027399015891702155,no
30_dataset,1.48,6,0.0012727292353603087,-0.00017443817445141258,0.00271989664517203,no
30_dataset,1.49,6,0.0012919904007302036,-0.00015189889714753066,0.002735879698607938,no
30_dataset,1.5,6,0.0012912766624111473,-0.00017146134785570792,0.0027540146726780027,no
30_dataset,1.51,6,0.0013057188327098629,-0.0001667706242863636,0.0027782082897060893,no
30_dataset,1.52,6,0.0013021527602811655,-0.00018045119378364265,0.0027847567143459736,no
30_dataset,1.53,6,0.0013079829365963715,-0.00013838305326538338,0.0027543489264581266,no
30_dataset,1.54,6,0.0013144857102811041,-0.0001414691306347159,0.002770440551196924,no
30_dataset,1.55,6,0.001310704466610045,-0.0001420298017738217,0.002763438734993912,no
30_dataset,1.56,6,0.001320896394657662,-0.0001304833592488965,0.0027722761485642206,no
30_dataset,1.57,6,0.0013241012063350082,-0.00013506127486072003,0.0027832636875307366,no
30_dataset,1.58,6,0.0013058344899644697,-0.00014428989487454353,0.002755958874803483,no
30_dataset,1.59,6,0.0013122308263713563,-0.00012955029776391506,0.0027540119505066276,no
30_dataset,1.6,6,0.0013309876273335586,-0.00011726253724531912,0.002779237791912436,no
30_dataset,1.61,6,0.0013232569619524785,-0.00011984126772027182,0.0027663551916252286,no
30_dataset,1.62,6,0.0013333110151333841,-9.434716720236268e-05,0.0027609691974691307,no
30_dataset,1.63,6,0.0013414756127508546,-9.457491805451549e-05,0.002777526143556225,no
30_dataset,1.64,6,0.0013435446001549547,-8.500501446658047e-05,0.00277209421477649,no
30_dataset,1.65,6,0.0013432063783057444,-9.260497821290048e-05,0.002779017734824389,no
30_dataset,1.66,6,0.0013595117957335438,-7.793420901560776e-05,0.0027969578004826954,no
30_dataset,1.67,6,0.0013588762476664843,-4.520357537380953e-05,0.002762956070706778,no
30_dataset,1.68,6,0.001361516888625821,-6.554684294097905e-05,0.002788580620192621,no
30_dataset,1.69,6,0.001356022505435896,-6.530664974268847e-05,0.0027773516606144806,no
30_dataset,1.7,6,0.0013736478112134948,-4.409678453102064e-05,0.00279139240695801,no
30_dataset,1.71,6,0.0013666981076388323,-5.94993577287459e-05,0.0027928955730064106,no
30_dataset,1.72,6,0.0013619062070661467,-6.235082340539191e-05,0.002786163237537685,no
30_dataset,1.73,6,0.001371170950857678,-4.4786717293380076e-05,0.0027871286190087365,no
30_dataset,1.74,6,0.0013863857303484431,-4.087052279710176e-05,0.002813641983493988,no
30_dataset,1.75,6,0.0013856604352169668,-7.1478723009665845e-06,0.0027784687427349,no
30_dataset,1.76,6,0.0013755074029644927,-5.019592506176054e-05,0.002801210730990746,no
30_dataset,1.77,6,0.0013750191240327128,-6.0960508833487375e-05,0.002810998756898913,no
30_dataset,1.78,6,0.0013966455892833968,-3.4413060677614907e-06,0.0027967324846345553,no
30_dataset,1.79,6,0.0013921641972908705,-2.4617686342062175e-05,0.002808946080923803,no
30_dataset,1.8,6,0.001410027819571574,1.4767424660288436e-05,0.0028052882144828594,yes
30_dataset,1.81,6,0.0013995953883574848,1.3277842927777398e-05,0.0027859129337871923,yes
