source,case_id,case_label,complexity_axis,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sem,d_phi_energy_raw_dd_mean,d_phi_energy_raw_dd_sem,d2_phi_energy_raw_dd2_mean,d2_phi_energy_raw_dd2_sem,positive_curvature_mean
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.6,90,-0.14674605209048552,0.0002985320573250987,-0.02786612884593084,0.003951218556898151,0.12416816032248644,0.06336607926463073,0.29394283584990005
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.65,90,-0.14782296383319946,0.00033741419339171146,-0.020290335730245718,0.003294640701409581,0.02936657060154008,0.06578932096492149,0.2567728224760248
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.7,90,-0.14877508566351008,0.00029094755140715155,-0.0249294717857768,0.003683363621175234,0.01020718129767515,0.05695431893556944,0.21681052775467016
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.75,90,-0.15031591101177716,0.00024591749171374704,-0.019269617600478184,0.0034108178021018134,0.1329948735619335,0.05699373699474072,0.2906930858587113
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.8,90,-0.1507020474235579,0.0002628813657236322,-0.011629984429583438,0.0029386087684921034,0.01989021226103249,0.05799198511026118,0.22902175497867722
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.85,90,-0.1514789094547355,0.00026006460186998984,-0.0172805963743749,0.003489022039772643,-0.060457415837139795,0.05217758116815547,0.1685673706842675
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.9,90,-0.1524301070609954,0.00022727247527465797,-0.017675726013297408,0.0032242945841838592,0.0377023409948451,0.05468024128828191,0.22229522205857866
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,0.95,90,-0.1532464820560652,0.00023164855204149698,-0.013510362274890402,0.002694772593882518,0.0698250136491153,0.0809455329930569,0.34205013897800385
mnist_flip,eta_0.30,flip eta=0.30,0.8842567567966284,1.0,90,-0.15378114328848447,0.0002207721684203416,-0.010693224648385886,0.006007918652657003,0.05634275253009028,0.10978973889675434,0.4256657647570847
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.1,90,-0.023307941253594682,0.00035283488265315207,-0.5662080687452095,0.006844338173899231,-0.6879710132776126,0.13782639454207418,0.2189229812359206
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.15,90,-0.05161834469085515,0.0005814091739615732,-0.60060661940909,0.005675647015420622,-0.28279872987957366,0.09172690165457005,0.21675623911132869
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.2,90,-0.08336860319450369,0.0007680073226835757,-0.5944879417331667,0.006127525129870221,1.2906989755283556,0.0969585552903136,1.3411850864861685
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.25,90,-0.11106713886417183,0.0008977435541143022,-0.4715367218562545,0.006384733673381478,2.8312433427777517,0.10977152987502747,2.8312433427777517
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.3,90,-0.13052227538012912,0.0008639139892618311,-0.31136360745539166,0.006853194200608681,3.0000420314499854,0.11539630563028905,3.0000420314499854
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.35,90,-0.142203499609711,0.0007322591416032258,-0.17153251871125616,0.0073016272128768244,2.2004674518246046,0.10204615068990117,2.2004674518246046
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.4,90,-0.1476755272512547,0.0006726849490914218,-0.09131686227293118,0.0067211651570708375,1.3421554825979567,0.10965706773357169,1.3850690142172988
mnist_flip,eta_0.35,flip eta=0.35,0.9336710414847296,0.45,90,-0.15133518583700412,0.0005825216776865218,-0.037316970451460416,0.006997810604211302,0.8600049693607527,0.09335347031515404,0.9333126575142111
