beta,radius,ref_count,phi_full,phi_energy,phi_full_quenched,phi_energy_full_quenched,phi_stripped_proxy,phi_energy_stripped_proxy,phi_full_annealed,phi_energy_full_annealed,phi_stripped_annealed,reference_prior_correction_per_P,theta_ref_norm_sq_mean,area_term,derivative_ref_count,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,claim
0.09,0.57,2700,-0.5661918383833705,-0.004293792103367,-0.5661918383833705,-0.004293792103367,-0.564786943489496,-0.0028888972094924,-0.5650013068577862,-0.0031032605777826,-0.5641390479608034,-0.0014048948938745,18199.078699995163,-0.5618980462800035,2700,-9.597612327182269,3.460507157003321,1.7499254547778629,-0.0037711639792464,1.753696618757109,pass
0.09,0.58,2700,-0.5488453589594877,-0.0043322217007003,-0.5488453589594877,-0.0043322217007003,-0.5474404640656132,-0.0029273268068258,-0.5476397697027767,-0.0031266324439893,-0.5467797610559467,-0.0014048948938745,18199.078699995163,-0.5445131372587874,2700,-9.48680616337249,3.407955173279293,1.7197328449463072,-0.0037276252115412,1.7234604701578484,pass
0.09,0.59,2700,-0.5317948628478546,-0.004369442078678,-0.5317948628478546,-0.004369442078678,-0.5303899679539801,-0.0029645471848035,-0.530576122005772,-0.0031507012365954,-0.5297172998987044,-0.0014048948938745,18199.078699995163,-0.5274254207691765,2700,-9.378876654718214,3.3833690937627625,1.6905640589881896,-0.0036852167602036,1.6942492757483931,pass
0.09,0.6,2700,-0.5150301046808037,-0.0044051982522455,-0.5150301046808037,-0.0044051982522455,-0.5136252097869292,-0.003000303358371,-0.5137979403626574,-0.0031730339340992,-0.5129409575350777,-0.0014048948938745,18199.078699995163,-0.5106249064285581,2700,-9.260495818036352,3.3148915467512947,1.6623730861225792,-0.0036387016966744,1.6660117878192535,pass
0.09,0.61,2700,-0.4985438628427102,-0.0044417635512365,-0.4985438628427102,-0.0044417635512365,-0.4971389679488357,-0.003036868657362,-0.4972975473455346,-0.0031954480540609,-0.4964422641076414,-0.0014048948938745,18199.078699995163,-0.4941020992914737,2700,-9.148817208518466,3.272833450782841,1.6351052990452537,-0.0035948201212253,1.6387001191664787,pass
0.09,0.62,2700,-0.4823251728631387,-0.0044772052407452,-0.4823251728631387,-0.0044772052407452,-0.4809202779692642,-0.0030723103468707,-0.4810659399592713,-0.0032179723368778,-0.4802124634329108,-0.0014048948938745,18199.078699995163,-0.4778479676223935,2700,-9.045329418798088,3.2234173002571187,1.608715315140595,-0.0035541569425532,1.6122694720831483,pass
0.09,0.63,2700,-0.4663663363545672,-0.0045124231075553,-0.4663663363545672,-0.0045124231075553,-0.4649614414606927,-0.0031075282136808,-0.4650951459825516,-0.0032412327355397,-0.4642428407068046,-0.0014048948938745,18199.078699995163,-0.4618539132470118,2700,-8.941729360901736,3.182844812471455,1.5831644435105447,-0.003513449650649,1.5866778931611938,pass
0.09,0.64,2700,-0.4506593703290609,-0.0045476260906723,-0.4506593703290609,-0.0045476260906723,-0.4492544754351864,-0.0031427311967978,-0.4493753245105614,-0.0032635802721727,-0.4485243200227311,-0.0014048948938745,18199.078699995163,-0.4461117442383886,2700,-8.837810212648943,3.128113291323628,1.5584134341011202,-0.0034726169794298,1.56188605108055,pass
0.09,0.65,2700,-0.43519609514932,-0.0045824454286113,-0.43519609514932,-0.0045824454286113,-0.4337912002554455,-0.0031775505347368,-0.4338988791314251,-0.0032852294107164,-0.4330497343420081,-0.0014048948938745,18199.07869999516,-0.4306136497207086,2700,-8.741038045041003,3.1039953439263845,1.5344224423580013,-0.0034345925520789,1.5378570349100802,pass
0.09,0.66,2700,-0.4199688262414462,-0.0046166496447949,-0.4199688262414462,-0.0046166496447949,-0.4185639313475717,-0.0032117547509204,-0.41865821963298,-0.0033060430363286,-0.4178107763216588,-0.0014048948938745,18199.07869999516,-0.4153521765966513,2700,-8.641362632954495,3.05958348306395,1.5111607433840866,-0.0033954273606893,1.514556170744776,pass
