eta,ref_id,radius,phi_energy_raw,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,positive_curvature
0.3,8,0.2,-0.0718717690771062,-0.4589192628173376,0.8706497118182361,0.8706497118182361
0.3,8,0.3,-0.1130758743163384,-0.3316675308787066,1.688587725435704,1.688587725435704
0.3,8,0.4,-0.1382052752528476,-0.1212017177301967,1.5341328854244674,1.5341328854244674
0.3,8,0.5,-0.1373162178623778,-0.0248409537938131,0.3071138870251731,0.3071138870251731
0.3,8,0.6,-0.1431734660116102,-0.0597789403251621,-0.041990617895256516,0.0
0.3,8,0.7,-0.1492720059274102,-0.0332390773728644,0.3270068663739558,0.3270068663739558
0.3,8,0.8,-0.1498212814861831,0.0056224329496291,0.06402136542513863,0.06402136542513863
0.3,8,0.9,-0.1481475193374844,-0.0204348042878366,-0.31614831506144614,0.0
0.3,8,1.0,-0.1539082423437504,-0.0576072300626601,-0.37172425774823514,0.0
0.3,9,0.1,-0.0268720365231503,-0.484472382823378,0.413896396828613,0.413896396828613
0.3,9,0.2,-0.0753192748054881,-0.4430827431405167,0.9953942646676686,0.9953942646676686
0.3,9,0.3,-0.1154885851512536,-0.2853935298898444,1.4810636533896393,1.4810636533896393
0.3,9,0.4,-0.132397980783457,-0.1468700124625888,0.9463930165311418,0.9463930165311418
0.3,9,0.5,-0.1448625876437714,-0.096114926583616,0.6687867219201077,0.6687867219201077
0.3,9,0.6,-0.1516209661001802,-0.0131126680785673,0.48180432957652275,0.48180432957652275
0.3,9,0.7,-0.1474851212594849,0.0002459393316885,-0.04888112325432881,0.0
0.3,9,0.8,-0.1515717782338424,-0.0228888927294331,-0.021511547312286758,0.0
0.3,9,0.9,-0.1520628998053715,-0.0040563701307689,0.09843684091593005,0.09843684091593005
0.3,9,1.0,-0.1523830522599962,-0.0032015245462471,0.008548455845218005,0.008548455845218005
0.35,0,0.1,-0.0250290657560181,-0.5885130350738416,0.20358743825153458,0.20358743825153458
0.35,0,0.2,-0.0838803692634023,-0.5681542912486881,1.2122717667638558,1.2122717667638558
0.35,0,0.3,-0.1386599240057557,-0.3460586817210705,2.591198753605916,2.591198753605916
0.35,0,0.4,-0.1530921056076163,-0.0499145405275049,1.795034369620671,1.795034369620671
0.35,0,0.5,-0.1486428321112567,0.0129481922030638,0.18940049582462307,0.18940049582462307
0.35,0,0.6,-0.1505024671670036,-0.0120344413625803,-0.14476397617462505,0.0
0.35,0,0.7,-0.1510497203837728,-0.0160046030318612,-0.11684600292528591,0.0
0.35,0,0.8,-0.1537033877733758,-0.0354036419476375,0.05910234433431076,0.05910234433431076
0.35,0,0.9,-0.1581304487733003,-0.0041841341649991,0.35652991808442064,0.35652991808442064
0.35,0,1.0,-0.1545402146063756,0.0359023416692466,0.40086475834245705,0.40086475834245705
0.35,1,0.1,-0.024205555344243,-0.6413687110007468,0.6949228832593957,0.6949228832593957
0.35,1,0.2,-0.0883424264443177,-0.5718764226748072,1.8562695462132983,1.8562695462132983
0.35,1,0.3,-0.1385808398792045,-0.2701148017580873,2.4025170554185795,2.4025170554185795
0.35,1,0.4,-0.1423653867959351,-0.0913730115910913,1.120345066992753,1.120345066992753
0.35,1,0.5,-0.1568554421974227,-0.0460457883595366,0.47421809638869017,0.47421809638869017
0.35,1,0.6,-0.1515745444678425,0.0034706076866467,0.03261960334809752,0.03261960334809752
0.35,1,0.7,-0.1561613206600934,-0.0395218676899171,-0.037806098414315925,0.0
0.35,1,0.8,-0.1594789180058259,-0.0040906119962164,0.2846405012173163,0.2846405012173163
0.35,1,0.9,-0.1569794430593367,0.0174062325535462,0.06954163819208553,0.06954163819208553
0.35,1,1.0,-0.1559976714951166,0.0098177156422007,-0.07588516911345501,0.0
0.35,2,0.1,-0.0215485336429354,-0.5173154212177431,0.013332071667105927,0.013332071667105927
0.35,2,0.2,-0.0732800757647098,-0.5159822140510325,0.9387472288701353,0.9387472288701353
0.35,2,0.3,-0.1247449764531419,-0.3295659754437161,1.9534681531396876,1.9534681531396876
0.35,2,0.4,-0.139193270853453,-0.125288583423095,1.3080053980949766,1.3080053980949766
0.35,2,0.5,-0.149802693137761,-0.0679648958247207,0.4518795272914417,0.4518795272914417
0.35,2,0.6,-0.1527862500183971,-0.0349126779648067,0.2083334392448856,0.2083334392448856
0.35,2,0.7,-0.1567852287307223,-0.0262982079757436,0.3572445049075196,0.3572445049075196
0.35,2,0.8,-0.1580458916135458,0.0365362230166973,0.17840461449095996,0.17840461449095996
0.35,2,0.9,-0.1494779841273829,0.0093827149224485,-0.5172493401671496,0.0
0.35,2,1.0,-0.1561693486290561,-0.0669136450167326,-0.7629635993918112,0.0
0.35,3,0.1,-0.0258468602748983,-0.6082031966802914,0.5914972219219727,0.5914972219219727
0.35,3,0.2,-0.0866671799429274,-0.5490534744880942,1.6883084729832065,1.6883084729832065
0.35,3,0.3,-0.1356575551725171,-0.2705415020836502,2.319741668119913,2.319741668119913
0.35,3,0.4,-0.1407754803596574,-0.0851051408641117,1.1526669431873766,1.1526669431873766
0.35,3,0.5,-0.1526785833453394,-0.0400081134461748,0.3757751694534676,0.3757751694534676
0.35,3,0.6,-0.1487771030488924,-0.0099501069734182,0.1508942108796661,0.1508942108796661
0.35,3,0.7,-0.1546686047400231,-0.0098292712702416,0.026827616190002457,0.026827616190002457
0.35,3,0.8,-0.1507429573029407,-0.0045845837354177,-0.0782487357082281,0.0
0.35,3,0.9,-0.1555855214871067,-0.0254790184118872,0.010260943766511505,0.010260943766511505
0.35,3,1.0,-0.1558387609853182,-0.0025323949821154,0.22946623429771806,0.22946623429771806
0.35,4,0.1,-0.0246300361607644,-0.5675894583776094,0.07779884550012217,0.07779884550012217
0.35,4,0.2,-0.0813889819985253,-0.5598095738275972,1.138395107099986,1.138395107099986
0.35,4,0.3,-0.1365919509262838,-0.3399104369576123,2.35711049530143,2.35711049530143
0.35,4,0.4,-0.1493710693900478,-0.0883874747673112,1.56745711074303,1.56745711074303
0.35,4,0.5,-0.1542694458797461,-0.0264190148090062,0.42854163663642564,0.42854163663642564
0.35,4,0.6,-0.154654872351849,-0.0026791474400261,0.060522866278476514,0.060522866278476514
0.35,4,0.7,-0.1548052753677513,-0.0143144415533109,-0.0962730455288555,0.0
