radius,dataset_count,dphi_energy_dr_mean,dphi_energy_dr_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,dphi_energy_dr_sem,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high
1.96,90,-0.001486293082614752,4.521451888638e-05,30.0,30,30,4.766028766322025e-06,-0.001495634498996743,-0.0014769516662327608
1.97,90,-0.0014831559660661742,4.059651861341013e-05,30.0,30,30,4.2792487963932215e-06,-0.001491543293707105,-0.0014747686384252434
1.98,90,-0.00148448334339867,4.348578883998719e-05,30.0,30,30,4.5838046194496965e-06,-0.0014934676004527913,-0.0014754990863445486
1.99,90,-0.0014853858865010114,4.147687423077046e-05,30.0,30,30,4.372046426452632e-06,-0.0014939550974968586,-0.0014768166755051641
2.0,90,-0.0014857588988803246,4.226385116730892e-05,30.0,30,30,4.455001079302076e-06,-0.0014944907009957567,-0.0014770270967648924
2.01,90,-0.0014860752951592062,4.226943738646987e-05,30.0,30,30,4.455589918503992e-06,-0.001494808251399474,-0.0014773423389189385
2.02,90,-0.0014838258653170262,4.1745305179638905e-05,30.0,30,30,4.4003415328827815e-06,-0.0014924505347214765,-0.0014752011959125759
2.03,90,-0.0014854995612631696,4.069066266835507e-05,30.0,30,30,4.289172451119557e-06,-0.001493906339267364,-0.0014770927832589752
2.04,90,-0.0014863587991057322,3.550583496426461e-05,30.0,30,30,3.7426436237706445e-06,-0.0014936943806083227,-0.0014790232176031418
2.05,90,-0.0014888445921952419,3.902041275460474e-05,30.0,30,30,4.113112651481196e-06,-0.001496906292992145,-0.0014807828913983388
2.06,90,-0.0014867045234483545,3.8784063347590736e-05,30.0,30,30,4.088199236488048e-06,-0.0014947173939518711,-0.0014786916529448378
2.07,90,-0.0014870761899022226,3.540477478048189e-05,30.0,30,30,3.731990945053691e-06,-0.0014943908921545277,-0.0014797614876499174
2.08,90,-0.0014881929165767164,3.4974296926762455e-05,30.0,30,30,3.686614595053217e-06,-0.0014954186811830207,-0.001480967151970412
2.09,90,-0.0014912253713000383,3.576115203638352e-05,30.0,30,30,3.7695564062180186e-06,-0.0014986137018562257,-0.001483837040743851
2.1,90,-0.0014904612490661815,3.427840502909246e-05,30.0,30,30,3.613261148323417e-06,-0.0014975432409168954,-0.0014833792572154676
2.11,90,-0.0014924749520855817,3.5932634596417584e-05,30.0,30,30,3.7876322551748252e-06,-0.0014998987113057243,-0.0014850511928654391
2.12,90,-0.0014914228090929626,3.559001643876954e-05,30.0,30,30,3.751517130311543e-06,-0.0014987757826683732,-0.001484069835517552
2.13,90,-0.0014910556756884677,3.474576818293805e-05,30.0,30,30,3.6625255503431417e-06,-0.0014982342257671402,-0.0014838771256097951
2.14,90,-0.0014934604865181912,3.5534859321250675e-05,30.0,30,30,3.745703059627237e-06,-0.0015008020645150607,-0.0014861189085213218
2.15,90,-0.001496785586095763,3.232940752191533e-05,30.0,30,30,3.4078187724344137e-06,-0.0015034649108897344,-0.0014901062613017913
2.16,90,-0.0014965337035927027,3.4761010102855694e-05,30.0,30,30,3.6641321897715966e-06,-0.001503715402684655,-0.0014893520045007505
2.17,90,-0.0014964601395434805,3.1540421018543806e-05,30.0,30,30,3.3246522926415426e-06,-0.001502976458037058,-0.001489943821049903
2.18,90,-0.0014966364045410814,3.320776906173379e-05,30.0,30,30,3.5004062082650477e-06,-0.001503497200709281,-0.0014897756083728818
2.19,90,-0.0014957106435199744,2.945271275684619e-05,30.0,30,30,3.1045885194110315e-06,-0.0015017956370180201,-0.0014896256500219287
2.2,90,-0.0014990768875647771,3.418526557735018e-05,30.0,30,30,3.603443388072586e-06,-0.0015061396366053993,-0.0014920141385241549
2.21,90,-0.0015019616922407988,2.8639697705122834e-05,30.0,30,30,3.018889208229518e-06,-0.0015078787150889286,-0.0014960446693926689
2.22,90,-0.0015032230533205192,3.160565047730816e-05,30.0,30,30,3.3315280813160554e-06,-0.0015097528483598987,-0.0014966932582811396
2.23,90,-0.0015026079166717897,3.0769877504034066e-05,30.0,30,30,3.2434298745708167e-06,-0.0015089650392259486,-0.0014962507941176308
2.24,90,-0.0015035988234326123,3.345782552501515e-05,30.0,30,30,3.526764473852226e-06,-0.0015105112818013626,-0.001496686365063862
2.25,90,-0.0015065250876701729,3.0229453182167223e-05,30.0,30,30,3.1864641492357777e-06,-0.0015127705574026749,-0.0015002796179376708
2.26,90,-0.001508991991850687,2.9672409233226164e-05,30.0,30,30,3.127746561386835e-06,-0.0015151223751110052,-0.0015028616085903687
2.27,90,-0.0015123377638796638,2.9303715778748075e-05,30.0,30,30,3.088882858901956e-06,-0.0015183919742831117,-0.001506283553476216
2.28,90,-0.0015104436253246447,2.871177628502102e-05,30.0,30,30,3.0264869576624744e-06,-0.0015163755397616632,-0.0015045117108876262
2.29,90,-0.001514256335071682,3.082546439712513e-05,30.0,30,30,3.2492892475781513e-06,-0.0015206249419969353,-0.0015078877281464289
2.3,90,-0.001514648166347871,2.9777585831287635e-05,30.0,30,30,3.138833148267578e-06,-0.0015208002793184754,-0.0015084960533772666
2.31,90,-0.0015144691720802874,2.8926308499820162e-05,30.0,30,30,3.049100638670667e-06,-0.001520445409332082,-0.0015084929348284928
2.32,90,-0.0015197341669500816,2.8206221260175848e-05,30.0,30,30,2.9731967789606825e-06,-0.0015255616326368445,-0.0015139067012633187
2.33,90,-0.0015184992441297069,2.7933928856789066e-05,30.0,30,30,2.94449463948523e-06,-0.001524270453623098,-0.0015127280346363158
2.34,90,-0.0015198897383649314,2.8028909867155018e-05,30.0,30,30,2.954506517059246e-06,-0.0015256805711383675,-0.0015140989055914954
2.35,90,-0.001523174800175173,3.019082818680988e-05,30.0,30,30,3.18239271723769e-06,-0.0015294122899009589,-0.0015169373104493872
2.36,90,-0.0015222557729179288,2.8000718310745025e-05,30.0,30,30,2.951534866091222e-06,-0.0015280407812554677,-0.00151647076458039
2.37,90,-0.0015259873615311938,2.7253450442279872e-05,30.0,30,30,2.8727659165375892e-06,-0.0015316179827276075,-0.00152035674033478
2.38,90,-0.001525397679703894,2.6849964496457093e-05,30.0,30,30,2.8302347634486797e-06,-0.0015309449398402534,-0.0015198504195675347
2.39,90,-0.0015289950901879812,2.7722907537839505e-05,30.0,30,30,2.9222510393941146e-06,-0.0015347227022251937,-0.0015232674781507688
2.4,90,-0.0015318666363477883,2.7137078139619078e-05,30.0,30,30,2.8604991987720365e-06,-0.0015374732147773813,-0.0015262600579181952
2.41,90,-0.0015329735371445792,2.938539891064753e-05,30.0,30,30,3.0974930170092305e-06,-0.0015390446234579173,-0.0015269024508312412
2.42,90,-0.0015342782615603244,2.9907518919135933e-05,30.0,30,30,3.152529298301557e-06,-0.0015404572189849956,-0.0015280993041356533
2.43,90,-0.0015372658970800143,2.995399705219835e-05,30.0,30,30,3.157428523697211e-06,-0.001543454456986461,-0.0015310773371735678
2.44,90,-0.0015400990283665715,2.737853128677619e-05,30.0,30,30,2.8859505952131127e-06,-0.0015457554915331892,-0.001534442565199954
2.45,90,-0.0015400819332928657,2.7076791178463425e-05,30.0,30,30,2.854144395089971e-06,-0.001545676056307242,-0.0015344878102784894
2.46,90,-0.0015437081996703323,2.7828158372739763e-05,30.0,30,30,2.933345451524753e-06,-0.0015494575567553208,-0.0015379588425853438
2.47,90,-0.0015438215468182134,3.0494584410700717e-05,30.0,30,30,3.214411434602593e-06,-0.0015501217932300346,-0.0015375213004063923
2.48,90,-0.0015479983332593976,2.8682574987999028e-05,30.0,30,30,3.0234088706884547e-06,-0.001553924214645947,-0.0015420724518728482
2.49,90,-0.0015488347456704959,2.9164999796338872e-05,30.0,30,30,3.0742609104925914e-06,-0.0015548602970550612,-0.0015428091942859305
2.5,90,-0.0015510006160784065,2.635429618481098e-05,30.0,30,30,2.7779867358229503e-06,-0.0015564454700806194,-0.0015455557620761935
