radius,dataset_count,dphi_energy_dr_mean,dphi_energy_dr_sd,mean_refs_per_dataset,min_refs_per_dataset,max_refs_per_dataset,dphi_energy_dr_sem,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high
0.99,90,-0.002017234756583869,0.00020510064447991065,30.0,30,30,2.1619506204165283e-05,-0.002059608988744033,-0.001974860524423705
1.0,90,-0.0020027616745111427,0.00020213436523258005,30.0,30,30,2.1306832917576794e-05,-0.002044523067029593,-0.0019610002819926923
1.01,90,-0.0019867451779577083,0.0001981497876682948,30.0,30,30,2.0886821563685216e-05,-0.0020276833482225313,-0.0019458070076928853
1.02,90,-0.001971793819254032,0.00019711510588161973,30.0,30,30,2.0777756527039027e-05,-0.002012518222047029,-0.0019310694164610357
1.03,90,-0.001957812419666142,0.00019222945124287838,30.0,30,30,2.0262763309726034e-05,-0.001997527435753205,-0.001918097403579079
1.04,90,-0.0019442336896699124,0.00018929357933562626,30.0,30,30,1.9953295238212055e-05,-0.001983342148336808,-0.0019051252310030168
1.05,90,-0.001930207056749866,0.00018652574298147996,30.0,30,30,1.966153966922143e-05,-0.00196874367450154,-0.001891670438998192
1.06,90,-0.0019159809254494398,0.00018443397600497236,30.0,30,30,1.9441048069885165e-05,-0.0019540853796664146,-0.0018778764712324648
1.07,90,-0.0019032398827287032,0.00017984667476461113,30.0,30,30,1.8957504062123267e-05,-0.001940396590690465,-0.0018660831747669415
1.08,90,-0.001890770097852449,0.00017960744510386889,30.0,30,30,1.8932287041729437e-05,-0.0019278773804542386,-0.0018536628152506594
1.09,90,-0.0018771343078299973,0.00017331732923878856,30.0,30,30,1.826925061239563e-05,-0.0019129420390302928,-0.0018413265766297018
1.1,90,-0.0018660643218104786,0.00017167611405139135,30.0,30,30,1.809625134164112e-05,-0.0019015329744400953,-0.001830595669180862
1.11,90,-0.0018548794415629557,0.00016943474853551137,30.0,30,30,1.785999067166982e-05,-0.0018898850232794285,-0.001819873859846483
1.12,90,-0.0018425035043763724,0.00016739811038092489,30.0,30,30,1.7645310160399976e-05,-0.0018770883122907563,-0.0018079186964619885
1.13,90,-0.0018307986321783752,0.00016532984515371936,30.0,30,30,1.7427295862956805e-05,-0.0018649561320697706,-0.0017966411322869798
1.14,90,-0.0018203142395905978,0.00016127808838604422,30.0,30,30,1.7000203199261633e-05,-0.0018536346378611505,-0.001786993841320045
