rule,radius,ref_count,unit_count,unit_sampling_fit_pass_count,split_fail_count,split_fail_rate,finite_fail_count,ess_fail_count,split_q50,split_q90,split_q95,split_q99,split_max,ess_q05,ess_min,phi_energy_mean,phi_energy_sd,phi_energy_q25,phi_energy_q50,phi_energy_q75,pool_q95_split_pass,pool_fail_rate_le_0p05
real_even_odd,0.1,90,90,90,0,0.0,0,0,6.436854101980619e-05,0.00019637316846300002,0.00023273093570422496,0.0003972022645904129,0.0005593509292632,0.5537029673683289,0.5369868590083758,-0.003049406611648501,0.0008903368133712569,-0.0034634648819741806,-0.0028864515701960496,-0.0024834700991343242,True,True
real_even_odd,0.2,90,90,90,0,0.0,0,0,0.0006829003276279,0.0018333767229993302,0.0020698435242457497,0.002700865893488651,0.0029020670527526,0.6083203560002075,0.5664038239627629,-0.013676740895345547,0.0018544159624697605,-0.014743917395549167,-0.013413295106502467,-0.012437665841644924,True,True
real_even_odd,0.3,90,90,87,3,0.03333333333333333,0,0,0.0013709429637809999,0.0029048313181799716,0.0036986768970705642,0.004743667160652009,0.0048569688461121,0.5934412887790839,0.5328194990965871,-0.026005106573642682,0.002519621661448313,-0.027617246717307056,-0.025777607102538395,-0.024163653902937128,True,True
real_even_odd,0.4,90,90,82,8,0.08888888888888889,0,0,0.00159960008010615,0.003953193580299011,0.004732190852716913,0.0070723152217390985,0.007514216905582,0.6168687706076902,0.5681314292599251,-0.036870880683470275,0.0028064169762804536,-0.03878236105179509,-0.03668893754728296,-0.03531034689823241,False,False
real_even_odd,0.5,90,90,76,14,0.15555555555555556,0,0,0.0019046521778043,0.004565766271857811,0.005768153068450818,0.007970824264673996,0.0082152463855986,0.6541949837422892,0.5317707305344628,-0.045156747988338394,0.0027055626306332265,-0.04704483502093102,-0.04508532609603079,-0.043147529757529154,False,False
real_even_odd,0.6,90,90,65,25,0.2777777777777778,0,0,0.00221072609045135,0.005369685749172925,0.00712830691961349,0.008206346461687223,0.0084572149931649,0.6419303351930694,0.5437219156344935,-0.05251050297386197,0.0027397122151754647,-0.05437500882157007,-0.05215282352969834,-0.050535362330420955,False,False
real_even_odd,0.7,90,90,64,26,0.28888888888888886,0,0,0.0025166090567025,0.006175599922372341,0.006968584717948154,0.010195228322913906,0.0113301483243537,0.5978864705945582,0.5263635296218024,-0.05872470755327411,0.002831376171242322,-0.06012505875157922,-0.058740165566359456,-0.05696474548258969,False,False
real_even_odd,0.8,90,90,61,29,0.32222222222222224,0,0,0.0027955871674375,0.006909171486406051,0.00801190340407296,0.009614325203882156,0.0107996520362249,0.6095508758860669,0.5792831644573109,-0.06458635157047075,0.0031296377885681737,-0.06661414208963407,-0.06503903718387549,-0.062325536446809604,False,False
real_even_odd,0.9,90,90,50,40,0.4444444444444444,0,0,0.0034696663168338497,0.0092658627599318,0.01002287441031107,0.011070859259360822,0.0117258019384751,0.6143421951999722,0.5471687994340085,-0.06931675553348379,0.0032008338846476387,-0.07138217048994502,-0.06879748314664653,-0.0672537182277645,False,False
real_even_odd,1.0,90,90,46,44,0.4888888888888889,0,0,0.0037671909044716,0.008759676636636177,0.010064552641161864,0.012637259368993986,0.0145139559817157,0.6173813617909502,0.5547597573048563,-0.07437015505633754,0.003775825961610795,-0.07654276604579069,-0.07426088941500048,-0.07218595511577522,False,False
