rule,ref_id,within_rule_cluster,within_pc1,within_pc2,within_pc3,split_fail_count,split_fail_rate,max_split,mean_phi_energy,theta_ref_norm
real_even_odd,45,1,1.443049907416878,-9.05818291769,-0.32303262834248525,10,0.4,0.0109373474453964,-0.07681011405862914,13.139228250556084
real_even_odd,46,0,6.100224927096866,1.498704359785121,-5.407933131470814,13,0.52,0.0169007923093715,-0.07634827605694465,14.264035628178146
real_even_odd,47,1,-0.500950806350067,-0.0261027549599845,-4.1702584083009535,14,0.56,0.0175668855535256,-0.07891617724231731,13.62500549626374
real_even_odd,48,1,-6.652196260503879,-1.5413961480939498,-2.094413089551638,14,0.56,0.0141642371448428,-0.08068749653428153,14.165779157652793
real_even_odd,49,1,-1.1373206952328312,3.099035245914823,-0.5591511598024886,15,0.6,0.0133065456437612,-0.07904745174580675,14.887170701896045
real_even_odd,50,0,1.9627941077483206,-2.6012843352249138,-0.39333617857024666,17,0.68,0.0258374903350512,-0.07713937027245903,13.3997392122152
real_even_odd,51,1,-1.9790302493229028,-0.16588604518024466,-4.6592662106316896,11,0.44,0.0125971049995114,-0.08001936064398357,13.240967866476106
real_even_odd,52,1,-0.17102477125909807,-1.0376563155544605,0.3356083202967991,11,0.44,0.0152740474214898,-0.07961333696479282,13.931352313899891
real_even_odd,53,1,-1.8026969467811091,-0.14917894218834846,-3.566171925605912,11,0.44,0.0194629892660691,-0.07890520397040836,14.001294178727996
real_even_odd,54,1,-1.2322816040863505,2.0786373577928816,0.012458032659401,14,0.56,0.0085461439145377,-0.08104754767435514,15.160780017593828
real_even_odd,55,0,5.3163879636573785,-0.34852887756051654,1.7348578698502648,12,0.48,0.0177505904145821,-0.07664712961792719,14.769163354438746
real_even_odd,56,1,-2.625723661353714,-2.990077977849512,0.37142534679294076,12,0.48,0.0155623563467635,-0.08007329034440215,13.464312560534204
real_even_odd,57,1,-1.7522350974249314,-3.0326509290491925,1.6599494024767314,10,0.4,0.0132399623490625,-0.07879298891068698,14.84331601764068
real_even_odd,58,0,-0.360470826684643,4.619542032172346,3.1088731245687526,11,0.44,0.0284981764654411,-0.07893844751619347,14.67980770402276
real_even_odd,59,1,0.2444585160875441,1.1645194452053502,-4.7535194419260245,13,0.52,0.0150082892443799,-0.07923866912146832,14.68302079388235
real_even_odd,1000,0,1.7847387725735735,0.2362585137894668,2.9124460370321397,13,0.52,0.0151288184795442,-0.07829192606527526,12.933733776771705
real_even_odd,1001,1,0.8295974968908977,0.7916838485579172,0.2515472360799142,14,0.56,0.0130324919805358,-0.07770752900125565,13.53470602103974
real_even_odd,1002,1,-1.732529747644114,1.2998420972089655,2.6780501310431344,13,0.52,0.0157333434188532,-0.07899047792477454,13.521753193078258
real_even_odd,1003,1,0.3505099141428247,-4.280911555589711,-0.332489407423389,14,0.56,0.0147289464705679,-0.07744639048172205,14.588394145085116
real_even_odd,1004,0,2.724563465502145,0.6031165939266067,-1.9450322187174327,10,0.4,0.0183119338985166,-0.07814039672506308,15.113932468410322
real_even_odd,1005,0,0.21528254233305558,7.363812612961134,0.09052258740739312,12,0.48,0.018048231966236,-0.0789696273370827,12.950757365757806
real_even_odd,1006,1,-2.2544670827766917,-4.228057931719778,-1.7950995916022012,15,0.6,0.0182923889886292,-0.08005671872777687,13.625541516247589
real_even_odd,1007,1,-3.371173078678465,-2.3776654753204443,-0.049062040566348566,9,0.36,0.0104750944232881,-0.08097943142390454,13.671997315487271
real_even_odd,1008,1,-0.24862391422137428,-0.6005982217992871,6.5753913228256735,13,0.52,0.0236922523599258,-0.07987993115436574,14.455532193084538
real_even_odd,1009,1,-1.929039805945356,5.033503593150572,-2.9055615564262647,11,0.44,0.0171959713741306,-0.08032613285921583,14.21517897067742
real_even_odd,1010,0,2.661203383824835,2.1842036765046076,-0.08615369629468299,9,0.36,0.0144038992462106,-0.07937572866229049,13.769546122656587
real_even_odd,1011,1,-1.785075642139658,0.37746418615364535,1.028534192288428,8,0.32,0.0175369428543907,-0.07976050019810843,13.405333537540368
real_even_odd,1012,1,0.14899898820320392,-3.025070952866054,-0.28431481873567005,12,0.48,0.0198262245287327,-0.07820923163119783,14.2708614073215
real_even_odd,1013,0,1.3850441100838566,-0.9650794613258442,-0.157105770818329,14,0.56,0.0196101268226472,-0.07785386996518681,14.44067254728001
real_even_odd,1014,0,0.7540260940380363,-0.34945539963446137,0.7662715141736948,15,0.6,0.0139695829564617,-0.07759488252465271,14.899920464011002
real_even_odd,1015,0,5.834349156852308,-2.6030385575196124,1.6609605418323983,13,0.52,0.0127358401845303,-0.07572320817181118,14.238892517120387
real_even_odd,1016,0,3.840844038752509,1.3450524770420824,-3.7032623337121655,14,0.56,0.0153534970858517,-0.07760767045500919,13.38515327321068
real_even_odd,1017,1,-1.81487521543271,-0.6306916371231946,4.566103054527784,7,0.28,0.0124667841474104,-0.07907732034095648,14.190970746049278
real_even_odd,1018,1,0.15235657719101653,-2.714385493676437,4.035728727039921,10,0.4,0.0139924309915544,-0.07923271308391872,14.456881390290382
real_even_odd,1019,0,1.3196509888314671,-1.444750863759983,0.6974206918230634,11,0.44,0.0143456970092496,-0.07635023872485443,15.603460403447928
real_even_odd,1020,0,2.17305968802392,4.169733266502875,-1.5930648643011072,12,0.48,0.0219933428717726,-0.07880664441703009,12.664487662311604
real_even_odd,1021,0,5.871315634738633,-1.322930122589287,-1.2894511311459238,14,0.56,0.0150622552343628,-0.07491202464027646,14.730601175527378
real_even_odd,1022,0,1.2089766952335954,0.9711990904417983,-2.2715270446615694,13,0.52,0.0197127321756953,-0.077470536489526,14.250688085433875
real_even_odd,1023,0,6.069781212515819,-4.221658657129834,1.9615680120652317,5,0.2,0.0106513505692347,-0.07634596005295109,15.22724762079
real_even_odd,1024,1,-5.790487461815439,3.1246798187592977,2.1335526798067574,11,0.44,0.0176248459337285,-0.08118986290366066,13.909723692136527
real_even_odd,1025,0,5.078993626751848,3.1526497099273283,0.4913467014222659,12,0.48,0.0182216459737735,-0.07703713254692415,13.18156472802766
real_even_odd,1026,1,-7.684166878487475,2.448102516610717,0.20054280439639005,9,0.36,0.0195194816737403,-0.08337728624505412,11.874918873509712
real_even_odd,1027,0,-1.4567002214461726,3.864951602577412,-0.21564616516341129,8,0.32,0.0123707051274944,-0.07997055541425539,14.675325751805705
real_even_odd,1028,1,-1.2620685426059335,0.6896181181574157,0.03307574578973943,12,0.48,0.0176658099187147,-0.07798498237431874,14.393301365437296
real_even_odd,1029,0,1.4416722128598596,3.2249716589808544,-6.224534538727018,10,0.4,0.0141068238672772,-0.0800160780706603,14.748269921327262
teacher_nn,0,1,1.4482140404050223,4.671697326236995,0.4712172628396635,10,0.4,0.0118684668203238,-0.1065405886324392,12.040562010348532
