rule,radius,ref_count,phi_energy,phi_energy_sd,phi_energy_sem,phi_energy_q25,phi_energy_q50,phi_energy_q75,d_phi_energy_dd_mean,d_phi_energy_dd_sd,d2_phi_energy_dd2_mean,d2_phi_energy_dd2_sd,d_phi_energy_mean_curve_dd,d2_phi_energy_mean_curve_dd2
real_even_odd,1.2,90,-0.08358556645612501,0.004134409585182684,0.00043580503564030754,-0.08644413426804416,-0.0835367083450629,-0.08098521072379145,-0.03948408324425354,0.0253062077611056,0.06666732170476251,0.22697913827640398,-0.039484083244253565,0.06666732170476203
real_even_odd,1.3,90,-0.08683528361417771,0.004285307312865905,0.0004517110527477349,-0.08943723428425153,-0.08741748834025588,-0.08366945810720453,-0.032743592657984925,0.027821590550359102,0.017867456543822782,0.22566433761559349,-0.03274359265798499,0.017867456543823185
real_even_odd,1.4,90,-0.090134284987722,0.004137351129856064,0.00043611510167387477,-0.09277246977922468,-0.09076977205608752,-0.08692792206704301,-0.035910591935488956,0.028467130507103967,-0.014685103049318722,0.24819285397034616,-0.0359105919354889,-0.01468510304931836
real_even_odd,1.5,90,-0.09401740200127551,0.004771992243342934,0.000503012148854005,-0.09688692747432608,-0.09379844395702897,-0.09119143618028147,-0.03568061326784867,0.030651595393979228,0.01926403699377278,0.27727838772343816,-0.03568061326784866,0.01926403699377241
real_even_odd,1.6,90,-0.09727040764129173,0.0048012234369808554,0.0005060933872080467,-0.10039334813850559,-0.0979279984315263,-0.0942304420813638,-0.03205778453673439,0.03365462782356063,0.027228629088509128,0.2799990235477885,-0.03205778453673441,0.02722862908850926
real_even_odd,1.7,90,-0.10042895890862237,0.004261513218623209,0.0004492029349921475,-0.10348315104956966,-0.10021444147411496,-0.0974497694591353,-0.03023488745014683,0.03280481016636437,0.030081197918516878,0.27227053928746453,-0.030234887450146797,0.03008119791851699
real_even_odd,1.8,90,-0.1033173851313211,0.004833922221895806,0.0005095401417764195,-0.10639056624540749,-0.10376096496152584,-0.09996849628227514,-0.026041544953031022,0.029103352372290236,0.03504121606298117,0.2739193075242798,-0.026041544953031015,0.0350412160629809
real_even_odd,1.9,90,-0.10563726789922856,0.005107505634692692,0.0005383783655924272,-0.10963456995970909,-0.1058666592939885,-0.10259586032207668,-0.023226644237550595,0.0326781257188861,-0.015017080525637175,0.26679369335027986,-0.02322664423755061,-0.015017080525637105
real_even_odd,2.0,90,-0.10796271397883124,0.0051799279745986795,0.0005460123505118215,-0.11076287636150547,-0.10817109041281422,-0.10530653533605748,-0.02904496105815848,0.03124138140678136,-0.004804589199872456,0.3001581386431939,-0.02904496105815846,-0.004804589199872131
real_even_odd,2.1,90,-0.11144626011086026,0.0040113139497314505,0.0004228296163719181,-0.1141600725802657,-0.11115080660874818,-0.10892920673109854,-0.024187562077525086,0.03548933334753604,0.025250177221663037,0.26584714441809326,-0.024187562077525038,0.025250177221662867
real_even_odd,2.2,90,-0.11280022639433626,0.005485869817891679,0.0005782614523903614,-0.11582557578572834,-0.11305252227508727,-0.10969086736485241,-0.02399492561382587,0.03301100613313624,0.027519021275095687,0.3398231759784236,-0.02399492561382588,0.027519021275095493
real_even_odd,2.3,90,-0.11624524523362544,0.005558125197550279,0.0005858778381544067,-0.1197086839368439,-0.11619751354426608,-0.1128439065445564,-0.01868375782250598,0.04192099267261439,0.025119674279868803,0.33231117481455574,-0.018683757822505975,0.02511967427986886
real_even_odd,2.4,90,-0.11653697795883743,0.006234248892255092,0.0006571475333302582,-0.12140146491779581,-0.11703091529471486,-0.11266089138107797,-0.018970990757852135,0.041015071088034386,-0.08170448220539216,0.577193823131182,-0.018970990757852135,-0.08170448220539214
real_even_odd,2.5,90,-0.12003944338519587,0.00557892715227587,0.0005880705567116259,-0.12415764119927997,-0.11983551808348236,-0.11640689600115087,-0.03502465426358443,0.08509731763832014,-0.16053663505732274,0.7303594436975114,-0.03502465426358442,-0.1605366350573227
teacher_nn,0.1,90,-0.008776399469645046,0.002227017070672276,0.0002347482110466854,-0.01010045703231735,-0.009396027607102739,-0.008152458229236676,-0.17233611991608053,0.015705637525975532,0.03622541220197191,0.14494412470316345,-0.17233611991608055,0.03622541220197201
teacher_nn,0.2,90,-0.0260100114612531,0.0033553433743675827,0.00035368424649855307,-0.028515649841589306,-0.026687414015389835,-0.02395549704275238,-0.16871357869588335,0.009880980156917421,0.09947090806644318,0.11255809489015962,-0.16871357869588335,0.09947090806644321
teacher_nn,0.3,90,-0.04251911520882171,0.0035850799865548293,0.0003779006117133029,-0.045005905861746076,-0.04356297481142682,-0.040391377451533074,-0.1524419383027919,0.011566315525565774,0.23853461114151564,0.10705665380316183,-0.15244193830279193,0.23853461114151553
teacher_nn,0.4,90,-0.056498399121811475,0.0035684969934507804,0.00037615261075891424,-0.058888464920423496,-0.05687109124113742,-0.05467985773167833,-0.1210066564675802,0.015155938857881367,0.2694650205530556,0.12458583488266073,-0.12100665646758021,0.2694650205530556
teacher_nn,0.5,90,-0.06672044650233776,0.004077172187422371,0.0004297716841648536,-0.0696308277379951,-0.06729391969412449,-0.0634388195067404,-0.0985489341921808,0.01763032886383276,0.15823282175763492,0.14673276238812874,-0.0985489341921808,0.15823282175763476
teacher_nn,0.6,90,-0.07620818596024763,0.004267818341607388,0.0004498675533107302,-0.07916328902060352,-0.07639343482418509,-0.07411855593934491,-0.08936009211605324,0.019907166502518336,0.10158721358971334,0.17736702061600912,-0.08936009211605328,0.10158721358971362
teacher_nn,0.7,90,-0.08459246492554841,0.004522791728557748,0.0004767441081604168,-0.08794525845120083,-0.08457445789253784,-0.08138153150908088,-0.07823149147423814,0.022119405853645278,0.1120524438323155,0.19082717224399362,-0.07823149147423808,0.11205244383231555
teacher_nn,0.8,90,-0.09185448425509525,0.004625846451331856,0.00048760702974719693,-0.09513823177551575,-0.09235177568812797,-0.08927408107513565,-0.06694960334959012,0.0226274945729519,0.07085609429544537,0.2008769601522543,-0.06694960334959016,0.07085609429544526
teacher_nn,0.9,90,-0.09798238559546645,0.004005132680262335,0.0004221780533601295,-0.10138780781889845,-0.09835832197054967,-0.09525405428203601,-0.06406027261514904,0.025715473158103318,0.05189579312025422,0.21554845513212303,-0.06406027261514902,0.05189579312025433
teacher_nn,1.0,90,-0.10466653877812505,0.004360156750908592,0.00045960087627435256,-0.10725154653766096,-0.10561370273859924,-0.10158151763621978,-0.056570444725539286,0.026605273453375412,0.08459051476712248,0.22495830652415144,-0.05657044472553929,0.08459051476712215
teacher_nn,1.1,90,-0.1092964745405743,0.004834092173215942,0.0005095580562185193,-0.11262159994256216,-0.10968198414741831,-0.10599614685991618,-0.04714216966172455,0.02760454760960651,0.04913021108793788,0.23413215617057387,-0.047142169661724576,0.04913021108793811
teacher_nn,1.2,90,-0.11409497271046995,0.0037333900638868494,0.00039353386652413305,-0.11643847243347474,-0.114401718091132,-0.11139177566890865,-0.04674440250795168,0.02740027621321148,0.006255247818572238,0.23452034095860141,-0.04674440250795164,0.006255247818572396
teacher_nn,1.3,90,-0.11864535504216464,0.004057463103515208,0.00042769416430678725,-0.1216723320709465,-0.11860227524353661,-0.11609897780201398,-0.0458911200980101,0.026453182430653123,0.04743851804571757,0.23748340235686835,-0.04589112009801011,0.04743851804571714
teacher_nn,1.4,90,-0.12327319673007195,0.004259455571636674,0.0004489860399555465,-0.12569579095157116,-0.1237084755594895,-0.12053716912696927,-0.03725669889880817,0.02769984299545616,0.08526872310283565,0.23454257405224369,-0.03725669889880823,0.08526872310283545
teacher_nn,1.5,90,-0.1260966948219263,0.004031435157427775,0.00042495057789170807,-0.12959169527448558,-0.12611564779421214,-0.12354309108614256,-0.028837375477442986,0.026826862278742574,0.018133042300617446,0.24263925250486756,-0.028837375477443028,0.018133042300618157
teacher_nn,1.6,90,-0.12904067182556056,0.0045199284328727805,0.0004764422902944488,-0.13174398408475596,-0.12897797723316973,-0.12593949558020257,-0.03363009043868468,0.027230082488275322,-0.01938448032868448,0.24281219414291577,-0.03363009043868459,-0.019384480328684645
