N,r,branch,phi_emp,phi_theory,finiteN_error
80,1.65,full_max_envelope,1.7867499700175788,1.851726392039609,-0.06497642202203013
80,1.7,full_max_envelope,1.7676013434694886,1.835099237468512,-0.0674978939990234
80,1.75,full_max_envelope,1.745615843796776,1.815171326621794,-0.069555482825018
80,1.8,full_max_envelope,1.7204827338099782,1.79171939466778,-0.07123666085780189
80,1.85,full_max_envelope,1.6923456075657768,1.7649044473391768,-0.07255883977340005
80,1.9,full_max_envelope,1.6613062707879127,1.7364412095846546,-0.07513493879674193
80,1.95,full_max_envelope,1.6272015834948048,1.704297992274178,-0.0770964087793733
80,2.0,full_max_envelope,1.5901970432217414,1.6681690489024277,-0.0779720056806863
80,2.05,full_max_envelope,1.550350621896477,1.63124736220243,-0.08089674030595284
80,2.1,full_max_envelope,1.5075658071312672,1.590424130856718,-0.08285832372545077
80,2.15,full_max_envelope,1.461967110614123,1.545613597493002,-0.0836464868788791
80,2.2,full_max_envelope,1.413579220471748,1.5002651169734236,-0.08668589650167546
80,0.15,full_mixed_maxQ_min_s_eta,0.0,0.0,0.0
80,0.2,full_mixed_maxQ_min_s_eta,0.2833226120943278,0.2873960809559721,-0.0040734688616442805
80,0.25,full_mixed_maxQ_min_s_eta,0.5025135869622549,0.5098688569027066,-0.007355269940451659
80,0.3,full_mixed_maxQ_min_s_eta,0.6808874696531256,0.6911623912089282,-0.010274921555802563
80,0.35,full_mixed_maxQ_min_s_eta,0.8308332125892867,0.8436756312417768,-0.01284241865249014
80,0.4,full_mixed_maxQ_min_s_eta,0.959653432026772,0.975016516029479,-0.015363084002707028
80,0.45,full_mixed_maxQ_min_s_eta,1.0720164262659626,1.089725760841577,-0.0177093345756143
80,0.5,full_mixed_maxQ_min_s_eta,1.1711596345818285,1.1910595285237109,-0.019899893941882407
80,0.55,full_mixed_maxQ_min_s_eta,1.259257725004697,1.2813090353155967,-0.022051310310899686
80,0.6,full_mixed_maxQ_min_s_eta,1.3379763551034318,1.362131459161558,-0.024155104058126264
80,0.65,full_mixed_maxQ_min_s_eta,1.4084683959423192,1.4347465538912707,-0.026278157948951497
80,0.7,full_mixed_maxQ_min_s_eta,1.471699222638376,1.5000584910561643,-0.02835926841778824
80,0.75,full_mixed_maxQ_min_s_eta,1.528407733383684,1.5587334352227868,-0.03032570183910277
80,0.8,full_mixed_maxQ_min_s_eta,1.5791489763609778,1.6113564939955354,-0.032207517634557536
80,0.85,full_mixed_maxQ_min_s_eta,1.6244312627027828,1.6587989574830448,-0.034367694780262026
