cell_id,dataset_tag,width,selected_ref_count,exact_count,relaxed_count,fake_count,sampling_eligible_count,dedup_threshold
cell_beta_0p13_p_0p00,dataset_008_seed_809234,48,10,25,72,3,10,70.80900893586853
cell_beta_0p13_p_0p00,dataset_009_seed_909234,48,10,31,65,4,10,57.34945623873076
cell_beta_0p14_p_0p00,dataset_000_seed_010234,48,10,37,62,1,10,73.92504175547973
cell_beta_0p14_p_0p00,dataset_001_seed_110234,48,10,38,60,2,10,57.66551428549219
cell_beta_0p14_p_0p00,dataset_002_seed_210234,48,10,37,63,0,10,57.76913908642455
cell_beta_0p14_p_0p00,dataset_003_seed_310234,48,10,32,68,0,10,57.360056578243395
cell_beta_0p14_p_0p00,dataset_004_seed_410234,48,10,43,56,1,10,73.08147895310134
cell_beta_0p14_p_0p00,dataset_005_seed_510234,48,10,42,58,0,10,53.14235941870698
cell_beta_0p14_p_0p00,dataset_006_seed_610234,48,10,29,71,0,10,49.28815779673913
cell_beta_0p14_p_0p00,dataset_007_seed_710234,48,10,26,74,0,10,59.68727005465836
cell_beta_0p14_p_0p00,dataset_008_seed_810234,48,10,33,65,2,10,52.986541896447406
cell_beta_0p14_p_0p00,dataset_009_seed_910234,48,10,32,65,3,10,49.614897187794966
cell_beta_0p15_p_0p00,dataset_000_seed_011234,48,10,35,65,0,10,56.62546363097211
cell_beta_0p15_p_0p00,dataset_001_seed_111234,48,10,37,63,0,10,52.384192843075574
cell_beta_0p15_p_0p00,dataset_002_seed_211234,48,10,39,61,0,10,53.491382180480336
cell_beta_0p15_p_0p00,dataset_003_seed_311234,48,10,38,62,0,10,64.90276807810442
cell_beta_0p15_p_0p00,dataset_004_seed_411234,48,10,36,61,3,10,48.153835499527425
cell_beta_0p15_p_0p00,dataset_005_seed_511234,48,10,34,66,0,10,49.966462310944685
cell_beta_0p15_p_0p00,dataset_006_seed_611234,48,10,34,66,0,10,55.10891037804663
cell_beta_0p15_p_0p00,dataset_007_seed_711234,48,10,32,66,2,10,49.010089730286005
cell_beta_0p15_p_0p00,dataset_008_seed_811234,48,10,36,64,0,10,60.72161200662881
cell_beta_0p15_p_0p00,dataset_009_seed_911234,48,10,33,67,0,10,49.90813488676645
cell_beta_0p16_p_0p00,dataset_000_seed_012234,48,10,38,62,0,10,44.16321265505454
cell_beta_0p16_p_0p00,dataset_001_seed_112234,48,10,33,67,0,10,46.878973830732804
cell_beta_0p16_p_0p00,dataset_002_seed_212234,48,10,29,71,0,10,55.2441663581398
cell_beta_0p16_p_0p00,dataset_003_seed_312234,48,10,36,64,0,10,46.31527188110715
cell_beta_0p16_p_0p00,dataset_004_seed_412234,48,10,36,64,0,10,45.23576679166821
cell_beta_0p16_p_0p00,dataset_005_seed_512234,48,10,46,54,0,10,60.273418592361104
cell_beta_0p16_p_0p00,dataset_006_seed_612234,48,10,30,69,1,10,49.18236625484067
cell_beta_0p16_p_0p00,dataset_007_seed_712234,48,10,31,69,0,10,50.26222185057263
cell_beta_0p16_p_0p00,dataset_008_seed_812234,48,10,22,78,0,10,62.56942188110685
cell_beta_0p16_p_0p00,dataset_009_seed_912234,48,10,42,58,0,10,42.535855872499155
cell_beta_0p17_p_0p00,dataset_000_seed_013234,48,10,61,39,0,10,36.153738323139386
cell_beta_0p17_p_0p00,dataset_001_seed_113234,48,10,45,55,0,10,53.192500313962185
cell_beta_0p17_p_0p00,dataset_002_seed_213234,48,10,39,61,0,10,54.50108075218981
cell_beta_0p17_p_0p00,dataset_003_seed_313234,48,10,38,62,0,10,47.78392410757086
cell_beta_0p17_p_0p00,dataset_004_seed_413234,48,10,37,61,2,10,56.186041375305365
cell_beta_0p17_p_0p00,dataset_005_seed_513234,48,10,40,60,0,10,54.917336902198066
cell_beta_0p17_p_0p00,dataset_006_seed_613234,48,10,44,56,0,10,58.18650986208123
cell_beta_0p17_p_0p00,dataset_007_seed_713234,48,10,40,60,0,10,44.073521185754394
cell_beta_0p17_p_0p00,dataset_008_seed_813234,48,10,32,67,1,10,52.89195952534511
cell_beta_0p17_p_0p00,dataset_009_seed_913234,48,10,32,67,1,10,36.93524913386466
cell_beta_0p18_p_0p00,dataset_000_seed_014234,48,10,37,63,0,10,50.572810336785004
cell_beta_0p18_p_0p00,dataset_001_seed_114234,48,10,45,52,3,10,40.40228420207847
cell_beta_0p18_p_0p00,dataset_002_seed_214234,48,10,38,62,0,10,43.67440809638023
cell_beta_0p18_p_0p00,dataset_003_seed_314234,48,10,54,46,0,10,50.40065322659728
cell_beta_0p18_p_0p00,dataset_004_seed_414234,48,10,35,65,0,10,44.99879440862559
cell_beta_0p18_p_0p00,dataset_005_seed_514234,48,10,30,69,1,10,41.65234091387818
cell_beta_0p18_p_0p00,dataset_006_seed_614234,48,10,36,63,1,10,41.36329280871311
cell_beta_0p18_p_0p00,dataset_007_seed_714234,48,10,35,65,0,10,45.31133313437887
cell_beta_0p18_p_0p00,dataset_008_seed_814234,48,10,54,46,0,10,41.46447367020154
cell_beta_0p18_p_0p00,dataset_009_seed_914234,48,10,42,57,1,10,41.27267151524869
cell_beta_0p19_p_0p00,dataset_000_seed_015234,48,10,20,78,2,10,49.29133964349749
cell_beta_0p19_p_0p00,dataset_001_seed_115234,48,10,45,55,0,10,46.73946327584979
cell_beta_0p19_p_0p00,dataset_002_seed_215234,48,10,54,46,0,10,44.04996063271256
cell_beta_0p19_p_0p00,dataset_003_seed_315234,48,10,43,57,0,10,43.82399407150232
cell_beta_0p19_p_0p00,dataset_004_seed_415234,48,10,47,53,0,10,42.023754273610464
cell_beta_0p19_p_0p00,dataset_005_seed_515234,48,10,38,62,0,10,49.292571354867555
cell_beta_0p19_p_0p00,dataset_006_seed_615234,48,10,28,71,1,10,48.12292991981196
cell_beta_0p19_p_0p00,dataset_007_seed_715234,48,10,39,61,0,10,38.39017547760367
cell_beta_0p19_p_0p00,dataset_008_seed_815234,48,10,44,56,0,10,41.01554971799902
cell_beta_0p19_p_0p00,dataset_009_seed_915234,48,10,36,64,0,10,39.249201245826846
cell_beta_0p20_p_0p00,dataset_000_seed_016234,48,10,33,67,0,10,44.5935637697787
cell_beta_0p20_p_0p00,dataset_001_seed_116234,48,10,45,55,0,10,40.49654140683059
cell_beta_0p20_p_0p00,dataset_002_seed_216234,48,10,64,36,0,10,34.716205455583065
cell_beta_0p20_p_0p00,dataset_003_seed_316234,48,10,35,64,1,10,44.14679653934538
cell_beta_0p20_p_0p00,dataset_004_seed_416234,48,10,34,66,0,10,46.60209746713791
cell_beta_0p20_p_0p00,dataset_005_seed_516234,48,10,46,54,0,10,44.69700464185633
cell_beta_0p20_p_0p00,dataset_006_seed_616234,48,10,62,38,0,10,38.65922493400983
cell_beta_0p20_p_0p00,dataset_007_seed_716234,48,10,43,57,0,10,48.83762789603088
cell_beta_0p20_p_0p00,dataset_008_seed_816234,48,10,60,40,0,10,42.788677095425314
cell_beta_0p20_p_0p00,dataset_009_seed_916234,48,10,35,65,0,10,41.58783693409082
