eta,rule,radius,n_units,delta_phi_energy_mean,phi_energy_raw_mean
0.15,eta_0p15,0.85,30,-0.1150728293967453,-0.1296073695661511
0.15,eta_0p15,0.86,30,-0.1146703764641726,-0.1292049166335783
0.15,eta_0p15,0.87,30,-0.1149198262916384,-0.1294543664610442
0.15,eta_0p15,0.88,30,-0.1155236816759562,-0.130058221845362
0.15,eta_0p15,0.89,30,-0.1164627870104902,-0.130997327179896
0.15,eta_0p15,0.9,30,-0.1163467186103492,-0.130881258779755
0.15,eta_0p15,0.91,30,-0.1166747488771972,-0.131209289046603
0.15,eta_0p15,0.92,30,-0.1161071106304007,-0.1306416507998065
0.15,eta_0p15,0.93,30,-0.1165915694293584,-0.1311261095987642
0.15,eta_0p15,0.94,30,-0.1174485240386182,-0.131983064208024
0.15,eta_0p15,0.95,30,-0.1173706282048469,-0.1319051683742527
0.15,eta_0p15,0.96,30,-0.1172565673552983,-0.1317911075247041
0.15,eta_0p15,0.97,30,-0.1178455135910006,-0.1323800537604064
0.15,eta_0p15,0.98,30,-0.1194443493624322,-0.133978889531838
0.15,eta_0p15,0.99,30,-0.1178812345525275,-0.1324157747219333
0.15,eta_0p15,1.0,30,-0.1198206064267647,-0.1343551465961704
0.25,eta_0p25,0.01,30,0.0186845700790195,-0.0009128927513624
0.25,eta_0p25,0.02,30,0.0184397582936759,-0.001157704536706
0.25,eta_0p25,0.03,30,0.0178809740292216,-0.0017164888011604
0.25,eta_0p25,0.04,30,0.0168584426449733,-0.0027390201854086
0.25,eta_0p25,0.05,30,0.0153150504651707,-0.0042824123652112
0.25,eta_0p25,0.06,30,0.0132499949726277,-0.0063474678577542
0.25,eta_0p25,0.07,30,0.0106318243145524,-0.0089656385158295
0.25,eta_0p25,0.08,30,0.0076196958491941,-0.0119777669811878
0.25,eta_0p25,0.09,30,0.0042313493334049,-0.015366113496977
0.25,eta_0p25,0.1,30,0.0,-0.019597462830382
0.25,eta_0p25,0.11,30,-0.0039559323856151,-0.0235533952159971
0.25,eta_0p25,0.12,30,-0.0090633974448734,-0.0286608602752554
0.25,eta_0p25,0.13,30,-0.0139699953694967,-0.0335674581998787
0.25,eta_0p25,0.14,30,-0.0197169863953313,-0.0393144492257133
0.25,eta_0p25,0.15,30,-0.0242338354187322,-0.0438312982491142
0.25,eta_0p25,0.16,30,-0.029774953752292,-0.0493724165826741
0.25,eta_0p25,0.17,30,-0.0369942845048287,-0.0565917473352107
0.25,eta_0p25,0.18,30,-0.0422898125504625,-0.0618872753808445
0.25,eta_0p25,0.19,30,-0.0468232624217915,-0.0664207252521735
0.25,eta_0p25,0.2,30,-0.0536185553541491,-0.0732160181845311
0.25,eta_0p25,0.21,30,-0.0584981444315873,-0.0780956072619693
0.25,eta_0p25,0.22,30,-0.0642600687327642,-0.0838575315631462
0.25,eta_0p25,0.23,30,-0.0691270384827284,-0.0887245013131104
0.25,eta_0p25,0.24,30,-0.0738557710629374,-0.0934532338933194
0.25,eta_0p25,0.25,30,-0.0782960854567867,-0.0978935482871687
0.25,eta_0p25,0.26,30,-0.0830667927774056,-0.1026642556077876
0.25,eta_0p25,0.27,30,-0.0875556011642566,-0.1071530639946386
0.25,eta_0p25,0.28,30,-0.0915185700456253,-0.1111160328760073
0.25,eta_0p25,0.29,30,-0.0948100780002834,-0.1144075408306654
0.25,eta_0p25,0.3,30,-0.0988889858856172,-0.1184864487159992
0.25,eta_0p25,0.31,30,-0.0997370398560406,-0.1193345026864226
0.25,eta_0p25,0.32,30,-0.1041420035565152,-0.1237394663868972
0.25,eta_0p25,0.33,30,-0.1062385085830074,-0.1258359714133894
0.25,eta_0p25,0.34,30,-0.1083583792214699,-0.1279558420518519
0.25,eta_0p25,0.35,30,-0.1097678262236896,-0.1293652890540717
0.25,eta_0p25,0.36,30,-0.1117805041525523,-0.1313779669829343
0.25,eta_0p25,0.37,30,-0.1131969318623734,-0.1327943946927554
0.25,eta_0p25,0.38,30,-0.1135260545582555,-0.1331235173886375
0.25,eta_0p25,0.39,30,-0.1150432485663619,-0.134640711396744
0.25,eta_0p25,0.4,30,-0.1149420367387559,-0.1345394995691379
0.25,eta_0p25,0.41,30,-0.1166994633701383,-0.1362969262005203
0.25,eta_0p25,0.42,30,-0.1155898087804996,-0.1351872716108816
0.25,eta_0p25,0.43,30,-0.1171074677723857,-0.1367049306027677
0.25,eta_0p25,0.44,30,-0.1194364559863012,-0.1390339188166832
0.25,eta_0p25,0.45,30,-0.1195521446274723,-0.1391496074578543
0.25,eta_0p25,0.46,30,-0.117727770978883,-0.137325233809265
0.25,eta_0p25,0.47,30,-0.1194435250585462,-0.1390409878889282
0.25,eta_0p25,0.48,30,-0.1197624831180564,-0.1393599459484384
0.25,eta_0p25,0.49,30,-0.1202525890472499,-0.1398500518776319
0.25,eta_0p25,0.5,30,-0.1201894093438043,-0.1397868721741863
0.25,eta_0p25,0.51,30,-0.1205763920625404,-0.1401738548929224
0.25,eta_0p25,0.52,30,-0.1210476019909355,-0.1406450648213175
0.25,eta_0p25,0.53,30,-0.1213581113262674,-0.1409555741566494
0.25,eta_0p25,0.54,30,-0.1212740113528737,-0.1408714741832557
0.25,eta_0p25,0.55,30,-0.1221121214889098,-0.1417095843192918
0.25,eta_0p25,0.56,30,-0.1218082156777285,-0.1414056785081105
0.25,eta_0p25,0.57,30,-0.1222921563925649,-0.1418896192229469
0.25,eta_0p25,0.58,30,-0.1220213742962342,-0.1416188371266163
0.25,eta_0p25,0.59,30,-0.1226332424479519,-0.1422307052783339
0.25,eta_0p25,0.6,30,-0.1228945131675498,-0.1424919759979318
0.25,eta_0p25,0.61,30,-0.1235882667403146,-0.1431857295706966
0.25,eta_0p25,0.62,30,-0.1234869170659845,-0.1430843798963666
0.25,eta_0p25,0.63,30,-0.1232851984634752,-0.1428826612938572
0.25,eta_0p25,0.64,30,-0.1227477391414509,-0.142345201971833
0.25,eta_0p25,0.65,30,-0.1245914839663733,-0.1441889467967553
0.25,eta_0p25,0.66,30,-0.1243237975839279,-0.14392126041431
0.25,eta_0p25,0.67,30,-0.1235157008712013,-0.1431131637015833
0.25,eta_0p25,0.68,30,-0.1237565555679498,-0.1433540183983318
0.25,eta_0p25,0.69,30,-0.1247959781676274,-0.1443934409980094
0.25,eta_0p25,0.7,30,-0.1243980455120925,-0.1439955083424745
0.25,eta_0p25,0.71,30,-0.1250368389194075,-0.1446343017497895
0.25,eta_0p25,0.72,30,-0.1263147454062639,-0.145912208236646
0.25,eta_0p25,0.73,30,-0.1252002887058642,-0.1447977515362462
0.25,eta_0p25,0.74,30,-0.1255422800163163,-0.1451397428466983
0.25,eta_0p25,0.75,30,-0.1257965122221062,-0.1453939750524882
0.25,eta_0p25,0.76,30,-0.126359937183944,-0.145957400014326
0.25,eta_0p25,0.77,30,-0.1258909561547448,-0.1454884189851268
0.25,eta_0p25,0.78,30,-0.1267027634477619,-0.1463002262781439
0.25,eta_0p25,0.79,30,-0.1278141971792462,-0.1474116600096282
0.25,eta_0p25,0.8,30,-0.1272146309522249,-0.1468120937826069
0.25,eta_0p25,0.81,30,-0.1273495453284121,-0.1469470081587941
0.25,eta_0p25,0.82,30,-0.1276920329308325,-0.1472894957612145
0.25,eta_0p25,0.83,30,-0.1274293420208917,-0.1470268048512737
0.25,eta_0p25,0.84,30,-0.1280371182185183,-0.1476345810489003
0.25,eta_0p25,0.85,30,-0.1279306150697328,-0.1475280779001148
0.25,eta_0p25,0.86,30,-0.1284973735408366,-0.1480948363712186
0.25,eta_0p25,0.87,30,-0.1277739929766796,-0.1473714558070616
0.25,eta_0p25,0.88,30,-0.1288242925720355,-0.1484217554024175
0.25,eta_0p25,0.89,30,-0.1289501842445764,-0.1485476470749584
0.25,eta_0p25,0.9,30,-0.1289455124176122,-0.1485429752479942
0.25,eta_0p25,0.91,30,-0.1284227515191352,-0.1480202143495172
0.25,eta_0p25,0.92,30,-0.1290060914137608,-0.1486035542441429
0.25,eta_0p25,0.93,30,-0.1288180732726952,-0.1484155361030772
0.25,eta_0p25,0.94,30,-0.1288518716097262,-0.1484493344401082
0.25,eta_0p25,0.95,30,-0.1300353375657957,-0.1496328003961777
0.25,eta_0p25,0.96,30,-0.1292988400832374,-0.1488963029136195
0.25,eta_0p25,0.97,30,-0.1301725723181543,-0.1497700351485363
0.25,eta_0p25,0.98,30,-0.1306634599539108,-0.1502609227842928
0.25,eta_0p25,0.99,30,-0.129801585200396,-0.149399048030778
0.25,eta_0p25,1.0,30,-0.1300280331921826,-0.1496254960225646
