rule,ref_id,radius,phi_energy_raw,source_run,nmstv_mean,tv_mean
very_low_tv_spectral_teacher,0,1.3,-0.0674863150588635,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.35,-0.0647681852674623,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.4,-0.0721653298250846,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.45,-0.0710069657028872,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.5,-0.0807972808037129,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.55,-0.07882969384432,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.6,-0.0781968598277968,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.65,-0.0808729927785838,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.7,-0.0763765935375896,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.75,-0.0742519083072769,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.8,-0.0747385816766739,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.85,-0.0768300776670839,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.9,-0.0807172223657781,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,1.95,-0.0882564394031975,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,2.0,-0.0957240373068362,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,2.05,-0.0799543266531781,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,2.1,-0.09184522713127,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,2.15,-0.0906792372516499,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,2.2,-0.0872851451726844,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,2.25,-0.0907319483755968,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,2.3,-0.0915221813487879,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,2.35,-0.0841944338023506,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,2.4,-0.0936896912634412,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,2.45,-0.0931296155059508,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,0,2.5,-0.091022992453715,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.1,-0.0039385672024388,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.15,-0.0076188195424347,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.2,-0.012275027653155,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.25,-0.0165639486671011,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.3,-0.0194466458965636,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.35,-0.0237072289373561,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.4,-0.0274124179522095,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.45,-0.0303228143943834,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.5,-0.0310673032952628,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.55,-0.0321306088447601,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.6,-0.0388269326361207,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.65,-0.0399211863369837,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.7,-0.0419595287921665,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.75,-0.0438691095571841,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.8,-0.0454285807496099,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.85,-0.0450944159704693,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.9,-0.0512770164762895,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,0.95,-0.0500005600912785,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.0,-0.0598456094997971,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.05,-0.0591151466449615,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.1,-0.0566331515141021,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.15,-0.0644009080599624,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.2,-0.0655236266668427,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.25,-0.0656016423158113,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.3,-0.0650326265015402,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.35,-0.0694420009872493,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.4,-0.0700801505752472,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.45,-0.0747540801923849,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.5,-0.0656567327602708,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.55,-0.0746108722947658,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.6,-0.0737589900436667,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.65,-0.0766659113850253,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.7,-0.0708277716417394,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.75,-0.0762026387260728,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.8,-0.0882150419609764,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.85,-0.0777597717284932,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.9,-0.0917676535027533,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,1.95,-0.0772715533542106,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,2.0,-0.077774448456535,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,2.05,-0.0913217338331109,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,2.1,-0.0838576948888775,advanced_90ref,0.3245703473792008,0.1622455532858676
very_low_tv_spectral_teacher,1,2.15,-0.0920604817355972,advanced_90ref,0.3245703473792008,0.1622455532858676
