N,r,split_logZ_per_N_diff,dataset_id,ref_id,split0_logZ,split1_logZ,signed_split_logZ_per_N_diff,ess_fraction,smc_min_cess_fraction,smc_completed,sampler_method,n_particles,sample_payload_path,payload_split,far_split_start_r,source_path
40,0.15,0.00017395143142791004,2,2,-0.949735718984528,-0.9566937762416444,0.00017395143142791004,0.9920428478844796,0.991807213554,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_003/ref_003/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.0001302210398444803,2,3,-0.9879650274508708,-0.99317386904465,0.0001302210398444803,0.9913921815882436,0.9910962601132776,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_003/ref_004/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.00012245001294666213,2,4,-1.7430687641224842,-1.7479667646403507,0.00012245001294666213,0.9883351386308364,0.9883102349286276,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_003/ref_005/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.00016548759377176813,2,5,-1.380637097538116,-1.3740175937872452,-0.00016548759377176813,0.992540725491268,0.9923779210742012,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_003/ref_006/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,1.976596483534987e-05,2,6,-0.9670320543412224,-0.9662414157478084,-1.976596483534987e-05,0.9946856641475732,0.9946311375754188,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_003/ref_007/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.0002491813090816475,2,7,-1.8891036154665588,-1.8990708678298247,0.0002491813090816475,0.9857132535708574,0.9854759849343276,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_003/ref_008/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.00010917901733820123,2,8,-2.0317698079266684,-2.0361369686201964,0.00010917901733820123,0.984191584169286,0.9838745105381425,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_003/ref_009/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,9.100932753940971e-05,2,9,-1.8292856445830168,-1.8256452714814404,-9.100932753940971e-05,0.9825060034809486,0.9823436734237524,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_003/ref_010/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,1.870088409337556e-05,3,0,-1.556472199730831,-1.557220235094566,1.870088409337556e-05,0.9918847594737128,0.9916698358236404,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_004/ref_001/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.0002307096466680203,3,1,-1.9212006677344915,-1.9304290536012123,0.0002307096466680203,0.9889350873427002,0.9887980318338774,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_004/ref_002/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,5.850025526293878e-05,3,2,-2.047828966645396,-2.0501689768559137,5.850025526293878e-05,0.9860677100243852,0.9856487371006232,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_004/ref_003/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.0001227390359097358,3,3,-1.671197469155915,-1.6662879077195256,-0.0001227390359097358,0.9905406252065566,0.9904768823899645,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_004/ref_004/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,3.7677841589811577e-06,3,4,-1.8795434333004992,-1.87939272193414,-3.7677841589811577e-06,0.9889050189206768,0.98867228668408,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_004/ref_005/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.00011230144405871,3,5,-0.9305443598714608,-0.9350364176338092,0.00011230144405871,0.9941138978649776,0.9939327577049392,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_004/ref_006/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,6.869482071595878e-05,3,6,-1.8041782659885808,-1.8069260588172191,6.869482071595878e-05,0.9885372266529032,0.988500532672902,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_004/ref_007/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,4.514323354620764e-06,3,7,-1.141172286808002,-1.1409917138738173,-4.514323354620764e-06,0.9935519417952956,0.9932903397408536,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_004/ref_008/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.00020168579740122982,3,8,-2.2901629989479737,-2.298230430844023,0.00020168579740122982,0.9861495484827166,0.985952409667005,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_004/ref_009/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,0.00011557832449096139,3,9,-1.434868987045873,-1.4394921200255115,0.00011557832449096139,0.9907831228199522,0.9905342881819488,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_004/ref_010/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,3.176125999493351e-06,4,0,-2.2772638102049925,-2.277390855244972,3.176125999493351e-06,0.9845671860226488,0.9842292248672324,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_005/ref_001/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,2.510991824111741e-06,4,1,-1.491375323190576,-1.4914757628635404,2.510991824111741e-06,0.9910550610771908,0.9910372700706536,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_005/ref_002/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,6.739420332510515e-05,4,2,-1.9069562436615013,-1.904260475528497,-6.739420332510515e-05,0.9888660230346136,0.9888182086920396,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_005/ref_003/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,5.075453052236778e-05,4,3,-1.291954140018247,-1.2899239587973523,-5.075453052236778e-05,0.9873277730891684,0.9872216923654814,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_005/ref_004/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,6.033503379065941e-06,4,4,-1.295135321590817,-1.2953766617259797,6.033503379065941e-06,0.9901154887514466,0.9900994779498076,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_005/ref_005/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
40,0.15,2.9289981278179945e-05,4,5,-1.557027832998396,-1.5558562337472688,-2.9289981278179945e-05,0.9904792103530812,0.9903403091146792,True,exact_shell_l2_vmf_adaptive_ce_tempered_smc,2048,01_theory/02_theory_sampling/raw_outputs/shell_pool/near_split/N_40/dataset_005/ref_006/r_001/samples.npy,near_split,2.0,/home/bjyong/Complexity/Complexity/01_theory/02_theory_sampling/summarized_outputs/sample_unit_summary.csv
