rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2
teacher_nn,0.3,0.1,-0.04251911520882171,-0.03374271573917667,1.0644231640347157,90,90,complete,False,-0.15244193830279193,0.23853461114151553,-0.1524419383027919,0.23853461114151542,3.3118857012288316,-14.450160996936624
teacher_nn,0.4,0.1,-0.056498399121811475,-0.04772199965216643,1.3380090561604832,90,90,complete,False,-0.12100665646758021,0.2694650205530556,-0.12100665646758024,0.2694650205530554,2.432083620786255,-6.919664380415867
teacher_nn,0.5,0.1,-0.06672044650233776,-0.05794404703269272,1.5508398881919667,90,90,complete,False,-0.0985489341921808,0.15823282175763476,-0.09854893419218083,0.1582328217576357,1.9279528251456588,-4.198830692831491
teacher_nn,0.6,0.1,-0.07620818596024763,-0.0674317864906026,1.7235996211896147,90,90,complete,False,-0.08936009211605328,0.10158721358971362,-0.08936009211605311,0.10158721358971406,1.5923174822199568,-2.8417921821305514
teacher_nn,0.7,0.1,-0.08459246492554841,-0.07581606545590334,1.8693033846359581,90,90,complete,False,-0.07823149147423808,0.11205244383231583,-0.07823149147423802,0.11205244383231472,1.3595943887195485,-2.0160276914496347
teacher_nn,0.8,0.1,-0.09185448425509525,-0.0830780847854502,1.9955184989335244,90,90,complete,False,-0.0669496033495901,0.07085609429544526,-0.06694960334959016,0.0708560942954447,1.1891119439300297,-1.5419513213732383
teacher_nn,0.9,0.1,-0.09798238559546643,-0.0892059861258214,2.107125773421964,90,90,complete,False,-0.06406027261514902,0.051895793120253775,-0.06406027261514907,0.051895793120254885,1.0512041244449009,-1.2136830643984098
teacher_nn,1.0,0.1,-0.10466653877812505,-0.09589013930848002,2.2057593238225044,90,90,complete,False,-0.05657044472553935,0.0845905147671227,-0.05657044472553918,0.0845905147671227,0.9463753310503478,-0.9355446591441643
teacher_nn,1.1,0.1,-0.1092964745405743,-0.10052007507092924,2.2964008396320335,90,90,complete,False,-0.047142169661724465,0.049130211087938386,-0.04714216966172452,0.049130211087937,0.8640951926160678,-0.7909435654815766
teacher_nn,1.2,0.1,-0.11409497271046994,-0.1053185732408249,2.3785783623457175,90,90,complete,False,-0.04674440250795164,0.006255247818571286,-0.046744402507951754,0.006255247818571563,0.7881866179540324,-0.6977305032792995
teacher_nn,1.3,0.1,-0.11864535504216463,-0.10986895557251959,2.4540381632228403,90,90,complete,False,-0.04589112009801022,0.04743851804571658,-0.04589112009801022,0.04743851804571769,0.724549091960208,-0.5511491791844039
teacher_nn,1.4,0.1,-0.12327319673007195,-0.11449679726042693,2.523488180737759,90,90,complete,False,-0.03725669889880834,0.08526872310283601,-0.03725669889880823,0.08526872310283656,0.6779567821171515,-0.4300039965104223
teacher_nn,1.5,0.1,-0.1260966948219263,-0.11732029535228125,2.589629519646271,90,90,complete,False,-0.028837375477443028,0.018133042300618712,-0.028837375477442917,0.018133042300617602,0.6385482926581236,-0.4301272552328945
teacher_nn,1.6,0.1,-0.12904067182556056,-0.12026427235591552,2.6511978392693836,90,90,complete,False,-0.03363009043868459,-0.0193844803286852,-0.0336300904386847,-0.019384480328684645,0.5919313310705725,-0.41293342528625443
teacher_nn,1.7,0.1,-0.1328227129096632,-0.12404631344001815,2.708015785860385,90,90,complete,False,-0.03271427154318007,0.05911326376330954,-0.03271427154317985,0.05911326376330954,0.5559616076008727,-0.28918284854574683
teacher_nn,1.8,0.1,-0.13558352613419658,-0.1268071266645515,2.7623901607895585,90,90,complete,False,-0.021807437686022668,0.047091127177502454,-0.02180743768602278,0.04709112717750079,0.5340947613614233,-0.26334567896279637
teacher_nn,1.9,0.1,-0.1371842004468677,-0.12840780097722268,2.814834738132669,90,90,complete,False,-0.023296046107679547,-0.03693111590593094,-0.023296046107679658,-0.036931115905929277,0.5032924718083134,-0.3153723422466119
teacher_nn,2.0,0.1,-0.1402427353557325,-0.13146633588608744,2.8630486551512218,90,90,complete,False,-0.02919366086720887,0.0009400755458932597,-0.02919366086720865,0.0009400755458921495,0.471020292912101,-0.2502162247346096
teacher_nn,2.1,0.1,-0.14302293262030946,-0.13424653315066443,2.9090387967150892,90,90,complete,False,-0.023108030998500895,0.04523200867838523,-0.023108030998501228,0.04523200867838412,0.45324922686139146,-0.18246743935176957
teacher_nn,2.2,0.1,-0.14486434155543268,-0.13608794208578767,2.9536985005235,90,90,complete,False,-0.020147259131531814,0.03565064469022225,-0.020147259131531814,0.035650644690225025,0.434526805041747,-0.17173512251974765
teacher_nn,2.3,0.1,-0.14705238444661584,-0.1382759849769708,2.995944157723439,90,90,complete,False,-0.01597790206045646,0.00035378454208551124,-0.01597790206045624,0.00035378454208551124,0.418902202357442,-0.18932334260157702
teacher_nn,2.4,0.1,-0.14805992196752393,-0.1392835224978789,3.037478940994988,90,90,complete,False,-0.020076502223114745,-0.07049863588346007,-0.020076502223114745,-0.07049863588346118,0.39666213652143156,-0.20462881015035062
teacher_nn,2.5,0.1,-0.15106768489123878,-0.14229128542159375,3.075276585027725,90,90,complete,False,-0.03007762923714849,-0.10001127014033737,-0.03007762923714849,-0.10001127014033737,0.3779764403273719,-0.1868569619405967
