source,case_id,case_label,eta,nmstv,ref_id,method,radius,dphi_dr,curvature
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.82,-0.3270268481351537,4.261291842074889
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.83,-0.10595307224597939,7.150222343262184
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.84,-0.18402240126990987,15.067827661511966
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.85,0.1954034809842602,7.684533133283471
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.86,-0.03033173860424032,-21.663084718979267
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.87,-0.23785821339532554,-2.7833427847332204
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.88,-0.08599859429890477,7.1641883209117845
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.89,-0.09457444697708972,-0.590721359975487
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.9,-0.09781302149841453,4.53068006965522
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.91,-0.00396084558398524,21.420316175063927
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.92,0.3305933020028644,10.04282775433202
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.93,0.19689570950265534,-40.18323470773621
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.94,-0.4730713921518501,-23.4928030703096
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.95,-0.27296035190352486,22.210335195913228
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.96,-0.028864688233585234,20.871361778765213
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.97,0.14446688367177973,14.602119146821734
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.98,0.2631776947028497,1.9466596033880004
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,0.99,0.18340007573953976,-2.2795344234684904
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,raw_gradient,1.0,0.21758700623347985,3.4186930493940055
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.01,-0.007775472416853571,-0.43891441742671433
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.02,-0.012164616591120715,-0.5383569082329286
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.03,-0.018542610581512138,-0.7388005035332856
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.04,-0.026940626661786427,-0.914791738962
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.05,-0.03683844536075214,-1.1001654433859998
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.06,-0.04894393552950642,-1.2937147184472133
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.07,-0.06271273972969642,-1.3314062188411437
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.08,-0.0755720599063293,-1.1372782293819652
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.09,-0.08545830431733571,-1.0205405371126055
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0,moving_avg_7,0.1,-0.09598287064858142,-1.1323746887331785
