source,case_id,case_label,eta,nmstv,method,radius,ref_count,dphi_dr_mean,dphi_dr_sd,dphi_dr_sem,curvature_mean,curvature_sd,curvature_sem,A_kappa_mean,A_kappa_sd,A_kappa_sem,dphi_min_mean,dphi_min_radius_mean,curvature_max_mean,curvature_max_radius_mean,curvature_sign_changes_mean,curvature_sign_changes_sd
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,moving_avg_7,0.1,30,-0.0986097023072628,0.010262844732712337,0.0018737305214265418,-1.1146574140333334,0.21486530974610007,0.039228858991091214,0.8350189079554596,0.1753957488096,0.0320227360378426,-0.2337258682261306,0.5493333333333333,6.941051131932423,0.8130000000000001,35.56666666666667,3.8835047567116865
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,moving_avg_7,0.11,30,-0.10911097654024522,0.009957618676811218,0.0018180041227747498,-1.0382148797492095,0.27091141334929714,0.049461430725672065,0.8350189079554596,0.1753957488096,0.0320227360378426,-0.2337258682261306,0.5493333333333333,6.941051131932423,0.8130000000000001,35.56666666666667,3.8835047567116865
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,moving_avg_7,0.12,30,-0.119373999902247,0.010440013125185752,0.00190607689643808,-0.9307689484685633,0.3208137010617012,0.058572300276070924,0.8350189079554596,0.1753957488096,0.0320227360378426,-0.2337258682261306,0.5493333333333333,6.941051131932423,0.8130000000000001,35.56666666666667,3.8835047567116865
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,moving_avg_7,0.13,30,-0.1277263555096165,0.010548086373794655,0.0019258082818134007,-0.6926545381217016,0.3946047785010213,0.07204464616144633,0.8350189079554596,0.1753957488096,0.0320227360378426,-0.2337258682261306,0.5493333333333333,6.941051131932423,0.8130000000000001,35.56666666666667,3.8835047567116865
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,moving_avg_7,0.14,30,-0.13322709066468102,0.011713167070569398,0.0021385219414591884,-0.5935820675621328,0.5086775091169089,0.09287138207962357,0.8350189079554596,0.1753957488096,0.0320227360378426,-0.2337258682261306,0.5493333333333333,6.941051131932423,0.8130000000000001,35.56666666666667,3.8835047567116865
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,moving_avg_7,0.15,30,-0.13959799686085914,0.01482074940182474,0.0027058862555035352,-0.605749164115079,0.673356423848547,0.12293750086095293,0.8350189079554596,0.1753957488096,0.0320227360378426,-0.2337258682261306,0.5493333333333333,6.941051131932423,0.8130000000000001,35.56666666666667,3.8835047567116865
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,moving_avg_7,0.16,30,-0.14534207394698262,0.016884492632143706,0.0030826724955516287,-0.49598699032075627,0.7053633936013441,0.12878114730461712,0.8350189079554596,0.1753957488096,0.0320227360378426,-0.2337258682261306,0.5493333333333333,6.941051131932423,0.8130000000000001,35.56666666666667,3.8835047567116865
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,moving_avg_7,0.17,30,-0.14951773666727428,0.015259460293671688,0.0027859835393994645,-0.42419147549378144,0.7435686353529493,0.1357564382120479,0.8350189079554596,0.1753957488096,0.0320227360378426,-0.2337258682261306,0.5493333333333333,6.941051131932423,0.8130000000000001,35.56666666666667,3.8835047567116865
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,moving_avg_7,0.18,30,-0.15382590345685823,0.013203474707338543,0.0024106136448860806,-0.33070509253782693,0.7471226883157686,0.13640531653814925,0.8350189079554596,0.1753957488096,0.0320227360378426,-0.2337258682261306,0.5493333333333333,6.941051131932423,0.8130000000000001,35.56666666666667,3.8835047567116865
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,moving_avg_7,0.19,30,-0.1561318385180308,0.013537243285742701,0.002471551171345544,-0.11740104510123768,0.9262131592433493,0.16910261345856903,0.8350189079554596,0.1753957488096,0.0320227360378426,-0.2337258682261306,0.5493333333333333,6.941051131932423,0.8130000000000001,35.56666666666667,3.8835047567116865
