source,case_id,case_label,eta,nmstv,method,ref_count,A_kappa_mean,A_kappa_sem,dphi_min_mean,dphi_min_radius_mean,curvature_max_mean,curvature_max_radius_mean,curvature_sign_changes_mean
eta_flip,eta_0.05,eta=0.05,0.05,0.430574,savgol_21_3,30,0.26414380685770084,0.015062907722620757,-0.23809573823459282,0.21966666666666665,1.5942166216493054,0.5883333333333333,11.233333333333333
eta_flip,eta_0.15,eta=0.15,0.15,0.655129,coarsen_0p05,30,0.5159295196094832,0.014729135191609358,-0.4366526749420612,0.20166666666666666,2.4022043357027396,0.38333333333333336,6.033333333333333
eta_flip,eta_0.15,eta=0.15,0.15,0.655129,coarsen_0p10,30,0.3328200913778964,0.005487949760556772,-0.3806877411470218,0.2,1.2781673820169324,0.33,2.6333333333333333
eta_flip,eta_0.15,eta=0.15,0.15,0.655129,moving_avg_7,30,1.1447795584091691,0.02431884325636851,-0.48033817860564915,0.24866666666666667,8.12410867306294,0.4263333333333333,33.733333333333334
eta_flip,eta_0.15,eta=0.15,0.15,0.655129,raw_gradient,30,5.902589103900651,0.14264162254575488,-0.7392002165255831,0.312,39.5346948703821,0.5256666666666666,44.7
eta_flip,eta_0.15,eta=0.15,0.15,0.655129,savgol_11_3,30,0.9449457936160753,0.03959694335816687,-0.5238689519336144,0.206,8.402856554101465,0.49033333333333334,24.766666666666666
eta_flip,eta_0.15,eta=0.15,0.15,0.655129,savgol_21_3,30,0.460530698716397,0.01273391333103361,-0.4539852130943082,0.1996666666666667,2.3587802780288976,0.38166666666666665,10.533333333333333
eta_flip,eta_0.25,eta=0.25,0.25,0.811137,coarsen_0p05,30,0.6689535621595578,0.015770628370229103,-0.5736058864735445,0.17833333333333332,3.392070523709471,0.30166666666666664,5.966666666666667
eta_flip,eta_0.25,eta=0.25,0.25,0.811137,coarsen_0p10,30,0.4435877294326323,0.008308420967042436,-0.4944449294280864,0.2,1.9463765976181089,0.30999999999999994,2.6666666666666665
eta_flip,eta_0.25,eta=0.25,0.25,0.811137,moving_avg_7,30,1.3760654275257733,0.03250565793532052,-0.6163715567272379,0.189,10.618175084687303,0.3973333333333333,34.233333333333334
eta_flip,eta_0.25,eta=0.25,0.25,0.811137,raw_gradient,30,6.767562103638621,0.19310464542192085,-1.0130896805790468,0.22633333333333333,54.00798226294448,0.405,45.833333333333336
eta_flip,eta_0.25,eta=0.25,0.25,0.811137,savgol_11_3,30,1.1182899666006756,0.03383577497199842,-0.6780624927262173,0.19233333333333336,9.421144756176895,0.5296666666666667,23.4
eta_flip,eta_0.25,eta=0.25,0.25,0.811137,savgol_21_3,30,0.6073276353973459,0.013579598129937068,-0.5891555145384539,0.17300000000000001,3.30332459362626,0.29766666666666663,11.066666666666666
mnist_rule,even_odd,even odd,,0.4932864276461805,coarsen_0p05,30,0.22558134079266132,0.009768149271556427,-0.13928190927712045,0.39499999999999996,1.1929271079014085,0.7733333333333333,7.566666666666666
mnist_rule,even_odd,even odd,,0.4932864276461805,coarsen_0p10,30,0.09580996118936404,0.005157227641563278,-0.11978665976244271,0.2533333333333333,0.3139225745292679,0.6666666666666666,2.6
mnist_rule,even_odd,even odd,,0.4932864276461805,moving_avg_7,30,0.7509152127175251,0.027032162731734078,-0.1795902576228535,0.502,6.748145224647209,0.8093333333333333,34.766666666666666
mnist_rule,even_odd,even odd,,0.4932864276461805,raw_gradient,30,4.207024282242916,0.0911769582692293,-0.49336999955459765,0.7906666666666666,36.90893969238001,0.863,43.53333333333333
mnist_rule,even_odd,even odd,,0.4932864276461805,savgol_11_3,30,0.5534244324105482,0.023246036315131505,-0.21049167429304239,0.662,6.7419677214736105,0.84,26.3
mnist_rule,even_odd,even odd,,0.4932864276461805,savgol_21_3,30,0.16820242389674098,0.012170715522043475,-0.14258341348142642,0.3016666666666667,1.255338584764616,0.7356666666666667,14.233333333333333
