source,case_id,case_label,eta,nmstv,ref_key,n_radii,d_min,d_max,A_kappa,min_dphi_dr,min_dphi_dr_radius,max_curvature,max_curvature_radius
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:14,100,0.01,1.0,0.6816044692120671,-0.23841491752588773,1.0,5.158838303263522,0.77
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:15,100,0.01,1.0,0.7419344534708219,-0.2580283487929993,0.21,4.746895499662615,0.35
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:16,100,0.01,1.0,0.7810648349979387,-0.23195689397453603,0.27,6.934481116252273,0.57
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:17,100,0.01,1.0,0.8239164739283575,-0.24291670442299823,0.27,5.225731996306495,0.61
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:18,100,0.01,1.0,1.1881224287329009,-0.30952114455813906,0.24,7.736427608974307,0.95
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:19,100,0.01,1.0,0.7840926171430582,-0.2606995480413493,0.2,5.972976491916993,0.63
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:2,100,0.01,1.0,1.00571405924596,-0.2678248770522975,0.24,10.743927862425846,0.97
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:20,100,0.01,1.0,0.7791158411430869,-0.2365417717179611,0.26,6.7956969431219,0.91
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:21,100,0.01,1.0,0.9325007238958571,-0.30165157775390683,1.0,5.65140405771964,0.68
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:22,100,0.01,1.0,1.190732584193646,-0.24524808090472558,0.21,7.596867797948436,1.0
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:23,100,0.01,1.0,1.011051924041982,-0.24561843998492874,0.28,6.471224718159821,0.97
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:24,100,0.01,1.0,0.8902047329474745,-0.2631137071959299,0.99,8.853089227400412,0.58
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:25,100,0.01,1.0,0.7244791134187336,-0.2671155784229875,1.0,4.574327813563566,0.4
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:26,100,0.01,1.0,0.7690733939307928,-0.2600687590257366,1.0,5.015634075382009,0.7
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:27,100,0.01,1.0,0.9724480418595324,-0.2365503001018312,0.24,5.529133183453286,0.68
eta_flip,eta_0.05,eta=0.05,0.05,0.43057445790361204,eta_flip:eta_0.05:28,100,0.01,1.0,0.7975091432717687,-0.265907322272497,0.22,5.956540378973969,0.71
