source,case_id,case_label,eta,nmstv,ref_id,method,n_radius,dphi_min,dphi_min_radius,curvature_max,curvature_max_radius,curvature_sign_changes,A_kappa
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,11,savgol_11_3,100,-0.31627216980643225,1.0,4.736929642347748,0.74,26,0.5493754606822023
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,11,savgol_21_3,100,-0.16766129426324153,0.25,1.1509183797487035,0.71,11,0.19625564076572333
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,11,coarsen_0p05,21,-0.16453402499843406,0.25,1.264534036867544,0.75,5,0.21286650955334785
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,11,coarsen_0p10,11,-0.1593206838924835,0.3,0.41979632832472,0.4,2,0.0868079329696035
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,12,raw_gradient,100,-0.5225476140872045,0.83,29.00092400257588,0.7,38,4.489472469774032
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,12,moving_avg_7,100,-0.18387792002184494,0.31,8.478675487666127,0.77,31,1.0720435016058292
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,12,savgol_11_3,100,-0.2084320756718594,0.76,13.829557704879111,1.0,25,0.9553579929028495
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,12,savgol_21_3,100,-0.1683938907992037,0.18,2.24661245862615,1.0,9,0.26476328773082536
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,12,coarsen_0p05,21,-0.17477576166042402,0.2,1.9442837699299402,1.0,7,0.32499367591540956
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,12,coarsen_0p10,11,-0.15358010078964052,0.2,0.33024275255471763,0.4,2,0.13192073889752753
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,13,raw_gradient,100,-0.5509650018699346,0.79,40.583357084960944,1.0,39,5.060420024785575
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,13,moving_avg_7,100,-0.17999533327895265,0.22,13.772239850941602,0.98,37,1.278799509789457
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,13,savgol_11_3,100,-0.20569958834073254,0.95,30.71188783295661,1.0,27,1.3218335831481214
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,13,savgol_21_3,100,-0.1683105113661746,0.22,3.6679741476009076,1.0,17,0.3249443422712067
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,13,coarsen_0p05,21,-0.18382564992038003,0.2,2.19563766683466,0.95,7,0.37944111767583777
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,13,coarsen_0p10,11,-0.16235971035331,0.2,0.4393411342963022,0.8,1,0.16865238717431347
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,14,raw_gradient,100,-0.44643298909255513,0.6,32.012241620492716,0.97,44,4.79838654347191
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,14,moving_avg_7,100,-0.17396415622906203,0.29,5.166790231695927,0.96,33,0.7236224616418637
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,14,savgol_11_3,100,-0.22933199381992816,0.29,15.404828942490534,1.0,21,0.9690044126263896
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,14,savgol_21_3,100,-0.1642477443103194,0.24,3.080830151289926,1.0,15,0.32186328769752676
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,14,coarsen_0p05,21,-0.16515821476104903,0.2,0.9114175527197113,0.65,8,0.23518494348106428
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,14,coarsen_0p10,11,-0.15193847537969898,0.2,0.25959595744099734,0.4,1,0.13900216151246947
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,15,raw_gradient,100,-0.5181120760401599,0.91,38.174193071354,0.57,44,4.856083674632492
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,15,moving_avg_7,100,-0.2242739155602442,1.0,6.707040249484818,0.85,34,0.8837709674539639
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,15,savgol_11_3,100,-0.29225916325276247,1.0,3.3252225162511966,0.5,22,0.5375154381640432
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,15,savgol_21_3,100,-0.1810039808977302,0.21,0.8026176286399307,0.32,10,0.16361400151415262
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,15,coarsen_0p05,21,-0.176005620420599,0.15,0.8401439574431783,0.45,7,0.23215575256544424
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,15,coarsen_0p10,11,-0.15938961830036852,0.2,0.30823896611990226,0.5,2,0.11206802261936909
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,16,raw_gradient,100,-0.4650145124098599,0.88,36.24493931740395,0.89,41,4.81246522435714
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,16,moving_avg_7,100,-0.1711940339675765,0.22,5.126535389720763,0.98,34,0.7228140356828915
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,16,savgol_11_3,100,-0.18695720832206836,0.37,10.5165312173905,1.0,23,0.7078881471272037
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,16,savgol_21_3,100,-0.16431751922425542,0.24,0.7310692289820482,0.84,16,0.1253256848563155
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,16,coarsen_0p05,21,-0.17302231777410704,0.25,1.1433687335866558,1.0,7,0.22452942826749
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,16,coarsen_0p10,11,-0.1405320212572165,0.2,0.22079558349441508,0.6,2,0.09298254615287573
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,17,raw_gradient,100,-0.4699037003207249,0.95,26.576543285793264,0.96,50,3.639552855720455
