source,case_id,case_label,eta,nmstv,ref_key,radius,phi_energy_raw,dphi_dr_raw,dphi_dr_smooth,curvature_smooth,positive_curvature_smooth
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.08,-0.003536624040348,-0.08116131031964005,-0.0799932773419357,-1.1524520820355013,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.09,-0.0043805978861145,-0.09252126225422994,-0.09040089841319428,-1.1350277144347483,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.1,-0.0053870492854326,-0.10843175730546498,-0.10269383163063069,-1.2297413127173211,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.11,-0.0065492330322238,-0.11561407201038504,-0.1149957246675407,-1.0992218502294655,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.12,-0.0076993307256403,-0.11100661075580498,-0.12467826863521997,-0.48952046260349924,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.13,-0.0087693652473399,-0.13954687941326482,-0.12478613391961069,-0.27904908029875397,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.14,-0.0104902683139056,-0.15668818061399503,-0.13025925024119506,-0.9118973580896839,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.15,-0.0119031288596198,-0.148939118093395,-0.14302408108140435,-0.4976249524383247,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.16,-0.0134690506757735,-0.09327631924496493,-0.1402117492899615,-0.05095594961475225,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.17,-0.0137686552445191,-0.14674357155655549,-0.1440432000736994,-0.8650915383568263,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.18,-0.0164039221069046,-0.20496788789185028,-0.15751358005709798,-0.8868067180983248,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.19,-0.0178680130023561,-0.09132028821570481,-0.16177933443566583,-0.3515144637934666,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.2,-0.0182303278712187,-0.16636703489943028,-0.16454386933296733,-0.2643561296962105,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.21,-0.0211953537003447,-0.25098084049778535,-0.16706645702959008,-0.27180562639867034,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.22,-0.0232499446811744,-0.17879939874337003,-0.16997998186094074,0.5432219585156792,0.5432219585156792
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.23,-0.0247713416752121,-0.11262806352607502,-0.15620201785927648,1.8341259664584655,1.8341259664584655
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.24,-0.0255025059516959,-0.1644016854329149,-0.13329746253177144,1.1706917828797865,1.1706917828797865
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.25,-0.0280593753838704,-0.22536256171130487,-0.13278818220168082,-0.7499503175286826,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.26,-0.030009757185922,0.005125459795945142,-0.1482964688823451,-1.1699762132262839,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.27,-0.0279568661879515,-0.006035147606894942,-0.1561877064662065,1.4743524184040693,1.4743524184040693
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.28,-0.0301304601380599,-0.24741587818715116,-0.11880942051426369,3.47189844321061,3.47189844321061
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.29,-0.0329051837516945,-0.2873574055080199,-0.08674973760199439,0.13755350607266248,0.13755350607266248
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.3,-0.0358776082482203,-0.16786672661310487,-0.11605835039281082,-1.9253939993966043,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.31,-0.0362625182839566,0.09724631623068469,-0.1252576175899265,-0.6029790120421943,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.32,-0.0339326819236066,-0.0009447813254197523,-0.1281179306336547,-0.6518118932144779,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.33,-0.036281413910465,-0.20003482973976983,-0.13829385545421607,-0.21607311604485524,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.34,-0.037933378518402,-0.07043001798670478,-0.13243939295455182,-1.1925523429326201,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.35,-0.0376900142701991,-0.26743806949324855,-0.1621449023128682,-1.9569091533832923,0.0
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.36,-0.043282139908267,-0.3585888792519496,-0.1715775760222175,0.9996014191216736,0.9996014191216736
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.37,-0.0448617918552381,-0.12688548911545494,-0.14215287393043471,1.546792815738998,1.546792815738998
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.38,-0.0458198496905761,-0.11069224927752996,-0.14064171970743752,1.6777979893909531,1.6777979893909531
eta_flip,eta_0.02,eta=0.02,0.02,0.3569686266284974,eta_flip:eta_0.02:1,0.39,-0.0470756368407887,-0.06697349729086488,-0.10859691414261562,3.2162294541954153,3.2162294541954153
