source,case_id,case_label,eta,nmstv,radius,ref_count,phi_mean,phi_sd,phi_sem,split_mean,split_max,ess_fraction_mean
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.19,30,-0.01669387855475894,0.0020693503601938415,0.0003778099572198691,0.000994122006733506,0.0032086914872048,0.807699487919829
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.2,30,-0.018234803967482945,0.0021141157989022492,0.0003859829707456057,0.0014862277310763736,0.0050972021476083,0.8329801024793908
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.21,30,-0.019902357415677464,0.0019948093081789756,0.0003642006853369665,0.0012202097247881784,0.0038839189436578,0.8091544176037678
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.22,30,-0.021568135438410373,0.0019530662004759059,0.0003565794714338534,0.0012999219105553801,0.003563777790879,0.8271923254276735
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.23,30,-0.02321839218197562,0.0020936963458614206,0.00038225490573147935,0.0010573247019268876,0.0026980309604375,0.7911477571700728
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.24,30,-0.024539476865983848,0.0023400087360239633,0.00042722518982649197,0.0016185083284356624,0.0044909281294639,0.8149717480978198
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.25,30,-0.026339992714733394,0.001921194514342192,0.0003507605242868003,0.0013842121826293861,0.004755773120018,0.7954172555796005
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.26,30,-0.027605962180774157,0.0025202044219119037,0.0004601242704684723,0.0014247984558207198,0.0043359981701891,0.823236457124539
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.27,30,-0.028829339795992615,0.0027095743869997935,0.0004946983376660065,0.001745604189510945,0.0048687228969,0.769661751813295
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.28,30,-0.030724274586903726,0.002491525025657874,0.00045488815304715175,0.0017760180969919165,0.0045822173803996,0.8302985129779522
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.29,30,-0.03224188058236174,0.0023256544550083907,0.00042460446865682643,0.0018831699084194949,0.0057900784198136,0.8304043317269613
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.3,30,-0.03334171649598772,0.002579534259121365,0.00047095636719271576,0.0018115464308584408,0.0046214685675203,0.8115917261195419
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.31,30,-0.0355933870846865,0.0021582519044168755,0.0003940410842758687,0.00123313215329036,0.0037020706383392,0.8021174075370052
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.32,30,-0.03577883536122146,0.0024481102342459545,0.00044696173285192173,0.0017312936981586297,0.0053575803755483,0.8405246608352357
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.33,30,-0.03758417336661553,0.002989926789474243,0.0005458834492946809,0.00170873538740383,0.0045099069505528,0.7660947061190817
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.34,30,-0.03865650649347399,0.0027653610650250396,0.0005048835449869082,0.0022299196281956963,0.006803221537892,0.8084075161723823
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.35,30,-0.039819549742232105,0.002057343730720217,0.0003756178566190991,0.002097446240522203,0.0072402127984095,0.7451694024913861
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.36,30,-0.04167609734937053,0.0029335133222327964,0.0005355838064429414,0.0017447398138766702,0.0070584284465747,0.7801963401242866
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.37,30,-0.04222541105470234,0.0023691954489588876,0.00043255393017778724,0.002063689118107465,0.0062319481866283,0.8462548919501717
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.38,30,-0.04423316073076,0.0023046618075053004,0.00042077175313042734,0.0019457382525967265,0.006944364034472,0.7919760950333413
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.39,30,-0.0445251552943041,0.0025259132598144255,0.0004611665569005894,0.002909761531664973,0.0075129174636122,0.7908213162574781
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.4,30,-0.04598932311990281,0.002269028541910932,0.00041426603867589126,0.0017449034664589096,0.0054016962019748,0.8348201952276829
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.41,30,-0.046763247640021884,0.002882371779224792,0.000526246680865906,0.0024498944980866533,0.0077623314972954,0.7926473629017913
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.42,30,-0.04771591974672151,0.002650687450937618,0.0004839471032581341,0.0021572114898356235,0.0085343783266796,0.8198913055633958
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.43,30,-0.04944374636881659,0.002894464860998418,0.000528454565424963,0.0021538539377851276,0.0053018867953795,0.7882342217968625
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.44,30,-0.04970315214641022,0.002286233761345406,0.00041740726760625384,0.00258927191655107,0.0068031920696673,0.8405202355963254
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.45,30,-0.05069137556355053,0.0023038392418001214,0.0004206215738665085,0.002549357996714976,0.0088502777730819,0.8147969494471502
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.46,30,-0.05150918715410342,0.002882775061950409,0.0005263203098811971,0.0024450386218383344,0.0078931860193801,0.8145973080159677
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.47,30,-0.05266621966082334,0.0026786584731577695,0.0004890538898669523,0.0026760088589271635,0.0071849333026704,0.8042200437688417
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.48,30,-0.05341678369160623,0.002118840587416932,0.00038684559516191685,0.002177558375512029,0.0072782513999726,0.8241874000727684
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.49,30,-0.05372065029601281,0.002374509222278456,0.0004335240880153197,0.0029213169191388,0.0083392997276635,0.784015394665112
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.5,30,-0.05504990769819757,0.002994485766164836,0.0005467158007522068,0.0034372774705572744,0.0102767443199286,0.8406928428030357
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.51,30,-0.05659900656861628,0.003142995441169473,0.0005738298337548074,0.0025873626439153227,0.0068805593657253,0.7859688118653686
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.52,30,-0.056695847514551,0.002580803365454466,0.00047118807324821976,0.00279866442149245,0.0079582644027926,0.7879113154433753
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.53,30,-0.0568556947966721,0.0031771185520490567,0.0005800598329418066,0.0035473961474953336,0.0085410954928461,0.8422337595245082
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.54,30,-0.05755136938222453,0.003564320872584137,0.000650752981366943,0.0031509598207541596,0.010251466837734,0.8333874841264016
eta_flip,eta_0.02,eta=0.02,0.02,0.356969,0.55,30,-0.05879392074254595,0.0027410244200561725,0.000500440301845761,0.00286914007854211,0.0080480454110597,0.81578633175938
