eta,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
0.25,2461,0.5,0.0003412744585264,0.000341274
0.25,2461,0.5,0.0015518393400303,0.00155184
0.25,2461,0.5,0.0004753503393291,0.00047535
0.25,2461,0.5,0.005809533102569,-0.00580953
0.25,2461,0.5,0.0069824476445414,-0.00698245
0.25,2461,0.5,0.0076665865990577,0.00766659
0.25,2461,0.5,0.0014855338034098,-0.00148553
0.25,2461,0.5,0.006892948592803,-0.00689295
0.25,2461,0.5,0.0079776403188491,-0.00797764
0.25,2461,0.5,0.0010519474204657,-0.00105195
0.25,2461,0.5,0.0063715301347372,0.00637153
0.25,2461,0.5,0.00311752236463,0.00311752
0.25,2461,0.5,0.0078944105909505,0.00789441
0.25,2461,0.5,0.0029069819273468,-0.00290698
0.25,2461,0.5,0.0012839356098563,0.00128394
0.25,2461,0.55,0.0026465899288639,0.00264659
0.25,2461,0.55,0.0008489294436343,-0.000848929
0.25,2461,0.55,0.0007067766528076,-0.000706777
0.25,2461,0.55,0.0019126600833749,-0.00191266
0.25,2461,0.55,0.0074074651907042,0.00740747
0.25,2461,0.55,0.0028846748169453,-0.00288467
0.25,2461,0.55,0.008235090884866,0.00823509
0.25,2461,0.55,0.0065594239411981,-0.00655942
0.25,2461,0.55,0.0046285060431956,0.00462851
0.25,2461,0.55,0.0038663527908893,-0.00386635
0.25,2461,0.55,0.0080474120569096,0.00804741
0.25,2461,0.55,0.0015280675100012,-0.00152807
0.25,2461,0.55,0.0002221705970086,0.000222171
0.25,2461,0.55,0.0042419399377634,0.00424194
0.25,2461,0.55,0.0051689216632394,0.00516892
0.25,2461,0.55,0.0019631232119102,0.00196312
0.25,2461,0.55,0.00312137818305,-0.00312138
0.25,2461,0.55,0.0034974700973147,-0.00349747
0.25,2461,0.55,7.490220898915418e-05,7.49022e-05
0.25,2461,0.55,0.0008983792679056,-0.000898379
0.25,2461,0.55,0.0018305379127647,-0.00183054
0.25,2461,0.55,0.0036518835490653,0.00365188
0.25,2461,0.55,0.0009441387244849,0.000944139
0.25,2461,0.55,0.0035232625793385,0.00352326
0.25,2461,0.55,0.0017049596035727,-0.00170496
0.25,2461,0.55,0.0080976870543482,0.00809769
0.25,2461,0.55,0.0039233055664033,0.00392331
0.25,2461,0.55,0.0028975820470133,-0.00289758
0.25,2461,0.55,0.0012235628385613,0.00122356
0.25,2461,0.55,0.0045433182171414,-0.00454332
0.25,2461,0.6,0.0015483192758013,-0.00154832
0.25,2461,0.6,0.003430555775168,0.00343056
0.25,2461,0.6,0.0061796356689969,0.00617964
0.25,2461,0.6,0.0014686841753988,-0.00146868
0.25,2461,0.6,0.0049576077988081,0.00495761
0.25,2461,0.6,0.0014600454929495,0.00146005
0.25,2461,0.6,0.0031632152468178,-0.00316322
0.25,2461,0.6,4.932528685741322e-05,-4.93253e-05
0.25,2461,0.6,0.000938652940779,-0.000938653
0.25,2461,0.6,0.0037879221661816,-0.00378792
0.25,2461,0.6,0.0009627960933541,-0.000962796
0.25,2461,0.6,0.0018621724432096,0.00186217
0.25,2461,0.6,0.0036082266477559,0.00360823
0.25,2461,0.6,0.0011271132325803,0.00112711
0.25,2461,0.6,0.0123314870271713,0.0123315
0.25,2461,0.6,0.0061729628862748,-0.00617296
0.25,2461,0.6,0.0006613595321702,0.00066136
0.25,2461,0.6,0.0062755596734709,-0.00627556
0.25,2461,0.6,0.005695040195598,-0.00569504
0.25,2461,0.6,0.005157736498803,-0.00515774
0.25,2461,0.6,0.0005412373824268,-0.000541237
0.25,2461,0.6,0.0018324774842456,-0.00183248
0.25,2461,0.6,0.0003510611050145,0.000351061
0.25,2461,0.6,0.0052398044659005,-0.0052398
0.25,2461,0.6,0.0005315837203796,-0.000531584
0.25,2461,0.6,0.0031294790124142,0.00312948
0.25,2461,0.6,0.0045366448817027,-0.00453664
0.25,2461,0.6,0.0007806675712278,-0.000780668
0.25,2461,0.6,0.0040649580188757,-0.00406496
0.25,2461,0.6,0.0014883248300002,-0.00148832
0.25,2461,0.65,0.002891522385794,-0.00289152
0.25,2461,0.65,0.0008165565114946,-0.000816557
0.25,2461,0.65,0.0091056601042991,-0.00910566
0.25,2461,0.65,0.0004373132084159,-0.000437313
0.25,2461,0.65,0.008183969637449,-0.00818397
0.25,2461,0.65,0.0014483200740845,0.00144832
0.25,2461,0.65,0.002374095023466,0.0023741
