candidate_selector,radius,selected_ref_count,observed_ref_count,missing_ref_count,missing_refs,observed_fail_count,observed_fail_refs,max_split_logZ_per_P_diff,q05_ess_fraction,status,candidate_qc_pass
ref29_minus_boundary_fail_ref027,0.03,29,29,0,,0,,9.577850740693809e-06,0.7617883498890295,complete_observed_pass,True
ref29_minus_boundary_fail_ref027,0.05,29,29,0,,0,,1.9402127532703577e-05,0.7350457999765203,complete_observed_pass,True
ref29_minus_boundary_fail_ref027,0.08,29,29,0,,0,,2.533193528115397e-05,0.6134157854116246,complete_observed_pass,True
ref29_minus_boundary_fail_ref027,0.12,29,13,16,31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,0,,0.0005265480765362,0.5444836051192475,missing_only,False
ref29_minus_boundary_fail_ref027,0.15,29,13,16,31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,0,,0.0003254080519906,0.6357925834540077,missing_only,False
ref29_minus_boundary_fail_ref027,0.2,29,13,16,31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,0,,0.001193579756312,0.643556834790797,missing_only,False
ref29_minus_boundary_fail_ref027,0.3,29,12,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,0,,0.002604683551869,0.6307091638996123,missing_only,False
ref29_minus_boundary_fail_ref027,0.45,29,29,0,,0,,0.0037621420086935,0.7377962638674089,complete_observed_pass,True
ref29_minus_boundary_fail_ref027,0.65,29,29,0,,0,,0.0037337708389808,0.6977472620223962,complete_observed_pass,True
ref29_minus_boundary_fail_ref027,0.85,29,24,5,52;55;57;58;59,2,33;49,0.0054597353463382,0.6807503261459413,missing_and_observed_fail,False
ref29_minus_boundary_fail_ref027,1.0,29,12,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,2,5;14,0.0066571523620753,0.6332185017782164,missing_and_observed_fail,False
ref29_minus_boundary_fail_ref027,1.25,29,12,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,2,3;23,0.0062740234371529,0.6281616863825629,missing_and_observed_fail,False
ref29_minus_boundary_fail_ref027,1.5,29,12,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,6,5;13;16;17;23;26,0.012253545523131,0.6006760283044804,missing_and_observed_fail,False
ref29_minus_boundary_fail_ref027,1.75,29,12,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,5,3;13;14;16;28,0.009058805453941,0.5560487777259089,missing_and_observed_fail,False
ref29_minus_boundary_fail_ref027,2.0,29,12,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,5,1;5;16;26;28,0.0094032671271768,0.6355803461929548,missing_and_observed_fail,False
ref29_minus_boundary_fail_ref027,2.25,29,12,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,5,2;3;5;14;16,0.0107463481097658,0.6719755625748387,missing_and_observed_fail,False
ref29_minus_boundary_fail_ref027,2.5,29,12,17,30;31;32;33;38;40;41;42;43;44;46;49;52;55;57;58;59,8,2;3;13;16;22;23;26;28,0.0093342702739787,0.6826484351731844,missing_and_observed_fail,False
