rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,n_units,target_ref_count,sampling_status,qc_diagnostic_pass
teacher_nn,1.5,0.1,-0.1259551666426277,-0.11724943107806994,2.589700383920482,60,60,complete,False
teacher_nn,1.6,0.1,-0.12924306932667737,-0.12053733376211961,2.65092477786318,60,60,complete,False
teacher_nn,1.7,0.1,-0.1326899650898325,-0.12398422952527474,2.708077869775128,60,60,complete,False
teacher_nn,1.8,0.1,-0.13555979635133014,-0.1268540607867724,2.762343226667338,60,60,complete,False
teacher_nn,1.9,0.1,-0.13745251572490694,-0.12874678016034916,2.8144957589495423,60,60,complete,False
teacher_nn,2.0,0.1,-0.13986969222416717,-0.13116395665960942,2.8633510343777,60,60,complete,False
teacher_nn,2.1,0.1,-0.14316870398780376,-0.134462968423246,2.9088223614425077,60,60,complete,False
teacher_nn,2.2,0.1,-0.144578412813844,-0.1358726772492863,2.9539137653600016,60,60,complete,False
teacher_nn,2.3,0.1,-0.14725198108691986,-0.1385462455223621,2.9956738971780474,60,60,complete,False
teacher_nn,2.4,0.1,-0.14767766883094086,-0.13897193326638307,3.037790530226484,60,60,complete,False
teacher_nn,2.5,0.1,-0.15061725163504577,-0.14191151607048802,3.0756563543788307,60,60,complete,False
