beta_i,beta_j,crossing_count,robust_crossing_count,fine_minus_coarse_gap_i,fine_minus_coarse_gap_j,mean_gap_min,z_gap_max_abs
0.09,0.1,0.0,0.0,-0.005849132532581236,-0.014005959806803914,0.016855535647646636,0.822262543621677
0.09,0.11,0.0,0.0,-0.005849132532581236,-0.01101399830069788,0.028245516734067,1.0182340040820879
0.09,0.12,0.0,0.0,-0.005849132532581236,-0.010341316741160289,0.04288899333301838,1.7427029873072237
0.09,0.13,0.0,0.0,-0.005849132532581236,-0.01805170130895445,0.06052044571104259,2.3238466364140766
0.09,0.14,0.0,0.0,-0.005849132532581236,-0.010643547490562899,0.09219377109568111,3.8872728832760486
0.09,0.15,0.0,0.0,-0.005849132532581236,-0.01711951426830771,0.11778321178084444,4.0309849653295835
0.09,0.16,0.0,0.0,-0.005849132532581236,-0.014767909799972334,0.14390972329552348,4.825760526243829
0.09,0.17,0.0,0.0,-0.005849132532581236,-0.017465074132430702,0.19017408108699957,5.739697492618181
0.09,0.18,0.0,0.0,-0.005849132532581236,-0.020331183954305665,0.19901698344112603,7.212033942708414
0.09,0.19,0.0,0.0,-0.005849132532581236,-0.024350510102401496,0.23547157282172548,8.666372587173077
0.09,0.2,0.0,0.0,-0.005849132532581236,-0.02286452424310703,0.25232204750991993,9.07971011197179
0.09,0.21,0.0,0.0,-0.005849132532581236,-0.016502669171477857,0.28247178141138796,12.84338923067569
0.09,0.22,0.0,0.0,-0.005849132532581236,-0.01330093454270835,0.3028000033267023,14.034181028983777
0.09,0.23,0.0,0.0,-0.005849132532581236,-0.012112374350320865,0.32411541150156464,13.694630832195022
0.09,0.24,0.0,0.0,-0.005849132532581236,-0.010469139281846812,0.3193089792527836,11.251384844461976
0.09,0.25,0.0,0.0,-0.005849132532581236,-0.014739838053152196,0.3430605812719415,11.525712823909132
0.09,0.26,0.0,0.0,-0.005849132532581236,-0.011715419505121068,0.34979308112791563,14.89445879322332
0.09,0.27,0.0,0.0,-0.005849132532581236,-0.012514270388231802,0.3488105170575224,15.304156307996534
0.09,0.28,0.0,0.0,-0.005849132532581236,-0.012607256177784965,0.35040049151068425,17.77314942282565
0.09,0.29,0.0,0.0,-0.005849132532581236,-0.00898072030617239,0.35893239953404066,17.711673013624168
0.09,0.3,0.0,0.0,-0.005849132532581236,-0.01233295891521309,0.36582488155830345,17.78163793603136
0.09,0.31,0.0,0.0,-0.005849132532581236,-0.014427171769273314,0.3575369378772387,17.92163353371162
0.09,0.32,0.0,0.0,-0.005849132532581236,-0.014903778841945735,0.36253289487445,16.774792935226426
0.09,0.33,0.0,0.0,-0.005849132532581236,-0.015593147267197245,0.36313466202679084,17.812193971004902
0.09,0.34,0.0,0.0,-0.005849132532581236,-0.015737403111992024,0.36616681848758964,19.500676710032206
0.09,0.35,0.0,0.0,-0.005849132532581236,-0.01436233543512161,0.36538093885449785,18.829819525966354
0.09,0.36,0.0,0.0,-0.005849132532581236,-0.016362094713129344,0.3682037640742812,18.878495246449564
0.09,0.37,0.0,0.0,-0.005849132532581236,-0.020787903005697723,0.3574691851229671,18.79731238545365
0.09,0.38,0.0,0.0,-0.005849132532581236,-0.018443482631262796,0.36877056012815834,19.992607464473277
0.09,0.39,0.0,0.0,-0.005849132532581236,-0.020008167379347158,0.36310686631164535,19.270412509460265
0.09,0.4,0.0,0.0,-0.005849132532581236,-0.01917427845331409,0.36394948171360303,18.452797287825774
0.1,0.11,0.0,0.0,-0.014005959806803914,-0.01101399830069788,0.008398019580314331,0.35023074428315437
0.1,0.12,0.0,0.0,-0.014005959806803914,-0.010341316741160289,0.022368814619728117,0.8456151686074389
0.1,0.13,0.0,0.0,-0.014005959806803914,-0.01805170130895445,0.043664910063395956,1.467404047500939
0.1,0.14,0.0,0.0,-0.014005959806803914,-0.010643547490562899,0.07197582313179346,2.810177641384601
0.1,0.15,0.0,0.0,-0.014005959806803914,-0.01711951426830771,0.10092767613319781,3.07603821130238
0.1,0.16,0.0,0.0,-0.014005959806803914,-0.014767909799972334,0.12705418764787685,3.8640752697908494
0.1,0.17,0.0,0.0,-0.014005959806803914,-0.017465074132430702,0.17331854543935293,4.8704343602200675
0.1,0.18,0.0,0.0,-0.014005959806803914,-0.020331183954305665,0.1821614477934794,5.605224566662899
0.1,0.19,0.0,0.0,-0.014005959806803914,-0.024350510102401496,0.21861603717407885,6.862242674073926
0.1,0.2,0.0,0.0,-0.014005959806803914,-0.02286452424310703,0.23546651186227327,7.705155871853714
0.1,0.21,0.0,0.0,-0.014005959806803914,-0.016502669171477857,0.2656162457637413,10.749207680896706
0.1,0.22,0.0,0.0,-0.014005959806803914,-0.01330093454270835,0.28523944241496013,11.559665430377356
0.1,0.23,0.0,0.0,-0.014005959806803914,-0.012112374350320865,0.305366290397435,11.148830328725595
