radius,dataset_count,phi_energy_mean,phi_energy_ci95_low,phi_energy_ci95_high
2.01,90.0,-0.0061664633029445,-0.0062980185928553,-0.0060349080130337
2.02,90.0,-0.0061816369556213,-0.0063131235092698,-0.0060501504019728
2.03,90.0,-0.0061958714622721,-0.006328050573526,-0.0060636923510182
2.04,90.0,-0.0062106477985168,-0.006342660935581,-0.0060786346614526
2.05,90.0,-0.0062264165577458,-0.0063585203233471,-0.0060943127921445
2.06,90.0,-0.0062402038218298,-0.0063720215158873,-0.0061083861277723
2.07,90.0,-0.006254314918015,-0.0063865576375869,-0.0061220721984431
2.08,90.0,-0.0062702030279632,-0.0064023475519883,-0.0061380585039382
2.09,90.0,-0.0062847459254153,-0.0064166248153038,-0.0061528670355269
2.1,90.0,-0.0062997722879755,-0.0064317164382851,-0.0061678281376659
2.11,90.0,-0.0063148472611913,-0.0064467675039969,-0.0061829270183858
2.12,90.0,-0.0063300926565213,-0.0064621304109032,-0.0061980549021394
2.13,90.0,-0.006345237118112,-0.0064772855495315,-0.0062131886866926
2.14,90.0,-0.0063586180380002,-0.0064907671059543,-0.0062264689700461
2.15,90.0,-0.0063731505114181,-0.0065052450769132,-0.006241055945923
2.16,90.0,-0.006388653931875,-0.0065209560134063,-0.0062563518503437
2.17,90.0,-0.0064050500186781,-0.0065375702687815,-0.0062725297685748
2.18,90.0,-0.0064184663567399,-0.006550998189284,-0.0062859345241957
2.19,90.0,-0.0064335708211905,-0.0065659199684844,-0.0063012216738965
2.2,90.0,-0.0064489729592072,-0.0065810192417793,-0.0063169266766351
2.21,90.0,-0.006464313164619,-0.0065967767667348,-0.0063318495625033
2.22,90.0,-0.0064794748371147,-0.0066118714268242,-0.0063470782474051
2.23,90.0,-0.0064948635996823,-0.0066273474331158,-0.0063623797662488
2.24,90.0,-0.0065099304912852,-0.0066425205452728,-0.0063773404372976
2.25,90.0,-0.0065237872207448,-0.0066561202537793,-0.0063914541877104
2.26,90.0,-0.0065388677714567,-0.0066711840751338,-0.0064065514677795
2.27,90.0,-0.0065556210882814,-0.0066879970606899,-0.006423245115873
2.28,90.0,-0.006570120482056,-0.0067027131625377,-0.0064375278015743
2.29,90.0,-0.0065850625525609,-0.0067175872541454,-0.0064525378509765
2.3,90.0,-0.0065996099123334,-0.0067323716949449,-0.0064668481297219
2.31,90.0,-0.0066146062225627,-0.0067472152599102,-0.0064819971852151
2.32,90.0,-0.0066307608862362,-0.0067634138962224,-0.00649810787625
2.33,90.0,-0.0066462090509645,-0.0067788175023314,-0.0065136005995977
2.34,90.0,-0.0066611174171437,-0.0067937609728906,-0.0065284738613969
2.35,90.0,-0.0066757403125415,-0.0068085571138957,-0.0065429235111872
2.36,90.0,-0.0066917703036352,-0.0068244932473318,-0.0065590473599387
2.37,90.0,-0.0067056814151945,-0.006838293029679,-0.00657306980071
2.38,90.0,-0.0067222732268457,-0.0068549611015099,-0.0065895853521815
2.39,90.0,-0.0067361774959741,-0.0068685794595558,-0.0066037755323924
2.4,90.0,-0.0067529202958232,-0.0068858501079725,-0.0066199904836739
2.41,90.0,-0.0067676430889029,-0.006900370372002,-0.0066349158058037
2.42,90.0,-0.0067822300949359,-0.0069144722051655,-0.0066499879847063
2.43,90.0,-0.0067985911278123,-0.0069311234815923,-0.0066660587740323
2.44,90.0,-0.0068131121339975,-0.0069461406306666,-0.0066800836373284
2.45,90.0,-0.0068290754463982,-0.0069615091886733,-0.0066966417041231
2.46,90.0,-0.0068438736173578,-0.006976517329461,-0.0067112299052547
2.47,90.0,-0.0068597443742567,-0.0069924795905307,-0.0067270091579826
2.48,90.0,-0.0068757935596675,-0.0070084387715628,-0.0067431483477722
2.49,90.0,-0.0068904348448884,-0.0070225912224062,-0.0067582784673706
2.5,90.0,-0.0069048414682248,-0.0070374286233816,-0.0067722543130681
