cell_id,dataset_tag,width,selected_ref_count,required_selected_refs,require_exact_selected_refs,exact_count,sampling_eligible_count
cell_beta_0p05_p_0p00,dataset_040_seed_610001234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_041_seed_610101234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_042_seed_610201234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_043_seed_610301234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_044_seed_610401234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_045_seed_610501234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_046_seed_610601234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_047_seed_610701234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_048_seed_610801234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_049_seed_610901234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_050_seed_611001234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_051_seed_611101234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_052_seed_611201234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_053_seed_611301234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_054_seed_611401234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_055_seed_611501234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_056_seed_611601234,48,30,30,True,35,30
cell_beta_0p05_p_0p00,dataset_057_seed_611701234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_058_seed_611801234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_059_seed_611901234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_060_seed_612001234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_061_seed_612101234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_062_seed_612201234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_063_seed_612301234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_064_seed_612401234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_065_seed_612501234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_066_seed_612601234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_067_seed_612701234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_068_seed_612801234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_069_seed_612901234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_070_seed_613001234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_071_seed_613101234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_072_seed_613201234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_073_seed_613301234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_074_seed_613401234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_075_seed_613501234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_076_seed_613601234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_077_seed_613701234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_078_seed_613801234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_079_seed_613901234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_080_seed_614001234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_081_seed_614101234,48,30,30,True,37,30
cell_beta_0p05_p_0p00,dataset_082_seed_614201234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_083_seed_614301234,48,30,30,True,31,30
cell_beta_0p05_p_0p00,dataset_084_seed_614401234,48,30,30,True,34,30
cell_beta_0p05_p_0p00,dataset_085_seed_614501234,48,30,30,True,30,30
cell_beta_0p05_p_0p00,dataset_086_seed_614601234,48,30,30,True,33,30
cell_beta_0p05_p_0p00,dataset_087_seed_614701234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_088_seed_614801234,48,30,30,True,32,30
cell_beta_0p05_p_0p00,dataset_089_seed_614901234,48,30,30,True,30,30
