cell_id,series,dataset_id,seed,beta_ising,rewire_p,dataset_raw_path,dataset_meta_path
cell_beta_0p13_p_0p00,beta,76,613609234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_076_seed_613609234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_076_seed_613609234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,77,613709234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_077_seed_613709234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_077_seed_613709234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,78,613809234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_078_seed_613809234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_078_seed_613809234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,79,613909234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_079_seed_613909234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_079_seed_613909234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,80,614009234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_080_seed_614009234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_080_seed_614009234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,81,614109234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_081_seed_614109234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_081_seed_614109234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,82,614209234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_082_seed_614209234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_082_seed_614209234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,83,614309234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_083_seed_614309234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_083_seed_614309234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,84,614409234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_084_seed_614409234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_084_seed_614409234/dataset_meta.json
cell_beta_0p13_p_0p00,beta,85,614509234,0.13,0.0,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_085_seed_614509234/dataset.npz,02_dnn/06_random_gaussian_baseline/raw_outputs/01_dataset_gen/gaussian_18_beta_cell_90_dataset/raw_datasets/cell_beta_0p13_p_0p00/dataset_085_seed_614509234/dataset_meta.json
