k,edge_count,p_pos,random_cut_fraction,cut_fraction,knn_nmstv,signed_alignment,eta,replicate
3,1193,0.49609375,0.499969482421875,0.4752724224643755,0.9506028651231555,0.04945515507124895,0.4,10
3,1193,0.5,0.5,0.4844928751047779,0.9689857502095558,0.03101424979044426,0.45,10
3,1193,0.494140625,0.49993133544921875,0.4953897736797988,0.9909156289126404,0.009220452640402346,0.5,10
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,11
3,1193,0.509765625,0.49980926513671875,0.19195305951383068,0.3840526234769247,0.6160938809723386,0.02,11
3,1193,0.513671875,0.49962615966796875,0.22045264040234702,0.44123518381994026,0.559094719195306,0.04,11
3,1193,0.509765625,0.49980926513671875,0.24056999161777032,0.4813235936151851,0.5188600167644594,0.06,11
3,1193,0.50390625,0.499969482421875,0.26906957250628666,0.5381719924242203,0.46186085498742663,0.08,11
3,1193,0.49609375,0.499969482421875,0.2950544844928751,0.5901449885773381,0.4098910310142498,0.1,11
3,1193,0.494140625,0.49993133544921875,0.30930427493713325,0.6186935144987552,0.38139145012573344,0.12,11
3,1193,0.501953125,0.49999237060546875,0.3369656328583403,0.673941549248621,0.32606873428331934,0.15,11
3,1193,0.50390625,0.499969482421875,0.366303436714166,0.7326515909326614,0.2673931265716681,0.18,11
3,1193,0.501953125,0.49999237060546875,0.38390611902766136,0.7678239541190758,0.23218776194467727,0.2,11
3,1193,0.494140625,0.49993133544921875,0.41994970662196146,0.8400147717178221,0.1601005867560771,0.25,11
3,1193,0.498046875,0.49999237060546875,0.451802179379715,0.9036181468781262,0.09639564124056998,0.3,11
3,1193,0.490234375,0.49980926513671875,0.4853310980720872,0.9710326156905651,0.02933780385582565,0.35,11
3,1193,0.48046875,0.499237060546875,0.5079631181894384,1.0174787857956793,-0.01592623637887678,0.4,11
3,1193,0.482421875,0.49938201904296875,0.5163453478625314,1.0339686415863985,-0.03269069572506287,0.45,11
3,1193,0.48046875,0.499237060546875,0.5280804694048616,1.0577749753321417,-0.056160938809723386,0.5,11
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,12
3,1193,0.48828125,0.499725341796875,0.18273260687342832,0.3656660801238778,0.6345347862531433,0.02,12
3,1193,0.486328125,0.49962615966796875,0.20955574182732606,0.4194250796767493,0.5808885163453479,0.04,12
3,1193,0.47265625,0.498504638671875,0.23805532271584243,0.4775388316346939,0.5238893545683152,0.06,12
3,1193,0.462890625,0.49724578857421875,0.2581726739312657,0.5192053504797677,0.48365465213746855,0.08,12
3,1193,0.4609375,0.4969482421875,0.2875104777870914,0.5785521577086349,0.42497904442581724,0.1,12
3,1193,0.462890625,0.49724578857421875,0.3109807208717519,0.6254064448960838,0.37803855825649624,0.12,12
3,1193,0.458984375,0.49663543701171875,0.3193629505448449,0.6430530863171352,0.36127409891031015,0.15,12
3,1193,0.46484375,0.497528076171875,0.35792120704107294,0.7193990132075003,0.28415758591785417,0.18,12
3,1193,0.46875,0.498046875,0.36462699077954736,0.7321138010946205,0.2707460184409053,0.2,12
3,1193,0.462890625,0.49724578857421875,0.4107292539815591,0.8260085121269031,0.1785414920368818,0.25,12
3,1193,0.46875,0.498046875,0.4308466051969824,0.8650723994543333,0.1383067896060352,0.3,12
3,1193,0.490234375,0.49980926513671875,0.4526404023470243,0.9056262737010451,0.09471919530595138,0.35,12
3,1193,0.4921875,0.4998779296875,0.471081307627829,0.9423926915963798,0.057837384744341996,0.4,12
3,1193,0.515625,0.49951171875,0.4920368818105616,0.9850357125591692,0.01592623637887678,0.45,12
3,1193,0.513671875,0.49962615966796875,0.49371332774518023,0.9881654877184214,0.012573344509639563,0.5,12
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,13
3,1193,0.5,0.5,0.16429170159262363,0.32858340318524726,0.6714165968147527,0.02,13
3,1193,0.498046875,0.49999237060546875,0.18440905280804695,0.3688237334196434,0.6311818943839062,0.04,13
3,1193,0.49609375,0.499969482421875,0.20620284995808885,0.4124308726989352,0.5875943000838223,0.06,13
3,1193,0.498046875,0.49999237060546875,0.23134953897736799,0.46270613829009805,0.537300922045264,0.08,13
3,1193,0.50390625,0.499969482421875,0.25230511316010057,0.5046410271641443,0.4953897736797988,0.1,13
3,1193,0.486328125,0.49962615966796875,0.28331936295054483,0.5670627077229651,0.4333612740989103,0.12,13
3,1193,0.478515625,0.49907684326171875,0.32523051131601005,0.651664199024873,0.3495389773679799,0.15,13
3,1193,0.470703125,0.49828338623046875,0.36462699077954736,0.7317663017785186,0.2707460184409053,0.18,13
3,1193,0.470703125,0.49828338623046875,0.3738474434199497,0.7502707369959064,0.25230511316010057,0.2,13
3,1193,0.46875,0.498046875,0.40318524727577537,0.8095327317850862,0.19362950544844929,0.25,13
3,1193,0.478515625,0.49907684326171875,0.4392288348700754,0.8800825780645192,0.12154233025984912,0.3,13
3,1193,0.484375,0.49951171875,0.46437552388935455,0.9296589178156385,0.07124895222129086,0.35,13
3,1193,0.490234375,0.49980926513671875,0.4744341994970662,0.9492305016940584,0.05113160100586756,0.4,13
3,1193,0.5,0.5,0.490360435875943,0.980720871751886,0.019279128248113998,0.45,13
3,1193,0.513671875,0.49962615966796875,0.5046102263202011,1.0099755918616122,-0.009220452640402346,0.5,13
3,1193,0.5,0.5,0.15004191114836546,0.3000838222967309,0.6999161777032691,0.0,14
