eta,k,replicate_count,edge_count,p_pos_mean,p_pos_sd,cut_fraction_mean,cut_fraction_sd,cut_fraction_sem,knn_nmstv_mean,knn_nmstv_sd,knn_nmstv_sem,signed_alignment_mean,signed_alignment_sd
0.15,16,20,6434,0.502734375,0.018802182047658444,0.37369443580976064,0.013518508321212142,0.0030228303560626947,0.7484111209508302,0.02685626561777359,0.006005243554313212,0.2526111283804787,0.02703701664242432
0.18,16,20,6434,0.50029296875,0.01963658887932382,0.3938840534659621,0.01368987098655213,0.0030611482129132657,0.7889299959676925,0.027511642453335594,0.006151790269832745,0.21223189306807586,0.027379741973104263
0.2,16,20,6434,0.50185546875,0.021371704786855565,0.4047482126204539,0.013513710956281877,0.0030217576326529985,0.8109136356080431,0.026970002457867202,0.006030675884912746,0.19050357475909233,0.027027421912563777
0.25,16,20,6434,0.49716796875,0.020390977496827133,0.43061081753186203,0.012592799660533598,0.0028158356067989393,0.8626247367502435,0.02562452618191279,0.005729818243398011,0.13877836493627604,0.025185599321067176
0.3,16,20,6434,0.49970703125,0.02168690980339334,0.45618588747280076,0.0119118095897981,0.0026635615977822435,0.9140251847012163,0.024599127687124137,0.005500532169560676,0.08762822505439852,0.023823619179596207
0.35,16,20,6434,0.50087890625,0.018609790926651364,0.47506994093876287,0.010726991820262575,0.0023986282904191326,0.9513935954414523,0.021389262298964585,0.004782784448905826,0.04986011812247436,0.021453983640525167
0.4,16,20,6434,0.50283203125,0.0143870595108318,0.4901150139881877,0.008302350670692798,0.0018564620472710067,0.9810381726304943,0.01689539236100883,0.0037779245825746393,0.019769972023624495,0.016604701341385582
0.45,16,20,6434,0.50703125,0.013946662892563782,0.4974121852657755,0.004589978008080531,0.0010263502841297138,0.9957550218937528,0.008866569598991288,0.0019826252350577636,0.005175629468448866,0.009179956016161065
0.5,16,20,6434,0.50556640625,0.014647066821836608,0.5014143612060926,0.004061712826852492,0.0009082265985925005,1.003769219631984,0.0077067230489425015,0.0017232756621199912,-0.002828722412185266,0.00812342565370498
0.0,32,20,13070,0.5,0.0,0.3175210405508799,0.0,1.273513149771875e-17,0.6350420811017597,0.0,2.54702629954375e-17,0.36495791889824025,0.0
0.02,32,20,13070,0.49833984375,0.006020769278128192,0.33146901300688597,0.005628917003559695,0.0012586641059663844,0.663036797713476,0.011267131185945592,0.0025194071243182094,0.337061973986228,0.011257834007119322
0.04,32,20,13070,0.49755859375,0.009732158940063752,0.34572685539403214,0.0074258000576235645,0.001660459371616813,0.6917186304891382,0.014828159129630545,0.003315677179503804,0.3085462892119357,0.014851600115247113
0.06,32,20,13070,0.49814453125,0.011147590895177388,0.35884850803366486,0.009990925961662778,0.0022340389608445457,0.7180410017567759,0.019789842911890017,0.004425143401502845,0.2823029839326702,0.01998185192332558
0.08,32,20,13070,0.50244140625,0.014266540452230277,0.371893649579189,0.009619354314059437,0.0021509530145892796,0.744377851546388,0.01910667436017076,0.004272382269329409,0.25621270084162207,0.01923870862811889
0.1,32,20,13070,0.501953125,0.0145055392947061,0.3833052792654935,0.010195670100016714,0.0022798211419799447,0.7672380518132272,0.020461290958982897,0.004575283749168761,0.23338944146901303,0.02039134020003344
0.12,32,20,13070,0.50283203125,0.01629764876093059,0.39337413925019127,0.011794166511360062,0.0026372558057352643,0.7875667544455542,0.02352109212652603,0.005259476089994735,0.21325172149961746,0.023588333022720134
0.15,32,20,13070,0.502734375,0.018802182047658444,0.4086381025248661,0.012015996208170513,0.0026868584338848992,0.8183961158535696,0.02386601527992205,0.005336603251795431,0.18272379495026778,0.02403199241634103
0.18,32,20,13070,0.50029296875,0.01963658887932382,0.42389824024483547,0.011419670157225791,0.002553515875218257,0.8490399215480158,0.02274804676259359,0.005086617891650324,0.152203519510329,0.02283934031445158
0.2,32,20,13070,0.50185546875,0.021371704786855565,0.43242157612853865,0.011414208102508516,0.0025522945226537927,0.8663557369659207,0.02267850059061725,0.005071066894838934,0.13515684774292275,0.02282841620501702
0.25,32,20,13070,0.49716796875,0.020390977496827133,0.45004590665646516,0.010418466755329283,0.002329639988623793,0.9015535962445952,0.02119212143583627,0.004738702411796035,0.09990818668706962,0.02083693351065856
0.3,32,20,13070,0.49970703125,0.02168690980339334,0.4681713848508034,0.008094356865921705,0.001809953218634309,0.9380317468403963,0.01686069946600596,0.003770167015418375,0.06365723029839326,0.016188713731843413
0.35,32,20,13070,0.50087890625,0.018609790926651364,0.4827084927314461,0.00703792630670634,0.0015737281642429393,0.9666911445050719,0.013953909183099533,0.0031201889485269114,0.03458301453710788,0.01407585261341266
