eta,k,expected_cut_fraction_nested_independent,expected_knn_nmstv,expected_d_cut_d_eta,expected_d2_cut_d_eta2
0.02,32,0.3318273909716909,0.6636547819433818,0.7007192042846213,-1.459831675592961
0.04,32,0.3455498087222647,0.6910996174445294,0.6715225707727621,-1.459831675592961
0.06,32,0.35868829380260137,0.7173765876052027,0.6423259372609028,-1.459831675592961
0.08,32,0.3712428462127008,0.7424856924254016,0.6131293037490436,-1.459831675592961
0.1,32,0.3832134659525631,0.7664269319051262,0.5839326702371844,-1.459831675592961
0.12,32,0.3946001530221882,0.7892003060443764,0.5547360367253252,-1.459831675592961
0.15,32,0.41058530986993114,0.8211706197398623,0.5109410864575363,-1.459831675592961
0.18,32,0.4252566182096404,0.8505132364192808,0.46714613618974754,-1.459831675592961
0.2,32,0.43430757459831676,0.8686151491966335,0.4379495026778883,-1.459831675592961
0.25,32,0.45438026013772,0.90876052027544,0.36495791889824025,-1.459831675592961
