rule,radius,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2,d_phi_energy_direct_dd,d_phi_energy_direct_dd_sem
random_label,0.31,30,30,complete,False,-0.2192414413657362,7.927896634804324,-0.2192414413657353,7.9278966348044575,3.0063733899716425,-2.4954100420064265,-0.2547622605458656,0.009699455803898487
random_label,0.32,30,30,complete,False,-0.15483525133654474,0.05866578930109334,-0.15483525133654297,0.05866578930109334,2.9699123751177723,-9.722106589809329,-0.2118825859149043,0.008748381549833342
random_label,0.33,30,30,complete,False,-0.21806812557971433,-0.6806951379830108,-0.21806812557971345,-0.6806951379831885,2.8119312581754556,-9.87659936153591,-0.18231862110405786,0.011799170670193928
random_label,0.34,30,30,complete,False,-0.16844915409620498,2.5381378522755593,-0.16844915409620675,2.5381378522753817,2.772380387887054,-6.123860951215221,-0.16426031753621714,0.010732623796497583
random_label,0.35,30,30,complete,False,-0.16730536853420297,-1.0151190279177698,-0.16730536853420563,-1.0151190279175477,2.689454039151151,-9.188418718674313,-0.13644778567523533,0.009913853610252892
random_label,0.36,30,30,complete,False,-0.18875153465456052,6.53602292244852,-0.18875153465455785,6.536022922448787,2.5886120135135684,-1.188818322365364,-0.12015912212391533,0.008098510195854267
random_label,0.37,30,30,complete,False,-0.03658491008523246,7.618639363688866,-0.036584910085229794,7.618639363688599,2.6656776727038434,0.30631767870517024,-0.10072481220425614,0.008612007686188918
random_label,0.38,30,30,complete,False,-0.03637874738078306,-5.104303296566077,-0.036378747380785725,-5.104303296566299,2.594738367087672,-12.036302617476125,-0.09254973437395306,0.008790303601071756
random_label,0.39,30,30,complete,False,-0.1386709760165541,-0.1730503443999607,-0.13867097601655587,-0.17305034439973865,2.424951620354321,-6.75365757770868,-0.08006658084921921,0.008088925768131087
random_label,0.4,30,30,complete,False,-0.03983975426878228,8.421747139893528,-0.0398397542687805,8.421747139893572,2.459665215533498,2.1664643924609237,-0.06154085950641332,0.007515575163915639
random_label,0.41,30,30,complete,False,0.02976396678131632,0.2502617402714893,0.029763966781315432,0.25026174027140047,2.468280908203539,-5.703247097702388,-0.05802466163055309,0.00538912308895857
random_label,0.42,30,30,complete,False,-0.03483451946335325,-4.021927344624695,-0.03483451946335325,-4.021927344624473,2.34560027357945,-9.694992556901383,-0.048689326731628076,0.004767501013056076
random_label,0.43,30,30,complete,False,-0.05067458011117765,-0.14363621390254266,-0.050674580111174095,-0.14363621390254266,2.2743810570655114,-5.5556235003145105,-0.040766809992012605,0.004631192677890262
random_label,0.44,30,30,complete,False,-0.037707243741404106,5.207989918422347,-0.037707243741404106,5.207989918422036,2.2344878035731597,0.03945828739304602,-0.03453734956405574,0.0049744237199950084
random_label,0.45,30,30,complete,False,0.053485218257269374,0.3432854655638804,0.05348521825726671,0.3432854655640136,2.2751702228133723,-4.597861280743828,-0.03208495812412059,0.004048532933688506
random_label,0.46,30,30,complete,False,-0.030841534430126494,-4.323598275741766,-0.03084153443012383,-4.323598275741588,2.142530577958283,-9.052046522403131,-0.03377927400048231,0.004513289048651577
random_label,0.47,30,30,complete,False,-0.03298674725756623,3.6889049263147142,-0.03298674725756534,3.6889049263144034,2.0941292923653094,-0.8402927843313961,-0.03058016349275868,0.004551733415282392
random_label,0.48,30,30,complete,False,0.042936564096168084,0.1119654601508202,0.04293656409616453,0.11196546015073139,2.1257247222716558,-4.230319129864313,-0.026379041438298913,0.00307483216658416
random_label,0.49,30,30,complete,False,-0.030747438054549825,0.5865372649828777,-0.030747438054550713,0.5865372649831442,2.009522909768023,-3.5801734173588784,-0.02780147881318825,0.003284052486663495
random_label,0.5,30,30,complete,False,0.05466730939582565,2.8522108321229895,0.054667309395827424,2.852210832123034,2.054121253924478,-1.149365928090873,-0.01699235651053216,0.003030933167456813
random_label,0.51,30,30,complete,False,0.02629677858791002,-5.886344241763991,0.02629677858791002,-5.8863442417641245,1.9865355912062057,-9.732415263017913,-0.019989377027696743,0.003372678483318558
random_label,0.52,30,30,complete,False,-0.06305957543945429,-2.1011281805638475,-0.06305957543945517,-2.1011281805638475,1.85947294866412,-5.800587261494883,-0.01801013417534391,0.0027238796971700034
random_label,0.53,30,30,complete,False,-0.015725785023366967,6.562951147534552,-0.015725785023366967,6.562951147534552,1.870523845976308,3.0018758704933646,-0.02161949840183724,0.0033186496926299034
random_label,0.54,30,30,complete,False,0.06819944751123685,1.8004480359577342,0.06819944751123597,1.8004480359576898,1.9195104660739872,-1.6298670569433682,-0.015865776305437427,0.0027888304790617984
random_label,0.55,30,30,complete,False,0.020283175695787747,-7.095509695669516,0.02028317569578686,-7.095509695669382,1.8379265048374407,-10.40213823340109,-0.01204779183986766,0.003073026143846738
random_label,0.56,30,30,complete,False,-0.07371074640215358,-0.37262358915851734,-0.0737107464021518,-0.3726235891584285,1.7114677014059652,-3.5621379376229925,-0.011561521600354228,0.002624766201705952
random_label,0.57,30,30,complete,False,0.012830703912615427,4.889257277735013,0.012830703912616315,4.88925727773488,1.7666837460849791,1.8107423792806259,-0.0135251621784438,0.002052864557275395
random_label,0.58,30,30,complete,False,0.02407439915254539,-4.727877727258352,0.0240743991525445,-4.7278777272584405,1.7476825489915768,-7.701089443580145,-0.014812089080859745,0.0020161179692274648
random_label,0.59,30,30,complete,False,-0.0817268506325517,-1.617121389417696,-0.08172685063255258,-1.617121389417607,1.6126619572133762,-4.490342922129997,-0.011612267350946382,0.002553594808705785
random_label,0.6,30,30,complete,False,-0.008268028635808555,5.524228477962362,-0.008268028635807667,5.524228477962495,1.6578756905489769,2.7460356928962426,-0.007050731786486658,0.0027489249561679758
random_label,0.61,30,30,complete,False,0.028757718926695652,1.3924640408167641,0.02875771892669743,1.392464040816853,1.667582671071301,-1.2953384799573087,-0.009138733648236152,0.00165666141360377
random_label,0.62,30,30,complete,False,0.019581252180526754,-0.7843747826655082,0.019581252180529418,-0.7843747826655526,1.6319689209498307,-3.386128430257429,-0.00971965901272769,0.0021692624392402027
random_label,0.63,30,30,complete,False,0.013070223273385473,-4.357328238662324,0.013070223273386361,-4.357328238662502,1.5998601024661525,-6.8771007261965025,-0.009223233059039042,0.0029553704685881983
random_label,0.64,30,30,complete,False,-0.0675653125927198,-0.19743244956447176,-0.0675653125927207,-0.1974324495647382,1.4944269064259004,-2.639039046125191,-0.012678655666962442,0.0018914422159580838
random_label,0.65,30,30,complete,False,0.009121574282096034,5.599880515778284,0.009121574282091593,5.599880515778284,1.5470793215436487,3.2328576982379644,-0.009509913178547715,0.002352350214629864
random_label,0.66,30,30,complete,False,0.04443229772284596,-1.0438382329652987,0.04443229772284507,-1.0438382329649434,1.55908406039066,-3.339643771361253,-0.010082119671422014,0.0021753128695664137
random_label,0.67,30,30,complete,False,-0.011755190377209956,-4.534627897852502,-0.011755190377207292,-4.534627897852369,1.4802864461164233,-6.762383028924987,-0.009650248909948622,0.0021235247327643044
random_label,0.68,30,30,complete,False,-0.046260260234204154,-1.2498034635099835,-0.04626026023420238,-1.2498034635101611,1.42383639981216,-3.4124900137093874,-0.011179012969507289,0.0024806654820850042
random_label,0.69,30,30,complete,False,-0.036751259647409995,4.042152582457954,-0.03675125964741088,4.042152582457954,1.4120366458422353,1.941724509415323,-0.01170782385370538,0.0020411554133481676
random_label,0.7,30,30,complete,False,0.03458279141495524,4.958389230852629,0.034582791414957015,4.9583892308525845,1.4626708900004672,2.917569066156034,-0.01108402147604177,0.0018327389883448658
random_label,0.71,30,30,complete,False,0.06241652496964267,-1.7915073634103147,0.062416524969640896,-1.7915073634105367,1.470388027165356,-3.7752218178724206,-0.007711574405020617,0.002319992115342857
