pair_id,pair,P,r,split_logZ_per_P_diff,signed_split_logZ_per_P_diff
pair_7_9,7/9,2461,0.45,0.0010632742828436,-0.00106327
pair_7_9,7/9,2461,0.45,0.0001296409454509,0.000129641
pair_7_9,7/9,2461,0.45,0.0018478010988162,0.0018478
pair_7_9,7/9,2461,0.45,0.0004500056347739,0.000450006
pair_7_9,7/9,2461,0.45,0.0026030053576005,0.00260301
pair_7_9,7/9,2461,0.45,0.0022547581810753,-0.00225476
pair_7_9,7/9,2461,0.45,0.0007079354065197,0.000707935
pair_7_9,7/9,2461,0.45,0.0031418361811044,-0.00314184
pair_7_9,7/9,2461,0.45,3.203202923754372e-05,3.2032e-05
pair_7_9,7/9,2461,0.5,0.0050617168908522,0.00506172
pair_7_9,7/9,2461,0.5,0.0033865485120664,0.00338655
pair_7_9,7/9,2461,0.5,0.0005093840794475,0.000509384
pair_7_9,7/9,2461,0.5,0.0022827660708148,0.00228277
pair_7_9,7/9,2461,0.5,0.0024734995020341,-0.0024735
pair_7_9,7/9,2461,0.5,0.0018880195373391,-0.00188802
pair_7_9,7/9,2461,0.5,0.0003717269684578,-0.000371727
pair_7_9,7/9,2461,0.5,0.0022741771094249,0.00227418
pair_7_9,7/9,2461,0.5,0.0007137655266683,-0.000713766
pair_7_9,7/9,2461,0.5,0.002015741850005,-0.00201574
pair_7_9,7/9,2461,0.5,0.0006361160676747,-0.000636116
pair_7_9,7/9,2461,0.5,0.0002616800368427,0.00026168
pair_7_9,7/9,2461,0.5,0.0017434608756214,0.00174346
pair_7_9,7/9,2461,0.5,0.0005491647205509,0.000549165
pair_7_9,7/9,2461,0.5,0.0012824675472279,-0.00128247
pair_7_9,7/9,2461,0.5,0.0018014100806011,-0.00180141
pair_7_9,7/9,2461,0.5,0.0024035427689026,-0.00240354
pair_7_9,7/9,2461,0.5,8.384110654367198e-05,-8.38411e-05
pair_7_9,7/9,2461,0.5,0.0016736339874287,-0.00167363
pair_7_9,7/9,2461,0.5,0.0022129221301529,0.00221292
pair_7_9,7/9,2461,0.5,0.0003456966268079,-0.000345697
pair_7_9,7/9,2461,0.5,9.101530041385188e-05,-9.10153e-05
pair_7_9,7/9,2461,0.5,0.0021347514452219,0.00213475
pair_7_9,7/9,2461,0.5,0.0024900008705287,0.00249
pair_7_9,7/9,2461,0.5,0.0002605395603316,0.00026054
pair_7_9,7/9,2461,0.5,0.0027128679411817,-0.00271287
pair_7_9,7/9,2461,0.5,0.0009080141084157,0.000908014
pair_7_9,7/9,2461,0.5,0.0010677280007703,-0.00106773
pair_7_9,7/9,2461,0.5,0.0018835392616737,0.00188354
pair_7_9,7/9,2461,0.5,0.0034987673526891,0.00349877
pair_7_9,7/9,2461,0.55,0.0008129451209116,0.000812945
pair_7_9,7/9,2461,0.55,0.0010018047598571,-0.0010018
pair_7_9,7/9,2461,0.55,0.0015280374590771,0.00152804
pair_7_9,7/9,2461,0.55,0.0009141343614829,0.000914134
pair_7_9,7/9,2461,0.55,0.000306478054049,-0.000306478
pair_7_9,7/9,2461,0.55,0.0024156236723996,0.00241562
pair_7_9,7/9,2461,0.55,0.0038761880777387,-0.00387619
pair_7_9,7/9,2461,0.55,0.0072361542953284,0.00723615
pair_7_9,7/9,2461,0.55,0.002151012430562,-0.00215101
pair_7_9,7/9,2461,0.55,0.0028634188219846,0.00286342
pair_7_9,7/9,2461,0.55,0.0020275035710054,-0.0020275
pair_7_9,7/9,2461,0.55,0.0037884802991471,-0.00378848
pair_7_9,7/9,2461,0.55,0.0016115439057409,0.00161154
pair_7_9,7/9,2461,0.55,3.74737830293157e-05,-3.74738e-05
pair_7_9,7/9,2461,0.55,0.0040882735984611,0.00408827
pair_7_9,7/9,2461,0.55,0.002783609042914,-0.00278361
pair_7_9,7/9,2461,0.55,0.0018841907921456,-0.00188419
pair_7_9,7/9,2461,0.55,0.0002365272311769,0.000236527
pair_7_9,7/9,2461,0.55,0.0032284139173964,0.00322841
pair_7_9,7/9,2461,0.55,0.0013464582321048,-0.00134646
pair_7_9,7/9,2461,0.55,0.0012679507693589,-0.00126795
pair_7_9,7/9,2461,0.55,0.0057902700141511,0.00579027
pair_7_9,7/9,2461,0.55,0.0020272684908509,-0.00202727
pair_7_9,7/9,2461,0.55,0.0003516099888738,0.00035161
pair_7_9,7/9,2461,0.55,0.0038480616277356,0.00384806
pair_7_9,7/9,2461,0.55,0.0013155490292313,-0.00131555
pair_7_9,7/9,2461,0.55,0.0013839443834949,-0.00138394
pair_7_9,7/9,2461,0.55,0.000140500603797,0.000140501
pair_7_9,7/9,2461,0.55,0.0001535154895811,0.000153515
pair_7_9,7/9,2461,0.55,0.0019759180380055,0.00197592
pair_7_9,7/9,2461,0.6,0.0044614007472517,0.0044614
pair_7_9,7/9,2461,0.6,0.001264518819665,0.00126452
pair_7_9,7/9,2461,0.6,0.0012923662042817,-0.00129237
pair_7_9,7/9,2461,0.6,0.0007350916046896,-0.000735092
pair_7_9,7/9,2461,0.6,0.0044208413857966,0.00442084
pair_7_9,7/9,2461,0.6,0.0022020245422422,0.00220202
pair_7_9,7/9,2461,0.6,0.0003975647604235,0.000397565
pair_7_9,7/9,2461,0.6,0.003390762470676,-0.00339076
pair_7_9,7/9,2461,0.6,0.0028282616306346,0.00282826
pair_7_9,7/9,2461,0.6,0.0014940387561743,-0.00149404
pair_7_9,7/9,2461,0.6,0.0013092542509714,-0.00130925
pair_7_9,7/9,2461,0.6,0.001749351482714,-0.00174935
pair_7_9,7/9,2461,0.6,0.0007297255559278,0.000729726
pair_7_9,7/9,2461,0.6,0.0007985581696614,-0.000798558
pair_7_9,7/9,2461,0.6,0.0015169198162191,0.00151692
pair_7_9,7/9,2461,0.6,0.00078008096702,0.000780081
pair_7_9,7/9,2461,0.6,0.0015740949889936,-0.00157409
pair_7_9,7/9,2461,0.6,0.0006855918576,-0.000685592
pair_7_9,7/9,2461,0.6,0.0027403084981659,0.00274031
pair_7_9,7/9,2461,0.6,0.0017065324986608,-0.00170653
pair_7_9,7/9,2461,0.6,0.0029988088999396,0.00299881
pair_7_9,7/9,2461,0.6,0.0031550616286639,-0.00315506
pair_7_9,7/9,2461,0.6,0.005346322010684,-0.00534632
pair_7_9,7/9,2461,0.6,0.0005747307135859,-0.000574731
pair_7_9,7/9,2461,0.6,0.0010771349842083,0.00107713
pair_7_9,7/9,2461,0.6,0.0002142881090581,0.000214288
pair_7_9,7/9,2461,0.6,0.0007015849664337,-0.000701585
pair_7_9,7/9,2461,0.6,0.0045361151251448,0.00453612
pair_7_9,7/9,2461,0.6,0.0036620512849528,-0.00366205
pair_7_9,7/9,2461,0.6,0.001444600014649,0.0014446
pair_7_9,7/9,2461,0.65,0.0018052084941811,0.00180521
pair_7_9,7/9,2461,0.65,0.0015675571078073,0.00156756
pair_7_9,7/9,2461,0.65,0.002866608860202,0.00286661
pair_7_9,7/9,2461,0.65,0.0009141517960271,0.000914152
pair_7_9,7/9,2461,0.65,0.0045508611254435,0.00455086
pair_7_9,7/9,2461,0.65,0.0013034681503603,-0.00130347
