beta,radius,sample_row_count,ref_count,dataset_count,claim,acceptance
0.07,1.0,1800,1800,60,pass,pass
0.07,1.01,1800,1800,60,pass,pass
0.07,1.02,1800,1800,60,pass,pass
0.07,1.03,1800,1800,60,pass,pass
0.07,1.04,1800,1800,60,pass,pass
0.07,1.05,1800,1800,60,pass,pass
0.07,1.06,1800,1800,60,pass,pass
0.07,1.07,1800,1800,60,pass,pass
0.07,1.08,1800,1800,60,pass,pass
0.07,1.09,1800,1800,60,pass,pass
0.07,1.1,1800,1800,60,pass,pass
0.07,1.11,1800,1800,60,pass,pass
0.07,1.12,1800,1800,60,pass,pass
0.07,1.13,1800,1800,60,pass,pass
0.07,1.14,1800,1800,60,pass,pass
0.07,1.15,1800,1800,60,pass,pass
0.07,1.16,1800,1800,60,pass,pass
0.07,1.17,1800,1800,60,pass,pass
0.07,1.18,1800,1800,60,pass,pass
0.07,1.19,1800,1800,60,pass,pass
0.07,1.2,1800,1800,60,pass,pass
0.07,1.21,1800,1800,60,pass,pass
0.07,1.22,1800,1800,60,pass,pass
0.07,1.23,1800,1800,60,pass,pass
0.07,1.24,1800,1800,60,pass,pass
0.07,1.25,1800,1800,60,pass,pass
0.07,1.26,1800,1800,60,pass,pass
0.07,1.27,1800,1800,60,pass,pass
0.07,1.28,1800,1800,60,pass,pass
0.07,1.29,1800,1800,60,pass,pass
0.07,1.3,1800,1800,60,pass,pass
0.07,1.31,1800,1800,60,pass,pass
0.07,1.32,1800,1800,60,pass,pass
0.07,1.33,1800,1800,60,pass,pass
0.07,1.34,1800,1800,60,pass,pass
0.07,1.35,1800,1800,60,pass,pass
0.07,1.36,1800,1800,60,pass,pass
0.07,1.37,1800,1800,60,pass,pass
0.07,1.38,1800,1800,60,pass,pass
0.07,1.39,1800,1800,60,pass,pass
0.07,1.4,1800,1800,60,pass,pass
0.07,1.41,1800,1800,60,pass,pass
0.07,1.42,1800,1800,60,pass,pass
0.07,1.43,1800,1800,60,pass,pass
0.07,1.44,1800,1800,60,pass,pass
0.07,1.45,1800,1800,60,pass,pass
0.07,1.46,1800,1800,60,pass,pass
0.07,1.47,1800,1800,60,pass,pass
0.07,1.48,1800,1800,60,pass,pass
0.07,1.49,1800,1800,60,pass,pass
0.07,1.5,1800,1800,60,pass,pass
0.07,1.51,1800,1800,60,pass,pass
0.07,1.52,1800,1800,60,pass,pass
0.07,1.53,1800,1800,60,pass,pass
0.07,1.54,1800,1800,60,pass,pass
0.07,1.55,1800,1800,60,pass,pass
0.07,1.56,1800,1800,60,pass,pass
0.07,1.57,1800,1800,60,pass,pass
0.07,1.58,1800,1800,60,pass,pass
0.07,1.59,1800,1800,60,pass,pass
0.07,1.6,1800,1800,60,pass,pass
0.07,1.61,1800,1800,60,pass,pass
0.07,1.62,1800,1800,60,pass,pass
0.07,1.63,1800,1800,60,pass,pass
0.07,1.64,1800,1800,60,pass,pass
0.07,1.65,1800,1800,60,pass,pass
0.07,1.66,1800,1800,60,pass,pass
0.07,1.67,1800,1800,60,pass,pass
0.07,1.68,1800,1800,60,pass,pass
0.07,1.69,1800,1800,60,pass,pass
0.07,1.7,1800,1800,60,pass,pass
0.07,1.71,1800,1800,60,pass,pass
0.07,1.72,1800,1800,60,pass,pass
0.07,1.73,1800,1800,60,pass,pass
