dataset_id,split_id,rule,ref_id,theta_path,dataset_path,attempt_seed,optimizer_chain,P,train_error,test_error,CE_mean_train,CE_sum_train,CE_mean_test,theta_norm,min_margin,q05_margin,median_margin,mean_margin,extra_reference_search
0,0,low_tv_spectral_teacher,1000,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1000/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703600,adam,2461,0.0,0.1298828125,0.0090448932455924,4.630985341743353,0.5593764100209567,11.265955227283614,1.0306644134262763,2.875670475884848,8.179591391334158,7.114442345725654,True
0,0,low_tv_spectral_teacher,1001,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1001/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703601,adam,2461,0.0,0.1298828125,0.0007271703747342,0.3723112318639379,0.7632535343904948,13.388051887355136,3.78458745740007,5.46344374410861,10.395255422295,9.458700607225817,True
0,0,low_tv_spectral_teacher,1002,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1002/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703602,adam,2461,0.0,0.13671875,0.0082165475879774,4.206872365044465,0.546266612561686,12.685789547716151,1.018230295850215,2.9343190510435324,7.786430899748799,6.924552183017188,True
0,0,low_tv_spectral_teacher,1003,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1003/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703603,adam,2461,0.0,0.1376953125,0.0015181816258375,0.7773089924288261,0.6885990310385588,14.746611313814736,1.992358789476785,4.8643586007070905,9.72998257910913,8.882480882212436,True
0,0,low_tv_spectral_teacher,1004,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1004/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703604,adam,2461,0.0,0.125,0.0016348017620014,0.8370185021447298,0.6119170502139872,15.265815284973446,2.0741911188678426,4.93474927238551,9.312133866174182,8.583582930819738,True
0,0,low_tv_spectral_teacher,1005,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1005/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703605,adam,2461,0.0,0.12548828125,0.0095580673107038,4.893730463080392,0.5012997362926205,11.675360272067676,1.4692647725072203,2.814183225764514,7.448712591842277,6.600918274019932,True
0,0,low_tv_spectral_teacher,1006,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1006/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703606,adam,2461,0.0,0.1357421875,0.0101026451494382,5.172554316512377,0.5595894548703564,11.876488632480488,1.282644098515043,2.6603381327268973,7.704294095817289,6.808369811640994,True
0,0,low_tv_spectral_teacher,1007,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1007/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703607,adam,2461,0.0,0.12744140625,0.0006643850195369,0.3401651300029091,0.6551642613186974,14.798987782970984,3.336070707420115,5.597302714189029,9.553521986217572,8.864192456021055,True
0,0,low_tv_spectral_teacher,1008,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1008/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703608,adam,2461,0.0,0.12744140625,0.0005183896361623,0.2654154937151463,0.7069318860992875,14.427117258131265,4.034851756251021,5.815309080010323,10.525795814802764,9.676434426078831,True
0,0,low_tv_spectral_teacher,1009,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1009/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703609,adam,2461,0.0,0.13671875,0.0006641928489156,0.3400667386448329,0.71216473314131,15.283835671769952,2.469690476307418,6.123278868384514,10.43896994027499,9.666331581786883,True
0,0,low_tv_spectral_teacher,1010,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1010/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703610,adam,2461,0.0,0.13330078125,0.0081951820924257,4.195933231321969,0.5433915677098686,11.560822077794809,1.2699568408148827,2.966843923492856,7.91044872163071,6.990961473724397,True
0,0,low_tv_spectral_teacher,1011,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1011/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703611,adam,2461,0.0,0.12841796875,0.0097335453987323,4.983575244150958,0.5091870582208198,11.646037338763549,1.2541610010964708,2.766664281316767,7.823187947146701,7.048420696836964,True
0,0,low_tv_spectral_teacher,1012,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1012/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703612,adam,2461,0.0,0.12109375,0.0114506131501862,5.862713932895364,0.4616921681128144,12.531484534367111,1.120017131405188,2.729445404905156,7.113476916044776,6.324477537785651,True
0,0,low_tv_spectral_teacher,1013,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1013/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703613,adam,2461,0.0,0.12353515625,0.0010100296751477,0.5171351936756339,0.6313091264802372,14.863591483073227,3.8553583956049824,5.103647682314384,9.190566797388833,8.477537012022058,True
0,0,low_tv_spectral_teacher,1014,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1014/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703614,adam,2461,0.0,0.1328125,0.0005810941471934,0.2975202033630451,0.7926235287655152,15.375095812075292,3.960944744557248,5.810247430440096,10.8361978123127,9.859173861835002,True
0,0,low_tv_spectral_teacher,1015,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1015/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703615,adam,2461,0.0,0.12841796875,0.0007740165380194,0.3962964674659405,0.6979199055053766,13.73076775773656,3.539588428137552,5.723332079367505,9.217119717491768,8.618830084110241,True
0,0,low_tv_spectral_teacher,1016,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1016/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703616,adam,2461,0.0,0.13037109375,0.0114394919996524,5.857019903822033,0.532766873871914,12.270551769600306,0.1198539986353199,2.7832030125787792,7.3316553523489,6.550239697162726,True
0,0,low_tv_spectral_teacher,1017,/home/bjyong/Complexity/local_project/03_dnn_mnist/03_reference_search/raw_outputs/extra_reference_pool/04_extra_reference_search/selected_reference_pool/split_000/low_tv_spectral_teacher/ref_1017/theta.npy,02_dnn/08_mnist/runs/final/single_dataset_10x10_box_n_train_512_60ref_allrule_sparse_0p010_to_2p500/01_dataset_prepare/raw_datasets/split_000/low_tv_spectral_teacher/dataset.npz,2703617,adam,2461,0.0,0.13671875,0.0008509759367418,0.4356996796118061,0.7195157114636959,13.62405036650955,3.526608541255508,5.336451820619343,10.127389586316772,9.27085081186063,True
