rule,radius,qc_diagnostic_pass,fail_reason,observed_ref_count,target_ref_count,unit_split_fail_count,unit_ess_fail_count,unit_finite_fail_count,max_split_logZ_per_P_diff,q05_ess_fraction,bootstrap_sd_delta_phi_energy,finite_unit_fraction
teacher_nn,1.5,False,max_split_logZ_per_P_diff,90,90,48,0,0,0.0167866417082323,0.598384823165948,0.0004467997042755,1.0
teacher_nn,1.6,False,max_split_logZ_per_P_diff,90,90,52,0,0,0.019545037230338,0.5853025846520398,0.0004940995531662,1.0
teacher_nn,1.7,False,max_split_logZ_per_P_diff,90,90,54,0,0,0.0160555688646788,0.6114949532525888,0.0003992427867157,1.0
teacher_nn,1.8,False,max_split_logZ_per_P_diff,90,90,51,0,0,0.0183563364324751,0.6143026974823487,0.0004977300613695,1.0
teacher_nn,1.9,False,max_split_logZ_per_P_diff,90,90,53,0,0,0.0181399111723049,0.5994936061483364,0.0004676478531713,1.0
teacher_nn,2.0,False,max_split_logZ_per_P_diff,90,90,56,0,0,0.0199013150940348,0.5751004746421031,0.0005563802642043,1.0
teacher_nn,2.1,False,max_split_logZ_per_P_diff,90,90,49,0,0,0.0158475908845359,0.5826128578241764,0.0004463838686803,1.0
teacher_nn,2.2,False,max_split_logZ_per_P_diff,90,90,57,0,0,0.0197345050324399,0.6027400023053783,0.0005571058164102,1.0
teacher_nn,2.3,False,max_split_logZ_per_P_diff,90,90,52,0,0,0.0182868478392423,0.5868144651554487,0.0005667680700582,1.0
teacher_nn,2.4,False,max_split_logZ_per_P_diff,90,90,54,0,0,0.0236927990309107,0.6239334592491824,0.0005576226137479,1.0
teacher_nn,2.5,False,max_split_logZ_per_P_diff,90,90,53,0,0,0.01984881787625,0.6283845596325497,0.0004937562450402,1.0
