rule,radius,d0,phi_energy_raw,delta_phi_energy,delta_phi_full,n_units,target_ref_count_x,target_ref_count_y,observed_ref_count,finite_unit_fraction,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_delta_phi_energy,qc_diagnostic_pass,sampling_status,run
random_label,2.1,0.1,-0.1731340299659062,-0.1460633608576547,2.897221969008099,60,60,60,60,1.0,0.6162515573572129,0.0092309369683157,0.0006940512390666,False,complete,60ref
random_label,2.2,0.1,-0.1740917119949795,-0.1470210428867281,2.94276539972256,60,60,60,60,1.0,0.6093890468302099,0.0103526868716538,0.000610221324756,False,complete,60ref
random_label,2.3,0.1,-0.1752545632455457,-0.1481838941372943,2.986036248563116,60,60,60,60,1.0,0.6074349459119598,0.0158658733826289,0.0006257787102847,False,complete,60ref
random_label,2.4,0.1,-0.1761630184182729,-0.1490923493100215,3.027670114182845,60,60,60,60,1.0,0.6603466948951111,0.0108528576077903,0.000658577448756,False,complete,60ref
random_label,2.5,0.1,-0.1780341272130502,-0.1509634581047987,3.06660441234452,60,60,60,60,1.0,0.6183346733544496,0.0146393586246915,0.000568442879133,False,complete,60ref
real_even_odd,0.1,0.1,-0.0030268573559071,0.0,0.0,60,60,60,60,1.0,0.5480884575637969,0.0005593509292632,0.0,True,complete,60ref
real_even_odd,0.2,0.1,-0.0137541805604617,-0.0107273232045546,0.6821382047017702,60,60,60,60,1.0,0.6023666657415652,0.0021704352428595,0.0001403019321863,True,complete,60ref
real_even_odd,0.3,0.1,-0.0260491822684865,-0.0230223249125794,1.075143554861313,60,60,60,60,1.0,0.6024935995926088,0.0047296635815502,0.0002579251790971,False,complete,60ref
real_even_odd,0.4,0.1,-0.036838359859815,-0.0338115025039079,1.3519195533087418,60,60,60,60,1.0,0.6129818890973706,0.0070176981596911,0.0003170451854738,False,complete,60ref
real_even_odd,0.5,0.1,-0.0450577790848404,-0.0420309217289333,1.566753013495726,60,60,60,60,1.0,0.6503681770424432,0.0082152463855986,0.0002997310196827,False,complete,60ref
real_even_odd,0.6,0.1,-0.0524108192251446,-0.0493839618692375,1.74164744581098,60,60,60,60,1.0,0.6296589018807942,0.0081753402386956,0.0003095594755248,False,complete,60ref
real_even_odd,0.7,0.1,-0.058819821794304,-0.0557929644383969,1.8893264856534644,60,60,60,60,1.0,0.5576490803774694,0.0113301483243537,0.0003271097186117,False,complete,60ref
real_even_odd,0.8,0.1,-0.0647733508977756,-0.0617464935418685,2.016850090177106,60,60,60,60,1.0,0.6277777894407387,0.0087874165869589,0.0003583690003872,False,complete,60ref
real_even_odd,0.9,0.1,-0.0695050650396976,-0.0664782076837905,2.1298535518639947,60,60,60,60,1.0,0.6576686848179368,0.0117258019384751,0.000356881056063,False,complete,60ref
real_even_odd,1.0,0.1,-0.0743622259211632,-0.0713353685652561,2.2303140945657285,60,60,60,60,1.0,0.6170200548790135,0.0145139559817157,0.0004109121548984,False,complete,60ref
real_even_odd,1.1,0.1,-0.0787841647996972,-0.0757573074437901,2.3211636072591726,60,60,60,60,1.0,0.5997561977886275,0.0169773068021933,0.0004535877904684,False,complete,60ref
real_even_odd,1.2,0.1,-0.0833055821972915,-0.0802787248413844,2.403618210745158,60,60,60,60,1.0,0.554519280410242,0.0170610913817107,0.000525874696734,False,complete,60ref
real_even_odd,1.3,0.1,-0.0871328952705111,-0.084106037914604,2.479801080880756,60,60,60,60,1.0,0.6423239906215105,0.0143462161465156,0.0005331892043403,False,complete,60ref
real_even_odd,1.4,0.1,-0.0902481317246091,-0.087221274368702,2.550763703629484,60,60,60,60,1.0,0.6270279988273874,0.0169871850070875,0.0005225992327688,False,complete,60ref
real_even_odd,1.5,0.1,-0.0944865568468239,-0.0914596994909168,2.6154901155076358,60,60,60,60,1.0,0.6119969002859431,0.0147836091206212,0.0006740121328566,False,complete,60ref
real_even_odd,1.6,0.1,-0.0969979188583279,-0.0939710615024208,2.6774910501228786,60,60,60,60,1.0,0.6123851120131434,0.0207922688629857,0.000641193756825,False,complete,60ref
real_even_odd,1.7,0.1,-0.1004320122812836,-0.0974051549253765,2.7346569443750264,60,60,60,60,1.0,0.6469560581226702,0.0160929152214713,0.0005600594523081,False,complete,60ref
real_even_odd,1.8,0.1,-0.1031263074574645,-0.1000994501015574,2.789097837352553,60,60,60,60,1.0,0.6291953474513965,0.0178472784087251,0.0006368414529915,False,complete,60ref
real_even_odd,1.9,0.1,-0.1065047980340853,-0.1034779406781782,2.839764598431713,60,60,60,60,1.0,0.6231070451024652,0.0226423765742035,0.0006473630923199,False,complete,60ref
real_even_odd,2.0,0.1,-0.1082605828392761,-0.105233725483369,2.88928126555394,60,60,60,60,1.0,0.6040476822917642,0.0175668855535256,0.0006785080073435,False,complete,60ref
real_even_odd,2.1,0.1,-0.1119095697618268,-0.1088827124059197,2.934402617459834,60,60,60,60,1.0,0.564484700851369,0.0181939954200792,0.0004861413989688,False,complete,60ref
real_even_odd,2.2,0.1,-0.1116499472997437,-0.1086230899438366,2.9811633526654515,60,60,60,60,1.0,0.5929003738342755,0.0258374903350512,0.0006422556357083,False,complete,60ref
real_even_odd,2.3,0.1,-0.117103652709769,-0.1140767953538619,3.0201433473465475,60,60,60,60,1.0,0.590549447978477,0.0150692259074195,0.0006530254784275,False,complete,60ref
real_even_odd,2.4,0.1,-0.1163737504128306,-0.1133468930569235,3.063415570435944,60,60,60,60,1.0,0.6459647051729622,0.0284981764654411,0.0008459737690673,False,complete,60ref
real_even_odd,2.5,0.1,-0.120495944736723,-0.1174690873808159,3.1000987830685025,60,60,60,60,1.0,0.6289477142082855,0.0194629892660691,0.00066891426948,False,complete,60ref
teacher_nn,0.1,0.1,-0.0087057355645577,0.0,0.0,60,60,60,60,1.0,0.5561422455110033,0.0009058491526572,0.0,True,complete,60ref
teacher_nn,0.2,0.1,-0.0258831506165867,-0.0171774150520289,0.6756881128542959,60,60,60,60,1.0,0.6428365992050545,0.0036289898895789,0.0001894309473374,True,complete,60ref
teacher_nn,0.3,0.1,-0.0422362967218715,-0.0335305611573137,1.064635318616579,60,60,60,60,1.0,0.5989941364409669,0.008127618888717,0.0002853676039921,False,complete,60ref
teacher_nn,0.4,0.1,-0.0561564328921228,-0.047450697327565,1.3382803584850846,60,60,60,60,1.0,0.6274015063576918,0.0070774237681738,0.0002953300550292,False,complete,60ref
teacher_nn,0.5,0.1,-0.0665475734348029,-0.0578418378702451,1.550942097354414,60,60,60,60,1.0,0.6208836489223893,0.0081144655875517,0.0003489528040393,False,complete,60ref
teacher_nn,0.6,0.1,-0.0761810417631764,-0.0674753061986186,1.7235561014815988,60,60,60,60,1.0,0.6082887179134484,0.008990732583757,0.0003637055085851,False,complete,60ref
teacher_nn,0.7,0.1,-0.0840885448729901,-0.0753828093084324,1.869736640783429,60,60,60,60,1.0,0.5849617568433538,0.0108171304103716,0.0004526919326187,False,complete,60ref
teacher_nn,0.8,0.1,-0.0912717055750099,-0.0825659700104521,1.9960306137085224,60,60,60,60,1.0,0.61659968881591,0.0176501507257054,0.0005040383650012,False,complete,60ref
teacher_nn,0.9,0.1,-0.0979632654067248,-0.089257529842167,2.1070742297056184,60,60,60,60,1.0,0.5962437238718389,0.0164477925538724,0.0004224808285223,False,complete,60ref
teacher_nn,1.0,0.1,-0.1043628551219921,-0.0956571195574344,2.2059923435735502,60,60,60,60,1.0,0.6199137127170777,0.0133447874608315,0.0004787755926199,False,complete,60ref
teacher_nn,1.1,0.1,-0.1086823092333412,-0.0999765736687834,2.2969443410341794,60,60,60,60,1.0,0.6339290032569227,0.0172632423838015,0.0005628274990217,False,complete,60ref
teacher_nn,1.2,0.1,-0.1145492624658743,-0.1058435269013165,2.378053408685226,60,60,60,60,1.0,0.5905283201683401,0.0140694689937236,0.000452525390873,False,complete,60ref
teacher_nn,1.3,0.1,-0.1177997152965608,-0.1090939797320031,2.4548131390633565,60,60,60,60,1.0,0.6462881999083914,0.0155646163337468,0.0005274637546769,False,complete,60ref
teacher_nn,1.4,0.1,-0.1235225540773274,-0.1148168185127696,2.523168159485416,60,60,60,60,1.0,0.5976909002640184,0.0169028523207042,0.0004584848913276,False,complete,60ref
teacher_nn,1.5,0.1,-0.1259551666426277,-0.1172494310780699,2.589700383920482,60,60,60,60,1.0,0.6070560680622741,0.015778807934182,0.0005493273909904,False,complete,60ref
teacher_nn,1.6,0.1,-0.1292430693266773,-0.1205373337621196,2.65092477786318,60,60,60,60,1.0,0.5830153761280967,0.019545037230338,0.0005570420998118,False,complete,60ref
teacher_nn,1.7,0.1,-0.1326899650898325,-0.1239842295252747,2.708077869775128,60,60,60,60,1.0,0.6215182612842792,0.0160555688646788,0.0004345002373098,False,complete,60ref
teacher_nn,1.8,0.1,-0.1355597963513301,-0.1268540607867724,2.762343226667338,60,60,60,60,1.0,0.5713454732188048,0.0162096481430877,0.0005809321752904,False,complete,60ref
teacher_nn,1.9,0.1,-0.1374525157249069,-0.1287467801603491,2.8144957589495423,60,60,60,60,1.0,0.6085398034941714,0.0181399111723049,0.0005069198615698,False,complete,60ref
teacher_nn,2.0,0.1,-0.1398696922241671,-0.1311639566596094,2.8633510343777,60,60,60,60,1.0,0.5738721180265851,0.0199013150940348,0.0006663721146721,False,complete,60ref
teacher_nn,2.1,0.1,-0.1431687039878037,-0.134462968423246,2.908822361442508,60,60,60,60,1.0,0.5963675362770222,0.0158475908845359,0.0005239367739615,False,complete,60ref
teacher_nn,2.2,0.1,-0.144578412813844,-0.1358726772492863,2.9539137653600016,60,60,60,60,1.0,0.601628743275815,0.017463696732814,0.0006007049645761,False,complete,60ref
teacher_nn,2.3,0.1,-0.1472519810869198,-0.1385462455223621,2.9956738971780474,60,60,60,60,1.0,0.5938592361164738,0.0182868478392423,0.0006631095898187,False,complete,60ref
