q,beta,radius,H_q,H_q_numeric,mean_R_H_at_H_q,ref_count,claim
0.9,0.06,0.46,4.0,4.0,1.0,0,
0.99,0.06,0.46,4.0,4.0,1.0,0,
0.5,0.06,0.47,4.0,4.0,1.0,0,
0.9,0.06,0.47,4.0,4.0,1.0,0,
0.99,0.06,0.47,4.0,4.0,1.0,0,
0.5,0.06,0.48,4.0,4.0,1.0,0,
0.9,0.06,0.48,4.0,4.0,1.0,0,
0.99,0.06,0.48,4.0,4.0,1.0,0,
0.5,0.06,0.49,4.0,4.0,1.0,0,
0.9,0.06,0.49,4.0,4.0,1.0,0,
0.99,0.06,0.49,4.0,4.0,1.0,0,
0.5,0.06,0.5,4.0,4.0,1.0,0,
0.9,0.06,0.5,4.0,4.0,1.0,0,
0.99,0.06,0.5,4.0,4.0,1.0,0,
0.5,0.06,0.51,4.0,4.0,1.0,0,
0.9,0.06,0.51,4.0,4.0,1.0,0,
0.99,0.06,0.51,4.0,4.0,1.0,0,
0.5,0.06,0.52,4.0,4.0,1.0,0,
0.9,0.06,0.52,4.0,4.0,1.0,0,
0.99,0.06,0.52,4.0,4.0,1.0,0,
0.5,0.06,0.53,4.0,4.0,1.0,0,
0.9,0.06,0.53,4.0,4.0,1.0,0,
0.99,0.06,0.53,4.0,4.0,1.0,0,
0.5,0.06,0.54,4.0,4.0,1.0,0,
0.9,0.06,0.54,4.0,4.0,1.0,0,
0.99,0.06,0.54,4.0,4.0,1.0,0,
0.5,0.06,0.55,4.0,4.0,1.0,0,
0.9,0.06,0.55,4.0,4.0,1.0,0,
0.99,0.06,0.55,4.0,4.0,1.0,0,
0.5,0.06,0.56,4.0,4.0,1.0,0,
0.9,0.06,0.56,4.0,4.0,1.0,0,
0.99,0.06,0.56,4.0,4.0,1.0,0,
0.5,0.06,0.57,4.0,4.0,1.0,0,
0.9,0.06,0.57,4.0,4.0,1.0,0,
0.99,0.06,0.57,4.0,4.0,1.0,0,
0.5,0.06,0.58,4.0,4.0,0.9990234374999996,0,
0.9,0.06,0.58,4.0,4.0,0.9990234374999996,0,
0.99,0.06,0.58,4.0,4.0,0.9990234374999996,0,
0.5,0.06,0.59,4.0,4.0,0.9980468750000001,0,
0.9,0.06,0.59,4.0,4.0,0.9980468750000001,0,
0.99,0.06,0.59,4.0,4.0,0.9980468750000001,0,
0.5,0.06,0.6,4.0,4.0,1.0,0,
0.9,0.06,0.6,4.0,4.0,1.0,0,
0.99,0.06,0.6,4.0,4.0,1.0,0,
0.5,0.06,0.61,4.0,4.0,1.0,0,
0.9,0.06,0.61,4.0,4.0,1.0,0,
0.99,0.06,0.61,4.0,4.0,1.0,0,
0.5,0.06,0.62,4.0,4.0,0.9990234374999996,0,
0.9,0.06,0.62,4.0,4.0,0.9990234374999996,0,
0.99,0.06,0.62,4.0,4.0,0.9990234374999996,0,
0.5,0.06,0.63,4.0,4.0,0.9990234374999996,0,
0.9,0.06,0.63,4.0,4.0,0.9990234374999996,0,
0.99,0.06,0.63,4.0,4.0,0.9990234374999996,0,
0.5,0.06,0.64,4.0,4.0,0.9970703124999998,0,
0.9,0.06,0.64,4.0,4.0,0.9970703124999998,0,
0.99,0.06,0.64,4.0,4.0,0.9970703124999998,0,
0.5,0.06,0.65,4.0,4.0,1.0,0,
0.9,0.06,0.65,4.0,4.0,1.0,0,
0.99,0.06,0.65,4.0,4.0,1.0,0,
0.5,0.06,0.66,4.0,4.0,0.9990234374999996,0,
0.9,0.06,0.66,4.0,4.0,0.9990234374999996,0,
0.99,0.06,0.66,4.0,4.0,0.9990234374999996,0,
0.5,0.06,0.67,4.0,4.0,0.9980468750000001,0,
0.9,0.06,0.67,4.0,4.0,0.9980468750000001,0,
0.99,0.06,0.67,4.0,4.0,0.9980468750000001,0,
0.5,0.06,0.68,4.0,4.0,0.9990234374999996,0,
0.9,0.06,0.68,4.0,4.0,0.9990234374999996,0,
0.99,0.06,0.68,4.0,4.0,0.9990234374999996,0,
