rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_units,delta_phi_energy_unit_mean,delta_phi_energy_unit_sem,phi_energy_raw_mean,phi_energy_raw_sem
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.15,30,-0.00400776035366562,6.543222686394727e-05,-0.008489978850698573,0.0001892861354426018
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.16,30,-0.004827694262449483,8.938220905265548e-05,-0.009309912759482421,0.00020575297367664367
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.17,30,-0.00573704854964487,0.00010387203836121064,-0.010219267046677813,0.00021425463999974584
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.18,30,-0.006647653628041053,0.00011840378191199915,-0.011129872125074,0.0002441445374815349
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.19,30,-0.007445666731307357,0.00012758270046034657,-0.011927885228340302,0.00024454238305996986
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.2,30,-0.008431855842108147,0.00013420872223855772,-0.012914074339141093,0.0002508146724491384
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.21,30,-0.008992122361936741,0.00016704561020624523,-0.01347434085896969,0.0002795923912339595
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.22,30,-0.01004839162188728,0.00014115298848166774,-0.014530610118920241,0.00025716557465655553
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.23,30,-0.010779869574457588,0.00017516428027020288,-0.015262088071490543,0.00028224495366948335
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.24,30,-0.011577496246710162,0.0001568119510370251,-0.0160597147437431,0.00027308372503418306
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.25,30,-0.0125856272164014,0.00016227263218724565,-0.017067845713434334,0.0002683844680061939
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.26,30,-0.013213433873642367,0.00019285662333920833,-0.017695652370675333,0.00028425333823079677
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.27,30,-0.013946581662078064,0.00022337313988105307,-0.018428800159111008,0.0003193837233312246
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.28,30,-0.014683953320947685,0.00019324359055035054,-0.019166171817980637,0.000294410279842141
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.29,30,-0.01566319581649157,0.00022638190034134296,-0.020145414313524516,0.0003141072749562135
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.3,30,-0.016400789955284222,0.0001869677579605705,-0.020883008452317164,0.00026099723046942
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.31,30,-0.017163568832568095,0.0002047127132883763,-0.021645787329601044,0.0003066286284946142
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.32,30,-0.017694326841062015,0.00020970694904723982,-0.022176545338094947,0.00030182862436829033
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.33,30,-0.018554872906956524,0.0001814387096661187,-0.023037091403989463,0.00023231219023265608
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.34,30,-0.019118026529740442,0.0002242251848060716,-0.023600245026773395,0.0002790301307306693
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.35,30,-0.019806274867028236,0.0003245072321725161,-0.02428849336406119,0.00039531814358457096
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.36,30,-0.02070000474704237,0.0001913849003535222,-0.025182223244075336,0.0002752224371139512
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.37,30,-0.02162087502483922,0.00022379864175307713,-0.02610309352187218,0.0003206035504585458
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.38,30,-0.022011683963655493,0.000254069465010753,-0.02649390246068846,0.00033419823226093603
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.39,30,-0.022538111753691473,0.0002585768895558513,-0.02702033025072443,0.00033492278116155214
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.4,30,-0.023330291706927832,0.0002177126047977937,-0.02781251020396078,0.0002984782556626103
