policy,cell_id,beta,dataset_tag,exact_count,selected_count,l2_mass_coverage_lambda1,mean_norm_sq,mean_theta_norm,mean_final_train_loss,mean_min_signed_margin,mean_pairwise_norm_distance
current_simple_selected10,cell_beta_0p10_p_0p00,0.1,dataset_005_seed_506234,35,10,0.05185072417045703,29501.509528545557,170.50132415469508,0.0027979641397872287,0.03239501656584503,1.4257764570334948
l2_top10_min_norm_exact,cell_beta_0p10_p_0p00,0.1,dataset_006_seed_606234,28,10,0.7443223060710912,12441.19326849521,111.23315424115253,0.010237606497685616,0.034943250878610485,1.4196474313588607
current_simple_selected10,cell_beta_0p10_p_0p00,0.1,dataset_006_seed_606234,28,10,0.10513081786034595,27139.373718122013,161.99742776856584,0.00257217829911299,0.05542761438328052,1.4199002586615002
l2_top10_min_norm_exact,cell_beta_0p10_p_0p00,0.1,dataset_007_seed_706234,31,10,0.7483042364519712,15209.253363088883,122.99768435180727,0.006477063136956282,0.056532127296442435,1.4219634928483105
current_simple_selected10,cell_beta_0p10_p_0p00,0.1,dataset_007_seed_706234,31,10,0.1310264621129281,25996.39479854613,160.2928903992748,0.0028072988984422413,0.037165046572497924,1.4228470297416553
l2_top10_min_norm_exact,cell_beta_0p10_p_0p00,0.1,dataset_008_seed_806234,29,10,0.7676825577439425,13115.440468144196,114.1084123497182,0.011649865001489745,0.035171853362133035,1.4216430800945843
current_simple_selected10,cell_beta_0p10_p_0p00,0.1,dataset_008_seed_806234,29,10,0.08393382692191778,27618.98504841549,164.4641683254683,0.0026376246023126944,0.043695479527738515,1.4360032326611591
l2_top10_min_norm_exact,cell_beta_0p10_p_0p00,0.1,dataset_009_seed_906234,28,10,0.8712799708251452,19706.56963183529,139.60237464269863,0.0038063187827092524,0.06090010755903854,1.4149125473262953
current_simple_selected10,cell_beta_0p10_p_0p00,0.1,dataset_009_seed_906234,28,10,0.1383331958220798,32076.12595115807,177.56374689545285,0.0024815461304900097,0.06916764535885267,1.422071956193924
l2_top10_min_norm_exact,cell_beta_0p14_p_0p00,0.14,dataset_000_seed_010234,37,10,0.6225378393398593,10637.309936553618,102.98988300017704,0.010366814025119558,0.015822488673385163,1.413267857416475
current_simple_selected10,cell_beta_0p14_p_0p00,0.14,dataset_000_seed_010234,37,10,0.04516687716142579,35477.67802360875,183.64087963451752,0.002860850459166258,0.06500887786033756,1.4316807127425901
