cell_id,beta,dataset_tag,lambda_ref,exact_count,ess_fraction,top1_mass,top10_mass
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,1.0,31,0.49507684063498286,0.10798723531643545,0.7348046281586318
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,2.0,31,0.31162396920928476,0.17896955147810245,0.8928452682966053
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,5.0,31,0.14892099403857784,0.36952253528236284,0.9928946994664767
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,10.0,31,0.07428359814268581,0.6303757213499503,0.9999306544573271
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,20.0,31,0.03841617206099429,0.9150684502780765,0.9999999954096676
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,40.0,31,0.03243926633286406,0.9972015519219053,0.9999999999999976
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,80.0,31,0.032258271209560166,0.9999967962644282,0.9999999999999859
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,160.0,31,0.03225806451648843,0.9999999999944293,1.0000000000000002
cell_beta_0p06_p_0p00,0.06,dataset_008_seed_802234,220.0,31,0.03225806451612903,1.0,1.0000000000000002
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,0.0,37,0.9999999999999998,0.02702702702702703,0.2702702702702703
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,0.1,37,0.9561775845059634,0.03787481441486426,0.3313461495959806
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,0.5,37,0.6021617624605384,0.10349413966945967,0.5521504467497802
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,1.0,37,0.2773019518073565,0.23864174475003594,0.7604880618971588
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,2.0,37,0.07324367222484376,0.5843156005117295,0.9557186122388399
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,5.0,37,0.028777158101108473,0.9688700327605293,0.9999415408782107
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,10.0,37,0.02705433334452072,0.9994951097173019,0.9999999992819113
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,20.0,37,0.02702703847901687,0.9999997881382339,1.0000000000000022
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,40.0,37,0.027027027027029332,0.9999999999999574,1.0000000000000018
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,80.0,37,0.02702702702702703,1.0,1.0
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,160.0,37,0.02702702702702703,1.0,1.0
cell_beta_0p06_p_0p00,0.06,dataset_009_seed_902234,220.0,37,0.02702702702702703,1.0,1.0
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,0.0,21,1.0,0.047619047619047616,0.47619047619047616
cell_beta_0p10_p_0p00,0.1,dataset_000_seed_006234,0.1,21,0.984236405700434,0.056999372216299374,0.5324513145614526
