"r","N","phi_emp","weighted_CE","weighted_err","reference_count","mean_ess_frac","q05_ess_frac","max_split_logZ_per_N_diff","fallback_unit_count","fallback_unit_fraction","min_smc_cess_fraction","max_smc_step_count"
"0.7","160","1.4851319149485689","7.7436249793143475","0.18406229195393284","100","0.4869770509523213","0.42177114660844717","0.000884711291960516","0","0.0","nan","nan"
"0.75","160","1.5426934713631157","7.879848016423308","0.1962906709209459","100","0.44566334995568035","0.3620540728421198","0.0009558863249606641","0","0.0","nan","nan"
"0.8","160","1.5943413958579136","8.012983281459672","0.2075439290558966","100","0.41168337350495493","0.3518704085115535","0.0006725701272692009","0","0.0","nan","nan"
"0.85","160","1.640430826778097","8.154312902925842","0.2204589421025356","100","0.37064000772715977","0.2984189409715356","0.0009583238771259772","0","0.0","nan","nan"
"0.9","160","1.681434815953741","8.285842664377823","0.23112599754360738","100","0.3497577529475744","0.27335800794258514","0.001313268839944648","3","0.03","0.8500000000004936","4.0"
"0.95","160","1.7176418031951912","8.424096726123032","0.24274741727694996","100","0.41434380135431687","0.26030085100452677","0.0011076500772574161","16","0.16","0.8500000000000391","4.0"
"1.0","160","1.7492341814583","8.58326446110927","0.2548910421531925","100","0.4822374667070087","0.2550010194443539","0.0011019553452995324","28","0.28","0.850000000000015","4.0"
"1.05","160","1.7765386019368266","8.735082327055265","0.26698965934455976","100","0.6813066250827541","0.2569628185439534","0.001719118192090674","57","0.57","0.8500000000000112","5.0"
"1.1","160","1.7996944069619758","8.88993337289153","0.2782067455429436","100","0.84275245289362","0.25768542955900275","0.0016318102486530873","79","0.79","0.8500000000000119","4.0"
"1.15","160","1.818927771389748","9.029630241003874","0.2886237480328328","100","0.9188230556349825","0.25891006222420304","0.0013086742959802944","89","0.89","0.8500000000000074","5.0"
"1.2","160","1.8342697484939234","9.19458196803332","0.29941583666663396","100","0.9702663159279274","0.9981299706382388","0.0013369146049071912","96","0.96","0.8500000000000005","5.0"
"1.25","160","1.8459214948744869","9.331504883123975","0.309209396610682","100","0.9844897544926288","0.9929182225377218","0.0018408315699652178","98","0.98","0.8500000000000096","5.0"
"1.3","160","1.853977913843317","9.476885255343046","0.31829943880399386","100","0.9977039612026494","0.988223798558461","0.0016208304533705587","100","1.0","0.8500000000000361","5.0"
"1.35","160","1.8584218674622304","9.647808989119323","0.3295963912445551","100","0.9932710482759388","0.9677269132495031","0.0021369365279674036","100","1.0","0.8500000000000247","5.0"
"1.4","160","1.8595224642282848","9.79297553464652","0.33790037650571036","100","0.9859689603834343","0.9384719452612101","0.0025046815565678672","100","1.0","0.8500000000000043","5.0"
"1.45","160","1.857255982658909","9.941190009738436","0.3459678027264883","100","0.9752992334153227","0.920411125501855","0.0029936017055009144","100","1.0","0.8500000000000164","6.0"
"1.5","160","1.8516494599741748","10.106324162894998","0.3556149904116738","100","0.9640997861269643","0.9035225497091197","0.0022663356467596428","100","1.0","0.8500000000000066","6.0"
"1.55","160","1.8427760462287475","10.274985302649213","0.3644547314511093","100","0.9616316303959528","0.9085754356056966","0.0025847447210021633","100","1.0","0.8500000000000005","6.0"
"1.6","160","1.8307805881926424","10.423075982086612","0.37235626190375604","100","0.9514719417718425","0.8896962323878613","0.0032015328340187386","100","1.0","0.8500000000000059","6.0"
