eta,radius,n_refs,phi_energy_raw_mean,phi_energy_raw_sem,d_phi_energy_raw_dd_mean,d_phi_energy_raw_dd_sem,d2_phi_energy_raw_dd2_mean,d2_phi_energy_raw_dd2_sem,positive_curvature_mean
0.05,0.03,30,-0.0007636605866739533,0.00010730381369990281,-0.017269374058016217,0.0014823330330153393,-1.1074961952287095,0.05593289529321441,0.0
0.05,0.04,30,-0.00099041731887713,0.0001231891638214569,-0.03081578630985228,0.0020102920941417004,-1.539522036152668,0.05190554639239309,0.0
0.05,0.05,30,-0.0013799763128709967,0.0001432622393441201,-0.04805981478106959,0.002381081466296868,-1.8389513959138726,0.04769171560431035,0.0
0.05,0.06,30,-0.0019516136144985233,0.0001651598328200064,-0.06759481422812973,0.002511620953108845,-1.9617537065676132,0.04338389070446587,0.0
0.05,0.07,30,-0.0027318725974335998,0.0001862638142218139,-0.08729488891242186,0.0025017585735775047,-1.9788003983854916,0.05651285613737643,0.0
0.05,0.08,30,-0.00369751139274696,0.00020767530384117397,-0.10717082219583955,0.0027404889225363365,-1.9209265675043905,0.12072086882273124,0.0
0.05,0.09,30,-0.004875289041350394,0.00022868388194596283,-0.12571342026250965,0.003685243268238178,-1.7837197336627713,0.15760141885982087,0.019182996349517516
0.05,0.1,30,-0.006211779797997157,0.0002598693081629796,-0.142845216869095,0.004537767208966473,-1.6251704877796065,0.21267001252741344,0.04301228481349616
0.05,0.11,30,-0.007732193378732307,0.00029172670354401495,-0.15821683001810177,0.004185615371241193,-1.1670636321038352,0.39618371080451004,0.3309269268099203
0.05,0.12,30,-0.009376116398359197,0.0002976045257622944,-0.16618648951117168,0.0058773152933409775,-1.1287314631195888,0.40489335264543785,0.4583377125494733
0.05,0.13,30,-0.011055923168955727,0.00033622971753779135,-0.1807914592804936,0.006698353954278563,-1.9756859074497939,0.5832843500353654,0.5228453385580155
0.05,0.14,30,-0.012991945583969067,0.0003506451022167935,-0.20570020766016758,0.008355982352018307,-1.4939707591070785,0.7740592133643488,1.0474124189052745
0.05,0.15,30,-0.01516992732215908,0.0004000219603488702,-0.2106708744626352,0.010182108820304521,-0.4750041488171675,0.9188761941609942,1.8346480101002902
0.05,0.16,30,-0.01720536307322177,0.00036814753888386525,-0.21520029063651094,0.012030054410711621,-0.30286583268514466,0.7779511398698071,1.6078624935247146
0.05,0.17,30,-0.0194739331348893,0.0004050586327854201,-0.2167281911163381,0.01034648540469569,-0.09371975054592223,1.0708726608178911,2.3592763860383257
0.05,0.18,30,-0.02153992689554853,0.0004592853204455408,-0.21707468564742938,0.01335353616729045,-0.3776329944586506,1.0328632467598884,2.222204359177504
0.05,0.19,30,-0.02381542684783789,0.0004664408079119427,-0.22428085100551112,0.013617030423698176,1.6580829696993378,1.3780827755541725,3.9021906264233013
0.05,0.2,30,-0.026025543915658752,0.000505014025003742,-0.18391302625344258,0.01840792578622252,0.8012139008770922,1.2551869702961482,3.038710023775285
0.05,0.21,30,-0.027493687372906733,0.0005367742876420425,-0.2082565729879691,0.017561949740281486,-4.045346458204287,1.6079443571787446,1.7612071382956063
0.05,0.22,30,-0.03019067537541814,0.0005999090440062828,-0.2648199554175284,0.01850597830860632,-0.8863110257146173,1.9974622006113985,3.728906063773407
0.05,0.23,30,-0.032790086481257315,0.00054281443239868,-0.22598279350226144,0.025166833041629266,1.2966972229501625,1.5239035569212391,4.154791653103403
0.05,0.24,30,-0.03471033124546337,0.0005268217842481726,-0.23888601095852502,0.0177124239981241,-0.2416214337078647,2.167071092947489,4.589752209473683
0.05,0.25,30,-0.037567806700427815,0.0005175756273342471,-0.2308152221764187,0.022846938076291852,1.138079923202647,1.760743875275646,4.341316549873019
0.05,0.26,30,-0.039326635688991765,0.0006647601298337591,-0.21612441249447206,0.022679864546931914,2.207743219160138,1.9930836783353758,5.43851625727409
0.05,0.27,30,-0.04189029495031726,0.0006221940407868522,-0.18666035779321588,0.02175452955746906,3.7060438904494153,2.018354930732155,6.381355950058611
0.05,0.28,30,-0.04305984284485607,0.0005898487164018479,-0.14200353468548368,0.026006937831685457,-0.960704369055527,2.0066379384381525,3.9392639291422
0.05,0.29,30,-0.04473036564402692,0.0005915501470125441,-0.2058744451743258,0.024748720395406827,-1.868354119691874,2.2707730621683706,4.083308913944478
0.05,0.3,30,-0.047177331748342585,0.00057569906754124,-0.17937061707932062,0.027561773053598235,0.49326648468138606,2.044322463785237,4.624668842607488
0.05,0.31,30,-0.04831777798561334,0.0006172775592696669,-0.19600911548069805,0.02490791788224083,-1.8989357510830713,2.0527074850726703,3.6318203715505555
0.05,0.32,30,-0.05109751405795655,0.0006748573534804405,-0.21734933210098203,0.0219962846563007,4.005270069719519,2.24402360065368,6.6342433712666535
