rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_refs,dphi_dr_mean,dphi_dr_sem,positive_curvature_mean,dphi_dr_smooth_mean,dphi_dr_smooth_sem,derivative_source
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.49,30,-0.056758411662104144,0.0009669128603372053,0.1593163567102787,-0.056758411662104144,0.0009669128603372053,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.5,30,-0.05542930862584739,0.001021379623430507,0.19602216435625017,-0.05542930862584739,0.001021379623430507,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.51,30,-0.05520658277323703,0.0012946142689687261,0.19253398479542702,-0.05520658277323703,0.0012946142689687261,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.52,30,-0.05385910717859321,0.0010830972961826182,0.21507500568516044,-0.05385910717859321,0.0010830972961826182,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.53,30,-0.05330119542140035,0.001048532287169041,0.2497317897026268,-0.05330119542140035,0.001048532287169041,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.54,30,-0.050486386729549845,0.0010120550941295323,0.19306447174317215,-0.050486386729549845,0.0010120550941295323,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.55,30,-0.052810354576226876,0.0011274586729261625,0.10283322210927325,-0.052810354576226876,0.0011274586729261625,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.56,30,-0.0514635535020737,0.0011462894713831595,0.19368621108936063,-0.051463553502073704,0.0011462894713831595,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.57,30,-0.05234684198015047,0.001084132651192847,0.2183632096079793,-0.05234684198015047,0.001084132651192847,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.58,30,-0.04983360653238225,0.0011121792137157558,0.24987219221827728,-0.04983360653238225,0.0011121792137157558,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.59,30,-0.04887076918946135,0.0009774958908867109,0.1572477892057164,-0.048870769189461365,0.0009774958908867109,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.6,30,-0.04957081157701196,0.0010784092230975324,0.21763584381560427,-0.04957081157701196,0.0010784092230975324,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.61,30,-0.04828135563248855,0.0012272744509661195,0.14193987309684292,-0.04828135563248855,0.0012272744509661195,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.62,30,-0.049613898196040625,0.0009137342016584562,0.1323575236735732,-0.04961389819604064,0.0009137342016584562,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.63,30,-0.048501141726450765,0.0009255800131618147,0.2799187185762269,-0.048501141726450765,0.0009255800131618147,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.64,30,-0.04523873642275371,0.000964343163831151,0.1540501379276187,-0.04523873642275371,0.000964343163831151,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.65,30,-0.04738074139666099,0.0009328758412392095,0.1307688600848504,-0.04738074139666099,0.0009328758412392095,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.66,30,-0.04674014700559361,0.001204229379064438,0.21866062417960194,-0.04674014700559362,0.001204229379064438,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.67,30,-0.04501058731231708,0.001198302226990582,0.23170948502086444,-0.04501058731231708,0.001198302226990582,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.68,30,-0.04579333997095006,0.001134721616830691,0.16233496627356117,-0.04579333997095007,0.001134721616830691,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.69,30,-0.04490298232537326,0.0008417794570623102,0.19955942067239246,-0.04490298232537326,0.0008417794570623102,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.7,30,-0.045088285294665534,0.0008408149522370703,0.19119545379538203,-0.04508828529466553,0.0008408149522370703,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.71,30,-0.04329075282183411,0.0009415195055310171,0.19898042070237335,-0.04329075282183411,0.0009415195055310171,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.3245703473792008,0.72,30,-0.0428098414145425,0.0008686156297454934,0.173174181605797,-0.04280984141454251,0.0008686156297454934,sampling_time_direct_radial_score_derivative
