beta,radius,ref_count,q05_ess_fraction,max_split_logZ_per_P_diff,mean_smc_mh_acceptance,min_smc_cess_fraction,mean_smc_step_count,mean_weighted_accuracy,mean_weighted_ce_l2_ratio
0.05,0.25,2700,0.7719342801559087,8.685164570220541e-05,0.9612030044367283,0.7500000000000021,1.3351851851851853,0.7053146219509477,1.019280419501837
0.05,0.26,2700,0.769091008267433,0.00010860379209877476,0.9597760657793212,0.7500000000000021,1.3788888888888888,0.6988576121819334,1.0604253861512136
0.05,0.27,2700,0.7682031147888144,0.0001019245580488725,0.9584106574487433,0.7500000000000261,1.4337037037037037,0.6927048943893307,1.100579809933473
0.05,0.28,2700,0.7660501234967154,0.00013486357303416367,0.9572043375220463,0.7500000000001367,1.4877777777777779,0.6869155146101482,1.1394997670284948
0.05,0.29,2700,0.7670498359899043,0.00012027640983105501,0.9558434434248235,0.7500000000000308,1.557037037037037,0.6812841424340863,1.1776580082410268
0.05,0.3,2700,0.766649050018318,0.00013589827731904082,0.9547196766148586,0.7500000000000048,1.615925925925926,0.6759971029026979,1.2149622080983906
0.05,0.31,2700,0.7663588311771594,0.000129403734577192,0.9533671306630284,0.7500000000000407,1.6848148148148148,0.670918495109274,1.251244646234083
0.05,0.32,2700,0.7650121225352512,0.00019222262330886706,0.952256973724096,0.7500000000000967,1.7414814814814814,0.6660605568347103,1.2866699889384152
0.05,0.33,2700,0.7672090485995324,0.00012349611489821522,0.951127363040124,0.7500000000000301,1.8025925925925925,0.6614568621881196,1.3211653386408642
0.05,0.34,2700,0.7703019592904934,0.000134341478442803,0.9498643912932648,0.7500000000000168,1.854074074074074,0.656959995770305,1.35529926252177
0.05,0.35,2700,0.7726198647993522,0.00014581251389590933,0.9488678350970029,0.7500000000000261,1.9055555555555554,0.652774377999693,1.3877438269860285
0.05,0.36,2700,0.7796249330267552,0.0001842679928715906,0.9477669994212965,0.7500000000000194,1.9455555555555555,0.6486670945140837,1.4201034142101363
0.05,0.37,2700,0.7833322442273982,0.00020445475544101665,0.9466976867352841,0.7500000000000061,1.9777777777777779,0.6447616030828438,1.4513974909867875
0.05,0.38,2700,0.7901256575295587,0.00017381980624785184,0.9455430962026012,0.7500000000000141,2.004814814814815,0.641068273576251,1.4818605909350153
0.05,0.39,2700,0.7934079038789766,0.00015319745276622188,0.9445828614142417,0.7500000000000061,2.0348148148148146,0.6374775957159563,1.5112748783094352
0.05,0.4,2700,0.808696783418491,0.00016526775717101287,0.9435002290702164,0.7500000000000194,2.0585185185185186,0.6340580737198169,1.5402326074627386
0.05,0.41,2700,0.8060637828789525,0.00023445091793375663,0.9425299978643072,0.7500000000000168,2.071851851851852,0.6307522824977447,1.5683512190062665
