rule,ref_id,radius,phi_energy_raw
very_low_tv_spectral_teacher,3,0.5,-0.0348688224577373
very_low_tv_spectral_teacher,3,0.55,-0.0386200527173413
very_low_tv_spectral_teacher,3,0.6,-0.0366522824363608
very_low_tv_spectral_teacher,3,0.65,-0.0415456852841873
very_low_tv_spectral_teacher,3,0.7,-0.0442807529762874
very_low_tv_spectral_teacher,3,0.75,-0.0473577221386207
very_low_tv_spectral_teacher,3,0.8,-0.045926784517191
very_low_tv_spectral_teacher,3,0.85,-0.0530527613099779
very_low_tv_spectral_teacher,3,0.9,-0.0549162928662355
very_low_tv_spectral_teacher,3,0.95,-0.0546254906202068
very_low_tv_spectral_teacher,3,1.0,-0.0530982617586968
very_low_tv_spectral_teacher,3,1.05,-0.0615856910364867
very_low_tv_spectral_teacher,3,1.1,-0.0642475777752628
very_low_tv_spectral_teacher,3,1.15,-0.0572594791412393
very_low_tv_spectral_teacher,3,1.2,-0.0607892292100649
very_low_tv_spectral_teacher,3,1.25,-0.0673419573627524
very_low_tv_spectral_teacher,3,1.3,-0.0678049811007168
very_low_tv_spectral_teacher,3,1.35,-0.0713865464317285
very_low_tv_spectral_teacher,3,1.4,-0.0698224639789381
very_low_tv_spectral_teacher,3,1.45,-0.0691642007693865
very_low_tv_spectral_teacher,3,1.5,-0.0726410779682691
very_low_tv_spectral_teacher,3,1.55,-0.0830326988809184
very_low_tv_spectral_teacher,3,1.6,-0.073429419566429
very_low_tv_spectral_teacher,3,1.65,-0.0765134720050321
very_low_tv_spectral_teacher,3,1.7,-0.0765927233804196
very_low_tv_spectral_teacher,3,1.75,-0.0755717099021197
very_low_tv_spectral_teacher,3,1.8,-0.0888525365996295
very_low_tv_spectral_teacher,3,1.85,-0.0835033841798177
very_low_tv_spectral_teacher,3,1.9,-0.0899678930077275
very_low_tv_spectral_teacher,3,1.95,-0.09044629304444
very_low_tv_spectral_teacher,3,2.0,-0.0914645262882738
very_low_tv_spectral_teacher,3,2.05,-0.0905540567301362
very_low_tv_spectral_teacher,3,2.1,-0.0983796360323421
very_low_tv_spectral_teacher,3,2.15,-0.0899794700375749
very_low_tv_spectral_teacher,3,2.2,-0.0903505001760793
very_low_tv_spectral_teacher,3,2.25,-0.0817911247468326
very_low_tv_spectral_teacher,3,2.3,-0.0988620930752762
very_low_tv_spectral_teacher,3,2.35,-0.0877267285045634
very_low_tv_spectral_teacher,3,2.4,-0.1030690183834276
very_low_tv_spectral_teacher,3,2.45,-0.0941119860682736
