beta,radius,finite_ref_count,mean_logZ_inf,mean_logZ_inf_full,sd_logZ_inf,sd_logZ_inf_full,mean_logZ_inf_per_P,mean_logZ_inf_full_per_P,mean_reference_prior_log_weight,mean_theta_ref_norm_sq,aggregate_ref_level_ess,q05_ess_fraction,max_split_logZ_per_P_diff,bootstrap_sd_phi,mean_weighted_error,mean_weighted_accuracy,mean_weighted_ce_l2_ratio,min_smc_cess_fraction,max_smc_step_count,mean_smc_step_count,mean_smc_mh_acceptance,claim
0.26,0.63,100,-1.2252947017989209,-1.6933303985259693,0.3347176039548108,0.4004514312193837,-0.0004814517492333677,-0.0006653557558058818,-0.4680356967270481,2382.3016963406753,88780.28093179804,0.7676763971112007,3.164559924478018e-05,1.3911322227958418e-05,0.16618574131448507,0.8338142586855151,1.364474351614468,0.7500000000016914,2.0,1.18,0.9603059895833335,pass
0.26,0.64,100,-1.25127511403014,-1.7193108107571882,0.33817956809166955,0.40512689704534105,-0.0004916601626837485,-0.0006755641692562626,-0.4680356967270481,2382.3016963406753,89557.60984464188,0.7722494064813181,3.251122676704833e-05,1.3980005680811117e-05,0.16849848380815177,0.8315015161918482,1.3747196389025544,0.7500000000000847,2.0,1.21,0.9593929036458333,pass
0.26,0.65,100,-1.2807284977516307,-1.7487641944786787,0.3408194235097835,0.40808548870288014,-0.0005032332014741182,-0.0006871372080466321,-0.4680356967270481,2382.3016963406753,89195.95631806325,0.7679720255348805,3.72763593365022e-05,1.3630260884665103e-05,0.17092416148798456,0.8290758385120154,1.3843258544312398,0.7500000000007189,2.0,1.23,0.9579508463541667,pass
0.26,0.66,100,-1.3065070439383908,-1.7745427406654393,0.3452223808518172,0.41102867559797135,-0.0005133622962429827,-0.0006972663028154967,-0.4680356967270481,2382.3016963406753,89614.32684747117,0.7762605743818319,3.8643634872436594e-05,1.28155316011166e-05,0.17316041875254296,0.8268395812474572,1.3946126029229193,0.7500000000005757,2.0,1.29,0.956484375,pass
0.26,0.67,100,-1.3386839543291662,-1.8067196510562147,0.3493887771151998,0.4142651662374558,-0.0005260054830370004,-0.0007099094896095146,-0.4680356967270481,2382.3016963406753,89912.5247885436,0.7693216739177032,3.2209555817808394e-05,1.3998633575623972e-05,0.17552323156616637,0.8244767684338337,1.4077604287761551,0.7500000000051134,2.0,1.3,0.9561409505208335,pass
0.26,0.68,100,-1.3639129898327758,-1.8319486865598236,0.3544487183281518,0.41902145515015904,-0.0005359186600521713,-0.0007198226666246851,-0.4680356967270481,2382.3016963406753,90050.7596544395,0.7690619733288427,3.7626748182624554e-05,1.4054426348950247e-05,0.17756064676460942,0.8224393532353906,1.4122132865336892,0.7500000000002033,2.0,1.32,0.9550016276041666,pass
0.26,0.69,100,-1.3944312910959682,-1.862466987823016,0.35658594741099503,0.42123297966050377,-0.0005479101340259207,-0.0007318141405984346,-0.4680356967270481,2382.3016963406753,90125.86647744381,0.7696847976972181,4.121806732260365e-05,1.4705203560071015e-05,0.17983872757631617,0.8201612724236838,1.4219202730330047,0.7500000000000774,2.0,1.36,0.9540804036458332,pass
0.26,0.7,100,-1.4223727950164988,-1.8904084917435475,0.36041228492445376,0.42562110780517426,-0.0005588891139554023,-0.0007427931205279165,-0.4680356967270481,2382.3016963406753,90437.22126537962,0.7617535895120322,4.0456750913926065e-05,1.388472850505254e-05,0.18219382137495646,0.8178061786250436,1.4330642222060865,0.7500000000005244,2.0,1.37,0.9544563802083332,pass
0.26,0.71,100,-1.455873472864555,-1.923909169591603,0.3703774770920421,0.43456616671894016,-0.0005720524451334204,-0.0007559564517059344,-0.4680356967270481,2382.3016963406753,91209.22280405206,0.7658078839417493,3.397613546525689e-05,1.4046488914836726e-05,0.18474756035385062,0.8152524396461491,1.4446972606547686,0.7500000000007122,2.0,1.42,0.9525732421874998,pass
0.26,0.72,100,-1.4806975690296857,-1.9487332657567338,0.36722862268125706,0.43100748990185717,-0.0005818065104242381,-0.000765710516996752,-0.4680356967270481,2382.3016963406753,90898.21784698642,0.767220052000755,3.416704737480734e-05,1.4687873304109697e-05,0.18669979438798592,0.813300205612014,1.448569999448828,0.7500000000009773,2.0,1.44,0.9519010416666666,pass
