run,cell_id,dataset_id,seed,beta,dataset_path,n_points,input_dim,label_mean,label_abs_mean,knn_k,knn_edge_count,knn_edge_agreement,knn_edge_disagreement,knn_label_autocorrelation,feature_label_linear_signal
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,25,2501234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_025_seed_2501234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2978.0,0.5298858294157153,0.47011417058428473,0.05977165883143049,0.05774955144826606
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,26,2601234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_026_seed_2601234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2961.0,0.519419115163796,0.480580884836204,0.03883823032759203,0.03165631166949554
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,27,2701234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_027_seed_2701234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2959.0,0.5238256167624198,0.4761743832375802,0.04765123352483947,0.13592147487288678
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,28,2801234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_028_seed_2801234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2969.0,0.5089255641630178,0.4910744358369822,0.017851128326035703,0.046905097443119985
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,29,2901234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_029_seed_2901234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2935.0,0.5362862010221465,0.4637137989778535,0.07257240204429302,0.02349250294999157
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,30,93001234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_030_seed_93001234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2952.0,0.5365853658536586,0.46341463414634143,0.07317073170731707,0.15436060032385035
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,31,93101234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_031_seed_93101234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2931.0,0.5151825315591948,0.4848174684408052,0.03036506311838963,0.03226061480669996
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,32,93201234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_032_seed_93201234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2956.0,0.5290933694181326,0.47090663058186744,0.058186738836265225,0.0960828787388771
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,33,93301234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_033_seed_93301234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2978.0,0.510073875083949,0.48992612491605103,0.020147750167897917,0.0063123410212105446
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,34,3401234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_034_seed_3401234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2971.0,0.5318074722315719,0.4681925277684281,0.06361494446314372,0.06304845450142406
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,35,3501234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_035_seed_3501234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2925.0,0.508034188034188,0.491965811965812,0.016068376068376067,0.08724904049801627
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,36,3601234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_036_seed_3601234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2976.0,0.5221774193548387,0.47782258064516125,0.04435483870967742,0.07518767572048717
spin_dynamics_90_dataset,cell_beta_0p05_p_0p00,37,3701234,0.05,02_dnn/01_dataset_gen/raw_outputs/18_beta_cell_90_dataset/raw_datasets/cell_beta_0p05_p_0p00/dataset_037_seed_3701234/dataset.npz,512.0,2.0,0.0,0.0,10.0,2965.0,0.5399662731871838,0.4600337268128162,0.07993254637436763,0.12596309181976223
