cell_id,series,dataset_id,seed,beta_ising,rewire_p,C,sigma_med,n_edges
cell_beta_0p07_p_0p00,beta,14,1403234,0.07,0.0,0.4512098176011253,0.11338480497648104,2134
cell_beta_0p07_p_0p00,beta,15,1503234,0.07,0.0,0.4255663919302578,0.11398573573020723,2157
cell_beta_0p07_p_0p00,beta,16,1603234,0.07,0.0,0.44933199952484515,0.11554180732751877,2145
cell_beta_0p07_p_0p00,beta,17,1703234,0.07,0.0,0.44552004446159904,0.11495392083891101,2164
cell_beta_0p07_p_0p00,beta,18,1803234,0.07,0.0,0.43765336498103685,0.1159065342907131,2181
cell_beta_0p07_p_0p00,beta,19,1903234,0.07,0.0,0.45966433156104414,0.1129652016052095,2168
cell_beta_0p07_p_0p00,beta,20,2003234,0.07,0.0,0.42557781635429187,0.11195442698188234,2149
cell_beta_0p07_p_0p00,beta,21,2103234,0.07,0.0,0.4100327055015216,0.11469654760809628,2187
cell_beta_0p07_p_0p00,beta,22,2203234,0.07,0.0,0.4640427870793328,0.11361595909392898,2182
cell_beta_0p07_p_0p00,beta,23,2303234,0.07,0.0,0.45068085163969085,0.1151484543916691,2164
cell_beta_0p07_p_0p00,beta,24,2403234,0.07,0.0,0.4378943613231211,0.11694566766627598,2168
cell_beta_0p07_p_0p00,beta,25,2503234,0.07,0.0,0.4432282317540944,0.11424936614449577,2154
cell_beta_0p07_p_0p00,beta,26,2603234,0.07,0.0,0.44346316922353074,0.11367725092220116,2158
cell_beta_0p07_p_0p00,beta,27,2703234,0.07,0.0,0.452089710964121,0.11313245378258667,2166
cell_beta_0p07_p_0p00,beta,28,2803234,0.07,0.0,0.46006505469132924,0.11375629495081964,2143
cell_beta_0p07_p_0p00,beta,29,2903234,0.07,0.0,0.45946769024535294,0.1147734327681414,2148
cell_beta_0p08_p_0p00,beta,0,4234,0.08,0.0,0.43023652932003165,0.11341528719827416,2177
cell_beta_0p08_p_0p00,beta,1,104234,0.08,0.0,0.42673371168449553,0.11221886291507296,2104
cell_beta_0p08_p_0p00,beta,2,204234,0.08,0.0,0.4260295668197653,0.11536545994430925,2168
cell_beta_0p08_p_0p00,beta,3,304234,0.08,0.0,0.4120167047401314,0.11212195194830521,2126
cell_beta_0p08_p_0p00,beta,4,404234,0.08,0.0,0.4416067413208221,0.11283849998234236,2161
cell_beta_0p08_p_0p00,beta,5,504234,0.08,0.0,0.45864129460135583,0.11518925999851207,2199
cell_beta_0p08_p_0p00,beta,6,604234,0.08,0.0,0.45389693019369615,0.11408208920628946,2194
cell_beta_0p08_p_0p00,beta,7,704234,0.08,0.0,0.4209061641011263,0.11583725333633442,2161
cell_beta_0p08_p_0p00,beta,8,804234,0.08,0.0,0.43183926379113413,0.11134992858450077,2147
cell_beta_0p08_p_0p00,beta,9,904234,0.08,0.0,0.45968589009085853,0.1136992201682351,2151
cell_beta_0p08_p_0p00,beta,10,1004234,0.08,0.0,0.46668671478896134,0.11462459895767284,2123
cell_beta_0p08_p_0p00,beta,11,1104234,0.08,0.0,0.4399144921523589,0.11348912397257035,2146
cell_beta_0p08_p_0p00,beta,12,1204234,0.08,0.0,0.420600692988115,0.1153510185805662,2172
cell_beta_0p08_p_0p00,beta,13,1304234,0.08,0.0,0.4478856064414746,0.11466669254135943,2203
cell_beta_0p08_p_0p00,beta,14,1404234,0.08,0.0,0.4313392434984946,0.11292476472328256,2151
cell_beta_0p08_p_0p00,beta,15,1504234,0.08,0.0,0.4673180116505593,0.11691562907541733,2164
cell_beta_0p08_p_0p00,beta,16,1604234,0.08,0.0,0.4281487164023782,0.11665878353616808,2165
cell_beta_0p08_p_0p00,beta,17,1704234,0.08,0.0,0.431939243841944,0.11430154234235103,2178
cell_beta_0p08_p_0p00,beta,18,1804234,0.08,0.0,0.453278052543001,0.11591132795888467,2149
cell_beta_0p08_p_0p00,beta,19,1904234,0.08,0.0,0.4203937992656033,0.11635255231334785,2162
cell_beta_0p08_p_0p00,beta,20,2004234,0.08,0.0,0.46477255808611284,0.11506120165824746,2161
cell_beta_0p08_p_0p00,beta,21,2104234,0.08,0.0,0.4614182583666055,0.11729567400160966,2195
cell_beta_0p08_p_0p00,beta,22,2204234,0.08,0.0,0.4252817132355081,0.11514111505324326,2147
cell_beta_0p08_p_0p00,beta,23,2304234,0.08,0.0,0.42528693500312686,0.1138395449914749,2145
cell_beta_0p08_p_0p00,beta,24,2404234,0.08,0.0,0.4338700372731658,0.11240895018016206,2136
cell_beta_0p08_p_0p00,beta,25,2504234,0.08,0.0,0.40387971529477323,0.11339007211151886,2137
cell_beta_0p08_p_0p00,beta,26,2604234,0.08,0.0,0.44029406633350127,0.1125021299215586,2140
cell_beta_0p08_p_0p00,beta,27,2704234,0.08,0.0,0.459788550362119,0.11946420538620164,2194
cell_beta_0p08_p_0p00,beta,28,2804234,0.08,0.0,0.42764611199507596,0.11557720850363014,2176
cell_beta_0p08_p_0p00,beta,29,2904234,0.08,0.0,0.4573643291710705,0.11706605066088438,2147
cell_beta_0p09_p_0p00,beta,0,5234,0.09,0.0,0.4406592638273664,0.11350975548025687,2159
cell_beta_0p09_p_0p00,beta,1,105234,0.09,0.0,0.3987810526838365,0.11132106744877676,2151
cell_beta_0p09_p_0p00,beta,2,205234,0.09,0.0,0.43176707056851965,0.11436909581414961,2195
cell_beta_0p09_p_0p00,beta,3,305234,0.09,0.0,0.40136494716534904,0.1111268883685835,2148
cell_beta_0p09_p_0p00,beta,4,405234,0.09,0.0,0.42016912853573085,0.11775736695583346,2157
cell_beta_0p09_p_0p00,beta,5,505234,0.09,0.0,0.4009826711389872,0.11643606232094222,2173
cell_beta_0p09_p_0p00,beta,6,605234,0.09,0.0,0.43355705184446036,0.1145132507396365,2177
cell_beta_0p09_p_0p00,beta,7,705234,0.09,0.0,0.405670637811427,0.1137155064452819,2181
cell_beta_0p09_p_0p00,beta,8,805234,0.09,0.0,0.41191777694598,0.11478742203543468,2155
cell_beta_0p09_p_0p00,beta,9,905234,0.09,0.0,0.3846739133222396,0.11100007423099531,2093
cell_beta_0p09_p_0p00,beta,10,1005234,0.09,0.0,0.40592922882029164,0.11800802221165822,2192
cell_beta_0p09_p_0p00,beta,11,1105234,0.09,0.0,0.41681398658354274,0.1135532935983142,2142
cell_beta_0p09_p_0p00,beta,12,1205234,0.09,0.0,0.43136675787710405,0.11473672947807628,2140
cell_beta_0p09_p_0p00,beta,13,1305234,0.09,0.0,0.409549509293075,0.11633373862760069,2161
cell_beta_0p09_p_0p00,beta,14,1405234,0.09,0.0,0.390818331085317,0.11444291229006398,2157
cell_beta_0p09_p_0p00,beta,15,1505234,0.09,0.0,0.3931537086053323,0.11539756927471738,2170
cell_beta_0p09_p_0p00,beta,16,1605234,0.09,0.0,0.4335803533715329,0.1168671115057777,2192
cell_beta_0p09_p_0p00,beta,17,1705234,0.09,0.0,0.42038079497128833,0.11541028695168885,2174
cell_beta_0p09_p_0p00,beta,18,1805234,0.09,0.0,0.4495784928484462,0.1141703256811942,2144
cell_beta_0p09_p_0p00,beta,19,1905234,0.09,0.0,0.4063520528472611,0.11460792533454131,2160
cell_beta_0p09_p_0p00,beta,20,2005234,0.09,0.0,0.41923106109300057,0.11669661371164763,2182
cell_beta_0p09_p_0p00,beta,21,2105234,0.09,0.0,0.43597851289133993,0.11425141064980744,2138
cell_beta_0p09_p_0p00,beta,22,2205234,0.09,0.0,0.42520597079422695,0.11500624079248356,2136
cell_beta_0p09_p_0p00,beta,23,2305234,0.09,0.0,0.42193525315132363,0.11382811989333744,2162
cell_beta_0p09_p_0p00,beta,24,2405234,0.09,0.0,0.4189244919103442,0.114709517979533,2157
cell_beta_0p09_p_0p00,beta,25,2505234,0.09,0.0,0.41536535106661693,0.11380430727502239,2172
cell_beta_0p09_p_0p00,beta,26,2605234,0.09,0.0,0.41264169934283057,0.11433730574041759,2162
cell_beta_0p09_p_0p00,beta,27,2705234,0.09,0.0,0.4114123599187455,0.11250123832616349,2170
cell_beta_0p09_p_0p00,beta,28,2805234,0.09,0.0,0.43069389149122317,0.11480014558400378,2137
cell_beta_0p09_p_0p00,beta,29,2905234,0.09,0.0,0.4571371441575964,0.11469172175895223,2178
cell_beta_0p10_p_0p00,beta,0,6234,0.1,0.0,0.36593825539652297,0.11236829216354671,2190
cell_beta_0p10_p_0p00,beta,1,106234,0.1,0.0,0.39331568440192927,0.1173684665806422,2192
