rule_id,rule_name,rule_label,rule_order,nmstv_mean,radius,n_units,d_delta_phi_energy_direct_dd_unit_mean,d_delta_phi_energy_direct_dd_unit_sem,d_phi_energy_direct_dd_unit_mean,d_phi_energy_direct_dd_unit_sem,derivative_source
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.52,30,-0.05385910717859321,0.0010830972961826182,-0.05385910717859321,0.0010830972961826182,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.53,30,-0.05330119542140035,0.001048532287169041,-0.05330119542140035,0.001048532287169041,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.54,30,-0.050486386729549845,0.0010120550941295323,-0.050486386729549845,0.0010120550941295323,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.55,30,-0.052810354576226876,0.0011274586729261625,-0.052810354576226876,0.0011274586729261625,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.56,30,-0.051463553502073704,0.0011462894713831595,-0.051463553502073704,0.0011462894713831595,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.57,30,-0.05234684198015047,0.001084132651192847,-0.05234684198015047,0.001084132651192847,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.58,30,-0.04983360653238225,0.0011121792137157558,-0.04983360653238225,0.0011121792137157558,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.59,30,-0.048870769189461365,0.0009774958908867109,-0.048870769189461365,0.0009774958908867109,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.6,30,-0.04957081157701196,0.0010784092230975324,-0.04957081157701196,0.0010784092230975324,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.61,30,-0.04828135563248855,0.0012272744509661195,-0.04828135563248855,0.0012272744509661195,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.62,30,-0.04961389819604064,0.0009137342016584562,-0.04961389819604064,0.0009137342016584562,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.63,30,-0.048501141726450765,0.0009255800131618147,-0.048501141726450765,0.0009255800131618147,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.64,30,-0.04523873642275371,0.000964343163831151,-0.04523873642275371,0.000964343163831151,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.65,30,-0.04738074139666099,0.0009328758412392095,-0.04738074139666099,0.0009328758412392095,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.66,30,-0.04674014700559362,0.001204229379064438,-0.04674014700559362,0.001204229379064438,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.67,30,-0.04501058731231708,0.001198302226990582,-0.04501058731231708,0.001198302226990582,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.68,30,-0.04579333997095007,0.001134721616830691,-0.04579333997095007,0.001134721616830691,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.69,30,-0.04490298232537326,0.0008417794570623102,-0.04490298232537326,0.0008417794570623102,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.7,30,-0.04508828529466553,0.0008408149522370703,-0.04508828529466553,0.0008408149522370703,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.71,30,-0.04329075282183411,0.0009415195055310171,-0.04329075282183411,0.0009415195055310171,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.72,30,-0.04280984141454251,0.0008686156297454934,-0.04280984141454251,0.0008686156297454934,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.73,30,-0.04185500526102619,0.0008007401095731882,-0.04185500526102619,0.0008007401095731882,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.74,30,-0.043781804815608914,0.0009712406364271889,-0.043781804815608914,0.0009712406364271889,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.75,30,-0.042360408350626315,0.0010026733512047909,-0.042360408350626315,0.0010026733512047909,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.76,30,-0.04487395414753133,0.000995768973952652,-0.04487395414753133,0.000995768973952652,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.77,30,-0.04157373684008199,0.0008950684016834575,-0.04157373684008199,0.0008950684016834575,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.78,30,-0.041635282325871194,0.0009653815089679621,-0.041635282325871194,0.0009653815089679621,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.79,30,-0.040461455855542394,0.0010959771668357218,-0.040461455855542394,0.0010959771668357218,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.8,30,-0.040855942256093944,0.000927653250584916,-0.040855942256093944,0.000927653250584916,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.81,30,-0.03969372970088884,0.001013375040337355,-0.03969372970088884,0.001013375040337355,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.82,30,-0.038370167872586604,0.0011058095770971282,-0.038370167872586604,0.0011058095770971282,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.83,30,-0.03946070519315833,0.0008838541379854694,-0.03946070519315833,0.0008838541379854694,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.84,30,-0.03982463172817804,0.0011373928586332353,-0.03982463172817804,0.0011373928586332353,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.85,30,-0.03788643239969414,0.0008837243345097613,-0.03788643239969414,0.0008837243345097613,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.86,30,-0.03744201479534355,0.0009232417791724763,-0.03744201479534355,0.0009232417791724763,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.87,30,-0.03836539338115162,0.0010235192826540088,-0.03836539338115162,0.0010235192826540088,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.88,30,-0.037769925218217024,0.0010968072592715031,-0.037769925218217024,0.0010968072592715031,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.89,30,-0.039362199900581915,0.0009479684899458538,-0.039362199900581915,0.0009479684899458538,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.9,30,-0.037221364636081826,0.0007745884047226772,-0.037221364636081826,0.0007745884047226772,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.91,30,-0.03658394848841121,0.0009390318248270273,-0.03658394848841121,0.0009390318248270273,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.92,30,-0.037634612381859056,0.0011652732511807835,-0.037634612381859056,0.0011652732511807835,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.93,30,-0.036871593845147745,0.0006930955058535661,-0.036871593845147745,0.0006930955058535661,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.94,30,-0.03728495884247254,0.0010176499512575196,-0.03728495884247254,0.0010176499512575196,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.95,30,-0.03677711695682519,0.0007493372099467561,-0.03677711695682519,0.0007493372099467561,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.96,30,-0.03727532870489661,0.0007308092192831238,-0.03727532870489661,0.0007308092192831238,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.97,30,-0.03669420206822546,0.000885897227941255,-0.03669420206822546,0.000885897227941255,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.98,30,-0.03432959709994292,0.0012180208371841627,-0.03432959709994292,0.0012180208371841627,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,0.99,30,-0.03485915142152402,0.000799483489645673,-0.03485915142152402,0.000799483489645673,sampling_time_direct_radial_score_derivative
rule_001,very_low_tv_spectral_teacher,very low tv,1,0.09765625,1.0,30,-0.033444667186609926,0.0010889262078849413,-0.033444667186609926,0.0010889262078849413,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.01,30,-0.0015651575594850735,0.00025935231370226134,-0.0015651575594850735,0.00025935231370226134,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.02,30,-0.003628801774332473,0.0005461529184375464,-0.003628801774332473,0.0005461529184375464,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.03,30,-0.00708180746982093,0.0008900481763504663,-0.00708180746982093,0.0008900481763504663,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.04,30,-0.012891231214583743,0.0012678308774915507,-0.012891231214583743,0.0012678308774915507,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.05,30,-0.021394196328807725,0.0016794335789414268,-0.021394196328807725,0.0016794335789414268,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.06,30,-0.03182844054416113,0.0020084390748470893,-0.03182844054416113,0.0020084390748470893,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.07,30,-0.042748738761963466,0.0022583211504802604,-0.042748738761963466,0.0022583211504802604,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.08,30,-0.05450780923310471,0.0024007751735583937,-0.05450780923310471,0.0024007751735583937,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.09,30,-0.06460123358820176,0.0022248709389193345,-0.06460123358820176,0.0022248709389193345,sampling_time_direct_radial_score_derivative
rule_002,real_even_odd,even odd,2,0.1328125,0.1,30,-0.0750116576655019,0.0024371350256160106,-0.0750116576655019,0.0024371350256160106,sampling_time_direct_radial_score_derivative
