source,case_id,case_label,eta,nmstv,radius,n_refs,dphi_dr_smooth_mean,dphi_dr_smooth_sem,derivative_source
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.95,30,-0.0365392960063434,0.0014090234771332,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.96,30,-0.0371872496771834,0.0013064175982335,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.97,30,-0.0331931239919916,0.0011248623418794,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.98,30,-0.0362278967658229,0.0014879522844645,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,0.99,30,-0.0355100606447367,0.0013369753219519,sampling_time_direct_radial_score_derivative
flip,eta_0.05,flip eta=0.05,0.05,0.19401041666666666,1.0,30,-0.0341480112899243,0.0012401997298202,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.01,30,-0.010552277293296,0.0009040325955424,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.02,30,-0.0268814864813509,0.0017886122764765,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.03,30,-0.0540719328870102,0.0026116985091734,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.04,30,-0.0906966046994914,0.0033157170846099,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.05,30,-0.1313531234320607,0.0037297230579981,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.06,30,-0.170252056434391,0.004219939198675,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.07,30,-0.2082522817867422,0.0043427709391571,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.08,30,-0.2402355567841587,0.0053483254740907,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.09,30,-0.2769892832275999,0.005804683257113,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.1,30,-0.3091924907627735,0.0056788613106392,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.11,30,-0.3312023619107832,0.0053614925349898,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.12,30,-0.3482334149250834,0.0044762943002595,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.13,30,-0.3743523845954726,0.005740747952741,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.14,30,-0.3853132476212408,0.0057623674694846,sampling_time_direct_radial_score_derivative
flip,eta_0.15,flip eta=0.15,0.15,0.32421875,0.15,30,-0.3894824806503166,0.0056234147677196,sampling_time_direct_radial_score_derivative
