eta,ref_id,n_radii,d_min,d_max,positive_curvature_mass,min_curvature,min_curvature_radius,max_curvature,max_curvature_radius
0.3,71,19,0.1,1.0,0.5234755957265456,-0.9858612957179316,0.1,2.2725916631142487,0.35
0.3,72,19,0.1,1.0,0.6885677384324368,-1.152427663860645,1.0,3.4407723652226125,0.25
0.3,73,19,0.1,1.0,0.6706962255205043,-2.1279185804912877,0.1,2.64725957425851,0.25
0.3,74,19,0.1,1.0,0.6859336606561217,-0.7878292428234412,0.9,3.4158421118707434,0.25
0.3,75,19,0.1,1.0,0.6759637503585065,-3.5805481958777383,0.1,4.051513388872775,0.3
0.3,76,19,0.1,1.0,0.7566634266625544,-1.0453028057357283,0.5,3.9131370564534986,0.25
0.3,77,19,0.1,1.0,0.6241120021476187,-0.6172151796810652,0.45,4.405762274220162,0.35
0.3,78,19,0.1,1.0,0.6639638690818961,-1.1127720760246187,0.7,1.9142864307371958,0.3
0.3,79,19,0.1,1.0,0.6515699444309729,-1.4506520268205016,0.1,3.2132862442491215,0.25
0.3,80,19,0.1,1.0,0.8726691666522943,-2.146663134876616,1.0,4.798628530744475,0.35
0.3,81,19,0.1,1.0,0.7378726223443489,-1.8163703706063155,0.1,5.032247303256026,0.25
0.3,82,19,0.1,1.0,0.6321954221947692,-1.3778377925682612,0.15,3.7930534029238965,0.25
0.3,83,19,0.1,1.0,0.6098971866339011,-1.2338990347221843,0.7,3.0855423688488246,0.35
0.3,84,19,0.1,1.0,0.5694213506240244,-0.3478571919315966,0.8,2.3894509720178325,0.25
0.3,85,19,0.1,1.0,0.5922545613511594,-2.464522832373233,0.1,2.5329315020881733,0.25
0.3,86,19,0.1,1.0,0.6620593707718607,-0.35615827483139945,0.8,2.731650853747152,0.35
0.3,87,19,0.1,1.0,0.7101573022503294,-1.1145772157275022,0.45,2.7684244681948234,0.3
0.3,88,19,0.1,1.0,0.6404151615804632,-0.9182990544701292,0.75,2.9067192123726713,0.25
0.3,89,19,0.1,1.0,0.5495811775697722,-0.4139308288358824,0.1,2.2463835740133957,0.3
0.35,0,19,0.1,1.0,0.7580867646127343,-1.9904414573612543,1.0,4.3784747270785225,0.25
0.35,1,19,0.1,1.0,0.8292753206121212,-1.0705508484756918,0.4,4.6453866518156115,0.3
0.35,2,19,0.1,1.0,0.7173182033732352,-1.5259271987836218,0.9,3.70166062881212,0.3
0.35,3,19,0.1,1.0,0.7703904798235157,-0.9792981987577769,0.6,4.38724500424494,0.3
0.35,4,19,0.1,1.0,0.8287806682242521,-1.8333048493642021,0.55,4.24238504639946,0.3
0.35,5,19,0.1,1.0,0.7293083115454385,-0.9084079285456984,0.55,4.125293735505619,0.3
0.35,6,19,0.1,1.0,0.7602870339155574,-0.8945256300859692,1.0,5.649230942989421,0.25
0.35,7,19,0.1,1.0,0.7190961999136234,-1.5551125569328543,0.1,4.154695711786228,0.35
0.35,8,19,0.1,1.0,0.784084891590552,-1.9911565246394343,0.15,3.933754978937691,0.35
0.35,9,19,0.1,1.0,0.7175431293530097,-0.8098814075889262,0.75,2.8979379471232094,0.25
0.35,10,19,0.1,1.0,0.7816989314730378,-1.7113580870316318,0.1,3.5042305547135872,0.25
0.35,11,19,0.1,1.0,0.763468396085279,-1.1862255902584142,0.1,4.542360434149531,0.3
0.35,12,19,0.1,1.0,0.6245432078457266,-0.507057663523713,0.5,3.2150465785343934,0.4
0.35,13,19,0.1,1.0,0.8133489869795246,-1.4776314956917411,0.5,3.366003113849648,0.4
0.35,14,19,0.1,1.0,0.6238762281924926,-1.098145612363013,1.0,3.4113331030500276,0.25
0.35,15,19,0.1,1.0,0.7769487634730179,-1.612794017442364,0.2,5.63478548727003,0.3
0.35,16,19,0.1,1.0,0.809094047494384,-0.7289483762806312,0.85,2.7256162589705313,0.25
0.35,17,19,0.1,1.0,0.810574349793218,-0.9850024240419303,0.85,3.0790067051417065,0.25
0.35,18,19,0.1,1.0,0.7168639142159858,-1.4518707608412371,0.6,2.48705027825636,0.35
0.35,19,19,0.1,1.0,0.6493653649552057,-1.3639157694834017,0.1,2.694007730229131,0.25
0.35,20,19,0.1,1.0,0.6864633973247517,-1.6088067713038425,1.0,4.285772501920567,0.25
0.35,21,19,0.1,1.0,0.6911451667042658,-2.2243215799840517,0.1,3.8172493479264293,0.25
0.35,22,19,0.1,1.0,0.712201421436342,-2.0099689024098915,0.1,3.6122485552649697,0.3
0.35,23,19,0.1,1.0,0.7296862740487148,-2.236835241332818,1.0,3.3737254635534444,0.25
0.35,24,19,0.1,1.0,0.6499152603634174,-1.0438034917920673,0.6,2.755551621808732,0.3
0.35,25,19,0.1,1.0,0.8531340798670632,-1.2511089695393993,0.5,5.078420365725063,0.25
0.35,26,19,0.1,1.0,0.8541456699025547,-2.0079930641924726,0.85,4.309417843588126,0.3
0.35,27,19,0.1,1.0,0.6591187187215456,-2.0169130315816512,0.1,2.6100224462542614,0.35
0.35,28,19,0.1,1.0,0.7500798849748381,-1.0875701268042453,0.8,3.9600027260208313,0.25
0.35,29,19,0.1,1.0,0.769510101979136,-1.515852590268279,0.65,3.904884651707518,0.25
0.35,30,19,0.1,1.0,0.8170146225811092,-2.2633662256269576,0.1,4.049614352777185,0.3
0.35,31,19,0.1,1.0,0.6405936454194721,-2.122431789898656,1.0,4.297413305201672,0.3
0.35,32,19,0.1,1.0,0.7701630883475862,-1.4748528084817187,0.65,4.199766446581082,0.3
0.35,33,19,0.1,1.0,0.6808781538854206,-0.6169555658357715,0.75,4.223634933214702,0.35
0.35,34,19,0.1,1.0,0.8779077876202042,-0.7849708499949448,0.65,3.5385224678073444,0.25
0.35,35,19,0.1,1.0,0.7377372334957841,-1.0758459623176944,0.1,4.391908518597621,0.25
0.35,36,19,0.1,1.0,0.6421766783933562,-2.3338009567024747,0.1,3.195973031911056,0.25
0.35,37,19,0.1,1.0,0.7991809840731252,-1.8037708129510026,0.1,3.9276840020006913,0.25
0.35,38,19,0.1,1.0,0.8490484975578775,-2.6905683503293636,0.1,3.8525143630491785,0.25
0.35,39,19,0.1,1.0,0.6635794808537845,-2.189065498032228,0.1,3.324001746919989,0.3
0.35,40,19,0.1,1.0,0.6569982616659802,-1.4035129470813528,1.0,3.485554458082068,0.25
0.35,41,19,0.1,1.0,0.69060258313643,-1.8386424394551746,1.0,4.536808513223521,0.3
0.35,42,19,0.1,1.0,0.8324692097590908,-5.548250071698618,0.1,3.939756968645887,0.25
0.35,43,19,0.1,1.0,0.7584613679616337,-1.5620109405954885,0.75,2.5022302996083314,0.25
0.35,44,19,0.1,1.0,0.7994749750083641,-0.7811400055267733,0.9,3.825825772136802,0.3
0.35,45,19,0.1,1.0,0.91398724633608,-1.047111082426469,0.75,3.450150884108968,0.3
0.35,46,19,0.1,1.0,0.6723852805638351,-2.6049220632531926,0.1,3.6448941749343913,0.35
0.35,47,19,0.1,1.0,0.7378986820913818,-2.318783693707212,1.0,3.2579685226242154,0.3
0.35,48,19,0.1,1.0,0.7501821240781268,-2.31621408319542,1.0,3.199754914306078,0.25
0.35,49,19,0.1,1.0,0.7198790698626467,-1.200362933857482,0.1,2.513412613430029,0.25
0.35,50,19,0.1,1.0,0.7325694990974629,-1.6196386573924006,1.0,3.757325095567869,0.3
0.35,51,19,0.1,1.0,0.5894752340277394,-0.7461106271368172,1.0,2.856032842304697,0.25
0.35,52,19,0.1,1.0,0.8891420145496569,-2.1168648194181623,0.6,4.5883670374335805,0.3
0.35,53,19,0.1,1.0,0.7788301282901826,-3.324714534392582,0.1,3.7362803073584248,0.3
