rule,radius,n_units,target_ref_count,sampling_status,qc_diagnostic_pass,d_phi_energy_raw_dd,d2_phi_energy_raw_dd2,d_delta_phi_energy_dd,d2_delta_phi_energy_dd2,d_delta_phi_full_dd,d2_delta_phi_full_dd2
real_even_odd,0.58,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.59,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.6,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.61,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.62,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.63,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.64,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.65,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.66,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.67,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.68,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.69,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.7,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.71,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.72,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.73,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.74,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.75,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.76,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.77,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.78,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.79,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.8,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.81,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.82,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.83,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.84,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.85,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.86,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.87,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.88,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.89,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.9,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.91,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.92,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.93,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.94,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.95,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.96,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.97,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.98,0,30,partial_missing_units,False,,,,,,
real_even_odd,0.99,0,30,partial_missing_units,False,,,,,,
real_even_odd,1.0,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.01,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.02,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.03,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.04,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.05,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.06,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.07,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.08,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.09,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.1,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.11,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.12,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.13,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.14,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.15,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.16,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.17,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.18,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.19,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.2,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.21,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.22,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.23,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.24,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.25,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.26,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.27,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.28,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.29,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.3,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.31,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.32,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.33,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.34,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.35,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.36,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.37,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.38,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.39,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.4,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.41,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.42,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.43,0,30,partial_missing_units,False,,,,,,
teacher_nn,0.44,0,30,partial_missing_units,False,,,,,,
