eta,ref_id,n_radii,d_min,d_max,positive_curvature_mass,min_curvature,min_curvature_radius,max_curvature,max_curvature_radius
0.05,27,100,0.01,1.0,5.904128769411531,-44.94191401947117,0.64,38.319208744357,0.43
0.05,28,100,0.01,1.0,5.07175006397901,-52.76285475942073,0.76,49.57134843135877,0.74
0.05,29,100,0.01,1.0,5.083260619022392,-29.53821928481569,0.81,33.41209279331997,0.71
0.15,0,100,0.01,1.0,5.453405081294323,-53.20638689945696,0.58,42.271697783826255,0.56
0.15,1,100,0.01,1.0,7.067798864136218,-58.078481463501674,0.64,62.788473033069266,0.37
0.15,2,100,0.01,1.0,5.850817832158593,-72.24727016528544,1.0,32.08927275553418,0.28
0.15,3,100,0.01,1.0,5.449019266559273,-36.35652696697035,0.73,33.76040970118145,0.45
0.15,4,100,0.01,1.0,6.38818814813242,-114.78628770786493,1.0,34.02059406730943,0.61
0.15,5,100,0.01,1.0,6.294334261400645,-43.33229891365691,0.48,40.76980330429104,0.25
0.15,6,100,0.01,1.0,6.342631364376338,-39.94764249355956,1.0,41.46554760449993,0.78
0.15,7,100,0.01,1.0,6.101167104552518,-48.93404465762781,0.37,37.269056929599216,0.54
0.15,8,100,0.01,1.0,4.586362322666033,-32.918810258060844,0.19,30.73154528664992,0.9
0.15,9,100,0.01,1.0,7.308087190068184,-44.26283857568048,0.9,38.89357160296024,0.71
0.15,10,100,0.01,1.0,5.091601455783449,-30.03186738365448,0.32,48.99549260247454,0.29
0.15,11,100,0.01,1.0,6.015564220621174,-48.015621436426954,0.54,40.65791712620777,0.89
0.15,12,100,0.01,1.0,5.566122586029905,-65.86259475578836,1.0,28.243172836467927,0.77
0.15,13,100,0.01,1.0,5.985067256092801,-33.89120947626063,0.56,33.11620228342275,0.37
0.15,14,100,0.01,1.0,4.94959368406512,-36.55119516003808,0.57,30.75053591278089,0.49
0.15,15,100,0.01,1.0,5.84229984508561,-38.54924450422549,0.39,35.42385937422147,0.32
0.15,16,100,0.01,1.0,5.676322812865516,-36.191550785376364,0.25,49.27253519002526,0.27
0.15,17,100,0.01,1.0,5.387963168748425,-47.01315813572307,1.0,35.26222413990864,0.43
0.15,18,100,0.01,1.0,7.484223856303991,-66.84861742391271,0.62,55.99096585063789,0.6
0.15,19,100,0.01,1.0,5.373839633382037,-37.170743011957676,0.49,39.753529208106386,0.51
0.15,20,100,0.01,1.0,5.0355072034389465,-26.374486784158563,0.93,33.22345216655354,0.78
0.15,21,100,0.01,1.0,5.926016307601121,-42.99169452681451,0.45,47.55067085847631,0.31
