beta,radius,ref_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,claim
0.18,0.05,100,-0.6927965326645301,7.82914393993676e-05,-0.6927965326645301,7.82914393993676e-05,0.0,-0.6928748241039295,pass
0.18,0.06,100,-0.5105594276505359,6.547877802215625e-05,-0.5105594276505359,6.547877802215623e-05,1.3552527156068805e-20,-0.5106249064285581,pass
0.18,0.07,100,-0.3564838016016762,5.099501134342813e-05,-0.3564838016016762,5.099501134342813e-05,0.0,-0.3565347966130196,pass
0.18,0.08,100,-0.2230209599851671,3.491213402731576e-05,-0.2230209599851671,3.491213402731576e-05,0.0,-0.22305587211919442,pass
0.18,0.09,100,-0.10530140336396787,1.771327002440512e-05,-0.10530140336396787,1.7713270024405123e-05,-3.3881317890172014e-21,-0.10531911663399228,pass
0.18,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.22,0.01,100,-2.3016251549137032,5.518951728039258e-05,-2.3016251549137032,5.518951728039258e-05,0.0,-2.3016803444309835,pass
0.22,0.02,100,-1.608751965302869,5.3555024184761464e-05,-1.608751965302869,5.3555024184761464e-05,0.0,-1.6088055203270537,pass
0.22,0.03,100,-1.2034492162376764,5.051429481118066e-05,-1.2034492162376764,5.051429481118066e-05,0.0,-1.2034997305324877,pass
0.22,0.04,100,-0.9158846321910719,4.60640320520414e-05,-0.9158846321910719,4.60640320520414e-05,0.0,-0.915930696223124,pass
0.22,0.05,100,-0.6928344629685678,4.0361135361819235e-05,-0.6928344629685678,4.0361135361819215e-05,2.0328790734103208e-20,-0.6928748241039295,pass
0.22,0.06,100,-0.5105911780077454,3.372842081267277e-05,-0.5105911780077454,3.372842081267277e-05,0.0,-0.5106249064285581,pass
0.22,0.07,100,-0.3565086858162528,2.611079676685031e-05,-0.3565086858162528,2.6110796766850308e-05,3.3881317890172014e-21,-0.3565347966130196,pass
0.22,0.08,100,-0.22303798800897445,1.7884110219960004e-05,-0.22303798800897445,1.788411021996e-05,3.3881317890172014e-21,-0.22305587211919442,pass
0.22,0.09,100,-0.10530998622458625,9.130409406027777e-06,-0.10530998622458625,9.130409406027772e-06,5.082197683525802e-21,-0.10531911663399228,pass
0.22,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,pass
0.26,0.01,100,-2.3016515860317845,2.8758399198785822e-05,-2.3016515860317845,2.875839919878583e-05,-6.776263578034403e-21,-2.3016803444309835,pass
0.26,0.02,100,-1.6087776036275372,2.791669951645715e-05,-1.6087776036275372,2.791669951645715e-05,0.0,-1.6088055203270537,pass
0.26,0.03,100,-1.2034733691460466,2.6361386441158445e-05,-1.2034733691460466,2.6361386441158445e-05,0.0,-1.2034997305324877,pass
0.26,0.04,100,-0.9159065645728297,2.413165029429099e-05,-0.9159065645728297,2.413165029429099e-05,0.0,-0.915930696223124,pass
0.26,0.05,100,-0.6928535593418338,2.1264762095719093e-05,-0.6928535593418338,2.1264762095719093e-05,0.0,-0.6928748241039295,pass
