beta,radius,ref_count,dataset_count,delta_phi_full,delta_phi_energy,delta_phi_stripped_proxy,delta_phi_energy_stripped,delta_phi_reference_prior_correction,area_term,delta_phi_full_std,delta_phi_full_unit_sem,delta_phi_full_dataset_mean_std,delta_phi_full_sem,delta_phi_full_ci95_half_width,delta_phi_full_ci95_low,delta_phi_full_ci95_high,delta_phi_energy_std,delta_phi_energy_unit_sem,delta_phi_energy_dataset_mean_std,delta_phi_energy_sem,delta_phi_energy_ci95_half_width,delta_phi_energy_ci95_low,delta_phi_energy_ci95_high,delta_phi_stripped_proxy_std,delta_phi_stripped_proxy_unit_sem,delta_phi_stripped_proxy_dataset_mean_std,delta_phi_stripped_proxy_sem,delta_phi_stripped_proxy_ci95_half_width,delta_phi_stripped_proxy_ci95_low,delta_phi_stripped_proxy_ci95_high,delta_phi_energy_stripped_std,delta_phi_energy_stripped_unit_sem,delta_phi_energy_stripped_dataset_mean_std,delta_phi_energy_stripped_sem,delta_phi_energy_stripped_ci95_half_width,delta_phi_energy_stripped_ci95_low,delta_phi_energy_stripped_ci95_high,uncertainty_method,claim
0.05,0.11,900,30,0.09516688805540906,-0.00010584177649747281,0.09516688805540906,-0.00010584177649747281,0.0,0.09527272983190653,2.8097258143534928e-05,9.365752714511643e-07,9.174465231067641e-06,1.6750205200341976e-06,3.425416963469934e-06,0.09516346263844559,0.09517031347237252,2.8097258143534884e-05,9.365752714511628e-07,9.174465231064033e-06,1.6750205200335389e-06,3.4254169634685868e-06,-0.0001092671934609414,-0.00010241635953400423,2.8097258143534884e-05,9.365752714511628e-07,9.174465231067641e-06,1.6750205200341976e-06,3.425416963469934e-06,0.09516346263844559,0.09517031347237252,2.809725814353487e-05,9.365752714511624e-07,9.17446523106403e-06,1.6750205200335382e-06,3.4254169634685855e-06,-0.0001092671934609414,-0.00010241635953400423,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.12,900,30,0.1820380271342842,-0.00021189054108728187,0.1820380271342842,-0.0002118905410872818,-5.421010862427522e-20,0.1822499176753715,5.576260962506634e-05,1.8587536541688782e-06,1.7853189679312347e-05,3.2595315702592648e-06,6.6657420611801965e-06,0.18203136139222303,0.1820446928763454,5.5762609625066e-05,1.8587536541688667e-06,1.7853189679308332e-05,3.259531570258532e-06,6.665742061178698e-06,-0.00021855628314846056,-0.00020522479902610317,5.576260962506623e-05,1.8587536541688741e-06,1.7853189679312347e-05,3.2595315702592648e-06,6.6657420611801965e-06,0.18203136139222303,0.1820446928763454,5.576260962506599e-05,1.8587536541688663e-06,1.785318967930832e-05,3.25953157025853e-06,6.665742061178694e-06,-0.0002185562831484605,-0.00020522479902610312,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.13,900,30,0.26194258959208633,-0.0003185847911346099,0.26194258959208633,-0.0003185847911346098,-5.421010862427522e-20,0.26226117438322094,8.314019821976891e-05,2.7713399406589638e-06,2.680072110814809e-05,4.89311983611252e-06,1.0006430064850103e-05,0.2619325831620215,0.26195259602215115,8.31401982197698e-05,2.7713399406589934e-06,2.6800721108149343e-05,4.8931198361127496e-06,1.0006430064850572e-05,-0.0003285912211994604,-0.0003085783610697593,8.314019821976899e-05,2.7713399406589663e-06,2.680072110814809e-05,4.89311983611252e-06,1.0006430064850103e-05,0.2619325831620215,0.26195259602215115,8.314019821976979e-05,2.771339940658993e-06,2.6800721108149333e-05,4.893119836112747e-06,1.0006430064850567e-05,-0.00032859122119946037,-0.00030857836106975927,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.14,900,30,0.3359151533630362,-0.00042487412787378486,0.3359151533630362,-0.00042487412787378486,0.0,0.33634002749090997,0.00010972799254130595,3.6575997513768653e-06,3.5434441373251336e-05,6.469414284241364e-06,1.3229952211273589e-05,0.3359019234108249,0.33592838331524744,0.00010972799254130617,3.6575997513768725e-06,3.543444137325703e-05,6.469414284242403e-06,1.3229952211275713e-05,-0.0004381040800850606,-0.00041164417566250913,0.0001097279925413059,3.657599751376863e-06,3.5434441373251336e-05,6.469414284241364e-06,1.3229952211273589e-05,0.3359019234108249,0.33592838331524744,0.00010972799254130616,3.657599751376872e-06,3.5434441373257035e-05,6.469414284242405e-06,1.3229952211275717e-05,-0.0004381040800850606,-0.00041164417566250913,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.15,900,30,0.4047744433396195,-0.000531346454946217,0.4047744433396195,-0.000531346454946217,0.0,0.4053057897945657,0.00013704684943643635,4.5682283145478784e-06,4.415703254962721e-05,8.061934266640227e-06,1.6486655575279265e-05,0.4047579566840442,0.4047909299951948,0.00013704684943643698,4.5682283145479e-06,4.415703254962503e-05,8.061934266639829e-06,1.6486655575278448e-05,-0.0005478331105214954,-0.0005148597993709386,0.0001370468494364363,4.568228314547877e-06,4.415703254962721e-05,8.061934266640227e-06,1.6486655575279265e-05,0.4047579566840442,0.4047909299951948,0.00013704684943643698,4.5682283145479e-06,4.415703254962501e-05,8.061934266639825e-06,1.648665557527844e-05,-0.0005478331105214954,-0.0005148597993709386,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.16,900,30,0.46918292934657246,-0.0006360226381626948,0.46918292934657246,-0.0006360226381626946,-1.0842021724855044e-19,0.46981895198473517,0.00016319070383704476,5.439690127901492e-06,5.241477913934661e-05,9.569585627090452e-06,1.9569802607399973e-05,0.46916335954396504,0.4692024991491799,0.00016319070383704476,5.439690127901492e-06,5.241477913935415e-05,9.569585627091828e-06,1.956980260740279e-05,-0.0006555924407700976,-0.0006164528355552919,0.00016319070383704438,5.4396901279014794e-06,5.241477913934661e-05,9.569585627090452e-06,1.9569802607399973e-05,0.46916335954396504,0.4692024991491799,0.00016319070383704473,5.439690127901491e-06,5.2414779139354166e-05,9.569585627091831e-06,1.9569802607402796e-05,-0.0006555924407700975,-0.0006164528355552918,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.17,900,30,0.5296786510721804,-0.0007411016595137311,0.5296786510721804,-0.0007411016595137311,0.0,0.5304197527316941,0.0001904637141082868,6.348790470276227e-06,6.1034233655247676e-05,1.114327551767338e-05,2.2787998433642062e-05,0.5296558630737467,0.5297014390706141,0.00019046371410828619,6.348790470276206e-06,6.103423365527011e-05,1.1143275517677476e-05,2.2787998433650437e-05,-0.0007638896579473816,-0.0007183136610800807,0.00019046371410828694,6.3487904702762315e-06,6.1034233655247676e-05,1.114327551767338e-05,2.2787998433642062e-05,0.5296558630737467,0.5297014390706141,0.00019046371410828616,6.348790470276205e-06,6.103423365527013e-05,1.114327551767748e-05,2.2787998433650444e-05,-0.0007638896579473816,-0.0007183136610800807,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.18,900,30,0.5867114326648057,-0.0008442748051316301,0.5867114326648057,-0.0008442748051316301,0.0,0.5875557074699373,0.000215642398058198,7.188079935273267e-06,6.899756477578819e-05,1.2597174213541023e-05,2.576122126669139e-05,0.586685671443539,0.5867371938860725,0.00021564239805819724,7.188079935273241e-06,6.89975647757746e-05,1.2597174213538542e-05,2.576122126668632e-05,-0.0008700360263983164,-0.0008185135838649438,0.000215642398058198,7.188079935273267e-06,6.899756477578819e-05,1.2597174213541023e-05,2.576122126669139e-05,0.586685671443539,0.5867371938860725,0.00021564239805819724,7.188079935273241e-06,6.899756477577461e-05,1.2597174213538545e-05,2.5761221266686325e-05,-0.0008700360263983164,-0.0008185135838649438,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.19,900,30,0.640655032931839,-0.0009466513206451022,0.640655032931839,-0.000946651320645102,-2.168404344971009e-19,0.6416016842524841,0.00024165469244086577,8.055156414695525e-06,7.680496991419353e-05,1.4022604850169808e-05,2.8676226918597256e-05,0.6406263567049204,0.6406837091587576,0.00024165469244086558,8.05515641469552e-06,7.680496991418272e-05,1.4022604850167833e-05,2.8676226918593217e-05,-0.0009753275475636955,-0.000917975093726509,0.0002416546924408658,8.055156414695527e-06,7.680496991419353e-05,1.4022604850169808e-05,2.8676226918597256e-05,0.6406263567049204,0.6406837091587576,0.00024165469244086555,8.055156414695518e-06,7.68049699141827e-05,1.4022604850167831e-05,2.8676226918593214e-05,-0.0009753275475636952,-0.0009179750937265088,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.2,900,30,0.6918273502105737,-0.001047473893355774,0.6918273502105737,-0.001047473893355774,0.0,0.6928748241039295,0.0002668033020688973,8.893443402296577e-06,8.49944813894152e-05,1.5517798240145245e-05,3.1733897401097026e-05,0.6917956163131727,0.6918590841079748,0.0002668033020688967,8.893443402296558e-06,8.499448138939556e-05,1.551779824014166e-05,3.1733897401089694e-05,-0.0010792077907568638,-0.0010157399959546843,0.0002668033020688976,8.893443402296587e-06,8.49944813894152e-05,1.5517798240145245e-05,3.1733897401097026e-05,0.6917956163131727,0.6918590841079748,0.0002668033020688967,8.893443402296558e-06,8.499448138939554e-05,1.5517798240141657e-05,3.173389740108969e-05,-0.0010792077907568638,-0.0010157399959546843,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.21,900,30,0.7404992296193288,-0.0011465876661467262,0.7404992296193288,-0.0011465876661467262,0.0,0.7416458172854755,0.00029212066555530015,9.737355518510005e-06,9.316306606802878e-05,1.7009170937267826e-05,3.4783754566712704e-05,0.7404644458647621,0.7405340133738955,0.0002921206655553,9.73735551851e-06,9.316306606802468e-05,1.700917093726708e-05,3.478375456671118e-05,-0.0011813714207134375,-0.001111803911580015,0.0002921206655553,9.73735551851e-06,9.316306606802878e-05,1.7009170937267826e-05,3.4783754566712704e-05,0.7404644458647621,0.7405340133738955,0.0002921206655553,9.73735551851e-06,9.316306606802471e-05,1.7009170937267084e-05,3.4783754566711186e-05,-0.0011813714207134375,-0.001111803911580015,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.22,900,30,0.7869019324157004,-0.001245621520135758,0.7869019324157004,-0.001245621520135758,0.0,0.7881475539358361,0.00031713321495958874,1.0571107165319625e-05,0.00010131751040844226,1.8497961973656094e-05,3.782833223612671e-05,0.7868641040834643,0.7869397607479365,0.00031713321495958967,1.0571107165319656e-05,0.00010131751040840486,1.8497961973649267e-05,3.782833223611275e-05,-0.0012834498523718707,-0.0012077931878996453,0.0003171332149595887,1.0571107165319624e-05,0.00010131751040844226,1.8497961973656094e-05,3.782833223612671e-05,0.7868641040834643,0.7869397607479365,0.00031713321495958967,1.0571107165319656e-05,0.00010131751040840486,1.8497961973649267e-05,3.782833223611275e-05,-0.0012834498523718707,-0.0012077931878996453,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.23,900,30,0.8312407841006442,-0.0013410660946030163,0.8312407841006442,-0.0013410660946030163,0.0,0.8325818501952472,0.00034034591325464957,1.1344863775154986e-05,0.0001084851231546308,1.980658303517243e-05,4.050446230692762e-05,0.8312002796383372,0.8312812885629511,0.00034034591325464984,1.1344863775154994e-05,0.00010848512315463287,1.980658303517281e-05,4.050446230692839e-05,-0.0013815705569099447,-0.0013005616322960879,0.0003403459132546496,1.1344863775154988e-05,0.0001084851231546308,1.980658303517243e-05,4.050446230692762e-05,0.8312002796383372,0.8312812885629511,0.00034034591325464984,1.1344863775154994e-05,0.00010848512315463286,1.9806583035172807e-05,4.0504462306928386e-05,-0.0013815705569099447,-0.0013005616322960879,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.24,900,30,0.8736881750557869,-0.0014365667235141384,0.8736881750557869,-0.0014365667235141384,0.0,0.875124741779301,0.00036481275376067383,1.2160425125355794e-05,0.00011591906999178641,2.1163829826507203e-05,4.328003199520723e-05,0.8736448950237917,0.873731455087782,0.00036481275376067297,1.2160425125355765e-05,0.00011591906999173063,2.1163829826497018e-05,4.32800319951864e-05,-0.0014798467555093247,-0.001393286691518952,0.00036481275376067383,1.2160425125355794e-05,0.00011591906999178641,2.1163829826507203e-05,4.328003199520723e-05,0.8736448950237917,0.873731455087782,0.00036481275376067297,1.2160425125355765e-05,0.00011591906999173063,2.1163829826497018e-05,4.32800319951864e-05,-0.0014798467555093247,-0.001393286691518952,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.25,900,30,0.9144007691325379,-0.0015299270905860534,0.9144007691325379,-0.0015299270905860536,2.168404344971009e-19,0.915930696223124,0.0003873852338811196,1.2912841129370654e-05,0.0001233046354390755,2.2512243424977523e-05,4.6037537804079035e-05,0.9143547315947338,0.914446806670342,0.00038738523388112087,1.2912841129370696e-05,0.00012330463543906573,2.251224342497574e-05,4.603753780407539e-05,-0.0015759646283901288,-0.001483889552781978,0.00038738523388111946,1.2912841129370649e-05,0.0001233046354390755,2.2512243424977523e-05,4.6037537804079035e-05,0.9143547315947338,0.914446806670342,0.00038738523388112087,1.2912841129370696e-05,0.00012330463543906576,2.2512243424975744e-05,4.6037537804075396e-05,-0.001575964628390129,-0.0014838895527819781,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.26,900,30,0.9535135038056975,-0.0016224946814529632,0.9535135038056975,-0.0016224946814529632,0.0,0.9551359984871505,0.0004116128735026468,1.3720429116754894e-05,0.00013108256225710627,2.3932292081264137e-05,4.894153730618516e-05,0.9534645622683914,0.9535624453430037,0.00041161287350264646,1.3720429116754882e-05,0.0001310825622571138,2.3932292081265513e-05,4.894153730618797e-05,-0.001671436218759151,-0.0015735531441467753,0.00041161287350264663,1.3720429116754887e-05,0.00013108256225710627,2.3932292081264137e-05,4.894153730618516e-05,0.9534645622683914,0.9535624453430037,0.00041161287350264646,1.3720429116754882e-05,0.00013108256225711373,2.3932292081265496e-05,4.8941537306187936e-05,-0.001671436218759151,-0.0015735531441467753,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.27,900,30,0.9911486909759302,-0.0017128062885731685,0.9911486909759302,-0.0017128062885731685,0.0,0.9928614972645033,0.00043487938508915674,1.4495979502971892e-05,0.0001386404738244557,2.5312171632286306e-05,5.176339098802549e-05,0.9910969275849422,0.9912004543669182,0.00043487938508915804,1.4495979502971934e-05,0.00013864047382447335,2.5312171632289528e-05,5.1763390988032084e-05,-0.0017645696795612006,-0.0016610428975851364,0.00043487938508915685,1.4495979502971895e-05,0.0001386404738244557,2.5312171632286306e-05,5.176339098802549e-05,0.9910969275849422,0.9912004543669182,0.00043487938508915804,1.4495979502971934e-05,0.00013864047382447335,2.5312171632289528e-05,5.1763390988032084e-05,-0.0017645696795612006,-0.0016610428975851364,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.28,900,30,1.0274128676401595,-0.0018019839546800191,1.0274128676401595,-0.0018019839546800191,0.0,1.0292148515948396,0.00045678344206243136,1.5226114735414379e-05,0.0001453186158047585,2.6531427967230994e-05,5.425677019298738e-05,1.0273586108699666,1.0274671244103524,0.00045678344206243206,1.5226114735414403e-05,0.00014531861580473998,2.6531427967227612e-05,5.425677019298047e-05,-0.0018562407248729996,-0.0017477271844870386,0.00045678344206243136,1.5226114735414379e-05,0.0001453186158047585,2.6531427967230994e-05,5.425677019298738e-05,1.0273586108699666,1.0274671244103524,0.00045678344206243206,1.5226114735414403e-05,0.00014531861580474007,2.6531427967227626e-05,5.4256770192980495e-05,-0.0018562407248729996,-0.0017477271844870386,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.29,900,30,1.0624021239554289,-0.0018902591128372463,1.0624021239554289,-0.0018902591128372463,0.0,1.0642923830682662,0.0004793605368928548,1.597868456309516e-05,0.00015259471590407946,2.7859856018918884e-05,5.6973405558689115e-05,1.0623451505498702,1.0624590973609875,0.0004793605368928551,1.597868456309517e-05,0.0001525947159040936,2.7859856018921466e-05,5.697340555869439e-05,-0.0019472325183959407,-0.001833285707278552,0.000479360536892855,1.5978684563095167e-05,0.00015259471590407946,2.7859856018918884e-05,5.6973405558689115e-05,1.0623451505498702,1.0624590973609875,0.0004793605368928551,1.597868456309517e-05,0.00015259471590409356,2.7859856018921456e-05,5.697340555869437e-05,-0.0019472325183959407,-0.001833285707278552,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.3,900,30,1.09620402911459,-0.001976584783905242,1.09620402911459,-0.001976584783905242,0.0,1.0981806138984953,0.0005018274593108791,1.6727581977029303e-05,0.0001595562405684932,2.9130850716694877e-05,5.957258971564102e-05,1.0961444565248744,1.0962636017043057,0.0005018274593108822,1.6727581977029408e-05,0.00015955624056850843,2.913085071669766e-05,5.957258971564671e-05,-0.002036157373620889,-0.0019170121941895952,0.0005018274593108791,1.6727581977029303e-05,0.0001595562405684932,2.9130850716694877e-05,5.957258971564102e-05,1.0961444565248744,1.0962636017043057,0.0005018274593108822,1.6727581977029408e-05,0.0001595562405685084,2.9130850716697656e-05,5.95725897156467e-05,-0.002036157373620889,-0.0019170121941895952,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.31,900,30,1.1288965311017958,-0.0020610216028639754,1.1288965311017958,-0.0020610216028639754,0.0,1.1309575527046598,0.0005225185869336813,1.741728623112271e-05,0.00016653493358824312,3.0404979912968503e-05,6.217818392202058e-05,1.1288343529178737,1.1289587092857178,0.0005225185869336807,1.741728623112269e-05,0.0001665349335882113,3.0404979912962692e-05,6.21781839220087e-05,-0.002123199786785984,-0.0019988434189419668,0.0005225185869336814,1.7417286231122713e-05,0.00016653493358824312,3.0404979912968503e-05,6.217818392202058e-05,1.1288343529178737,1.1289587092857178,0.0005225185869336807,1.741728623112269e-05,0.00016653493358821132,3.04049799129627e-05,6.217818392200871e-05,-0.002123199786785984,-0.0019988434189419668,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.32,900,30,1.1605493542959173,-0.0021444217927474806,1.1605493542959173,-0.0021444217927474806,0.0,1.1626937760886649,0.0005426859482259586,1.8089531607531954e-05,0.00017289780347653667,3.156667570239809e-05,6.455385181140409e-05,1.160484800444106,1.1606139081477287,0.0005426859482259576,1.808953160753192e-05,0.00017289780347650634,3.156667570239255e-05,6.455385181139277e-05,-0.0022089756445588735,-0.0020798679409360877,0.0005426859482259586,1.8089531607531954e-05,0.00017289780347653667,3.156667570239809e-05,6.455385181140409e-05,1.160484800444106,1.1606139081477287,0.0005426859482259576,1.808953160753192e-05,0.00017289780347650634,3.156667570239255e-05,6.455385181139277e-05,-0.0022089756445588735,-0.0020798679409360877,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.33,900,30,1.1912267934713336,-0.0022265502590682737,1.1912267934713336,-0.0022265502590682737,0.0,1.193453343730402,0.0005642695762988253,1.880898587662751e-05,0.00018023524701856608,3.290630348319479e-05,6.729339062313335e-05,1.1911595000807105,1.1912940868619568,0.0005642695762988279,1.88089858766276e-05,0.00018023524701861067,3.290630348320294e-05,6.729339062315e-05,-0.0022938436496914238,-0.0021592568684451236,0.0005642695762988254,1.8808985876627514e-05,0.00018023524701856608,3.290630348319479e-05,6.729339062313335e-05,1.1911595000807105,1.1912940868619568,0.0005642695762988279,1.88089858766276e-05,0.0001802352470186107,3.290630348320294e-05,6.729339062315e-05,-0.0022938436496914238,-0.0021592568684451236,std_over_ref_units_sem_ci95_over_dataset_means,pass
