beta,radius,ref_count,dataset_count,dphi_full_dr,dphi_energy_dr,dphi_entropic_dr,mean_dlogZ_inf_full_dr,sd_dlogZ_inf_full_dr,dphi_full_dr_std,dphi_full_dr_unit_sem,dphi_full_dr_dataset_mean_std,dphi_full_dr_sem,dphi_full_dr_ci95_half_width,dphi_full_dr_ci95_low,dphi_full_dr_ci95_high,dphi_energy_dr_std,dphi_energy_dr_unit_sem,dphi_energy_dr_dataset_mean_std,dphi_energy_dr_sem,dphi_energy_dr_ci95_half_width,dphi_energy_dr_ci95_low,dphi_energy_dr_ci95_high,uncertainty_method,claim
0.05,0.19,900,30,5.250943516512782,-0.010146339758544209,5.261089856271327,-25.82243468549501,6.5068206666398805,0.002556707531096225,8.522358436987417e-05,0.0008114095408044412,0.000148142436291167,0.0003029512822154365,5.250640565230567,5.2512464677949975,0.00255670753109622,8.5223584369874e-05,0.0008114095408045337,0.00014814243629118388,0.000302951282215471,-0.01044929104075968,-0.009843388476328738,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.2,900,30,4.988016737968562,-0.01001862548919844,4.998035363457761,-25.49740187001003,6.430726612274043,0.00252680809912534,8.422693663751134e-05,0.0008004252064931276,0.00014613698039733886,0.00029885012491255797,4.987717887843649,4.988315588093474,0.0025268080991253604,8.422693663751202e-05,0.0008004252064931222,0.00014613698039733786,0.0002988501249125559,-0.010317475614110996,-0.009719775364285884,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.21,900,30,4.750162751497335,-0.009870927986247509,4.760033679483582,-25.12151172499991,6.342429811813272,0.0024921138749757483,8.307046249919162e-05,0.0007903491578336928,0.00014429735401690815,0.0002950880889645771,4.74986766340837,4.7504578395863,0.002492113874975745,8.30704624991915e-05,0.0007903491578337051,0.00014429735401691037,0.0002950880889645817,-0.01016601607521209,-0.009575839897282928,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.22,900,30,4.533933732002866,-0.0097347802314629,4.543668512234328,-24.77501568907308,6.266630181386595,0.002462330130210832,8.207767100702774e-05,0.0007832817737513266,0.0001430070321220865,0.0002924493806896669,4.533641282622176,4.534226181383556,0.002462330130210843,8.207767100702809e-05,0.000783281773751487,0.00014300703212211577,0.0002924493806897267,-0.010027229612152626,-0.009442330850773173,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.23,900,30,4.3365347746258935,-0.009582932728679735,4.346117707354574,-24.388563794489926,6.1580434190749465,0.0024196634259626496,8.065544753208831e-05,0.0007689272741790624,0.0001403862710496107,0.00028708992429645386,4.336247684701597,4.33682186455019,0.002419663425962651,8.065544753208837e-05,0.000768927274179151,0.00014038627104962688,0.000287089924296487,-0.009870022652976223,-0.009295842804383248,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.24,900,30,4.155591737460224,-0.009437732087910374,4.165029469548134,-24.019028163731903,6.062260076909583,0.0023820275351314857,7.94009178377162e-05,0.0007575084737327492,0.0001383014928549121,0.0002828265528882952,4.155308910907335,4.1558745640131125,0.0023820275351314666,7.940091783771556e-05,0.0007575084737327356,0.00013830149285490962,0.0002828265528882902,-0.009720558640798665,-0.009154905535022084,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.25,900,30,3.989142609674289,-0.00928568109191898,3.998428290766208,-23.632058378933806,5.973619535066784,0.0023471982456058113,7.823994152019371e-05,0.0007520029972181938,0.00013729633496263312,0.00028077100499858474,3.9888618386692904,3.9894233806792876,0.002347198245605809,7.823994152019363e-05,0.0007520029972182565,0.00013729633496264458,0.00028077100499860816,-0.009566452096917588,-0.009004910086920372,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.26,900,30,3.835498446114336,-0.009144141160864067,3.8446425872752,-23.27183925439905,5.903012824471909,0.0023194549408533925,7.731516469511308e-05,0.0007392454738198763,0.00013496714051491364,0.0002760078023529984,3.835222438311983,3.835774453916689,0.002319454940853403,7.731516469511342e-05,0.0007392454738199638,0.00013496714051492963,0.00027600780235303106,-0.009420148963217098,-0.008868133358511035,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.27,900,30,3.6932560469385853,-0.008992370437532971,3.702248417376118,-22.885582763521413,5.812393790966864,0.0022838482479241124,7.612827493080375e-05,0.0007329389488105546,0.00013381573184588833,0.0002736531716248416,3.6929823937669606,3.69352970011021,0.0022838482479241116,7.612827493080372e-05,0.0007329389488105985,0.00013381573184589635,0.00027365317162485805,-0.00926602360915783,-0.008718717265908112,std_over_ref_units_sem_ci95_over_dataset_means,pass
0.05,0.28,900,30,3.5611762819211696,-0.008848977691516225,3.570025259612686,-22.520648224908793,5.738326982265341,0.002254745376135694,7.515817920452313e-05,0.0007202337755341531,0.00013149609517905603,0.0002689095146411696,3.5609073724065285,3.5614451914358107,0.0022547453761356936,7.515817920452312e-05,0.0007202337755341484,0.00013149609517905516,0.0002689095146411678,-0.009117887206157393,-0.008580068176875058,std_over_ref_units_sem_ci95_over_dataset_means,pass
