source,group,label,nmstv,radius,phi_energy_raw_mean,phi_energy_raw_sem,n_units
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.15,-0.0516183446908551,0.0005814091739615,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.2,-0.0833686031945037,0.0007680073226835,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.25,-0.1110671388641718,0.0008977435541143,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.3,-0.1305222753801291,0.0008639139892618,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.35,-0.142203499609711,0.0007322591416032,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.4,-0.1476755272512547,0.0006726849490914,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.45,-0.1513351858370041,0.0005825216776865,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.5,-0.1514072242964008,0.0004349333203509,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.55,-0.1518668223706897,0.0003906172217052,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.6,-0.1527492334350935,0.0003701146398438,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.65,-0.1528893784849718,0.0003469114163877,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.7,-0.1539775053743007,0.0003681291770662,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.75,-0.1541707152803452,0.0003037277883568,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.8,-0.1545445245407295,0.0003125710845203,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.85,-0.1550692763548014,0.0002704142026362,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.9,-0.155692145292668,0.0002133213109841,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,0.95,-0.1557749139592503,0.0002602506983519,90
flip,eta_0.35,flip eta 0.35,0.9336710414847296,1.0,-0.1572489706247645,0.0002426184206688,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.1,-0.0239392467297638,0.0003724416403091,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.15,-0.0549173707787933,0.0006439923188847,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.2,-0.0897746478940845,0.000987770342177,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.25,-0.1209590055450881,0.0010479466270748,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.3,-0.1404002390155277,0.0009440126976531,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.35,-0.1514401096965942,0.00081043774034,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.4,-0.1549150458384604,0.0006715160481647,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.45,-0.1565273467960903,0.0005651762458719,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.5,-0.1564350183048361,0.0004635012725553,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.55,-0.1570685993929181,0.0003909415026514,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.6,-0.1567040225685581,0.0003344443016235,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.65,-0.1563020084322457,0.0003120829688327,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.7,-0.1565012818168207,0.0003241342035564,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.75,-0.1574153273896,0.0002387005427224,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.8,-0.1570797932924107,0.0002358836494581,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.85,-0.1579336701858889,0.0002351536668914,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.9,-0.1582515674118013,0.0002200098684125,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,0.95,-0.1587671576688956,0.0002156138153634,90
flip,eta_0.40,flip eta 0.40,0.9686066224160286,1.0,-0.1591160610088801,0.0002043054342331,90
advanced,random_label,adv random,0.985558573825462,0.1,-0.026890111610131,0.0004048074201881,90
advanced,random_label,adv random,0.985558573825462,0.15,-0.0595165719994405,0.0008353771462088,90
advanced,random_label,adv random,0.985558573825462,0.2,-0.0936497828094032,0.0010911088997999,90
advanced,random_label,adv random,0.985558573825462,0.25,-0.1242940457698756,0.0011457985906709,90
advanced,random_label,adv random,0.985558573825462,0.3,-0.1430017588242921,0.0009814412822332,90
advanced,random_label,adv random,0.985558573825462,0.35,-0.1530207464916231,0.0008730022808579,90
advanced,random_label,adv random,0.985558573825462,0.4,-0.1577579889946393,0.0007370981105676,90
