cell_id,series,dataset_id,dataset_tag,seed,beta_ising,rewire_p,width,attempt_count,exact_attempt_count,mean_attempt_accuracy_percent,best_attempt_id,best_train_accuracy,best_train_accuracy_percent,best_cls_err,best_train_loss,is_exact_solution,early_stop_phase,early_stop_epoch,best_theta_path,best_theta_init_path
cell_beta_0p07_p_0p00,beta,1,dataset_001_seed_103234,103234,0.07,0.0,48,200,52,98.6103515625,118,1.0,100.0,0.0,0.002072219596309396,True,lbfgs,922,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_001_seed_103234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_001_seed_103234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,2,dataset_002_seed_203234,203234,0.07,0.0,48,200,62,98.0751953125,6,1.0,100.0,0.0,0.002002207023662122,True,lbfgs,350,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_002_seed_203234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_002_seed_203234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,3,dataset_003_seed_303234,303234,0.07,0.0,48,200,59,97.302734375,47,1.0,100.0,0.0,0.002231152807389853,True,lbfgs,346,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_003_seed_303234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_003_seed_303234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,4,dataset_004_seed_403234,403234,0.07,0.0,48,200,59,99.0615234375,107,1.0,100.0,0.0,0.0016576579047806685,True,lbfgs,524,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_004_seed_403234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_004_seed_403234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,5,dataset_005_seed_503234,503234,0.07,0.0,48,200,72,97.7978515625,167,1.0,100.0,0.0,0.0017942201851992767,True,lbfgs,516,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_005_seed_503234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_005_seed_503234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,6,dataset_006_seed_603234,603234,0.07,0.0,48,200,69,98.69140625,163,1.0,100.0,0.0,0.002070875518094206,True,lbfgs,1834,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_006_seed_603234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_006_seed_603234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,7,dataset_007_seed_703234,703234,0.07,0.0,48,200,62,98.5,119,1.0,100.0,0.0,0.0013498282623608,True,lbfgs,394,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_007_seed_703234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_007_seed_703234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,8,dataset_008_seed_803234,803234,0.07,0.0,48,200,53,98.2568359375,11,1.0,100.0,0.0,0.0021106118879685915,True,lbfgs,461,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_008_seed_803234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_008_seed_803234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,9,dataset_009_seed_903234,903234,0.07,0.0,48,200,61,98.2177734375,155,1.0,100.0,0.0,0.0022934015881129126,True,lbfgs,836,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_009_seed_903234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_009_seed_903234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,10,dataset_010_seed_1003234,1003234,0.07,0.0,48,200,63,97.3779296875,190,1.0,100.0,0.0,0.0016122087293356112,True,lbfgs,2090,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_010_seed_1003234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_010_seed_1003234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,11,dataset_011_seed_1103234,1103234,0.07,0.0,48,200,67,99.076171875,75,1.0,100.0,0.0,0.0022045668992359303,True,lbfgs,249,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_011_seed_1103234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_011_seed_1103234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,12,dataset_012_seed_1203234,1203234,0.07,0.0,48,200,57,98.2275390625,198,1.0,100.0,0.0,0.0019293794489867976,True,lbfgs,214,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_012_seed_1203234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_012_seed_1203234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,13,dataset_013_seed_1303234,1303234,0.07,0.0,48,200,54,98.4072265625,91,1.0,100.0,0.0,0.0016928956676876613,True,lbfgs,543,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_013_seed_1303234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_013_seed_1303234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,14,dataset_014_seed_1403234,1403234,0.07,0.0,48,200,58,97.796875,94,1.0,100.0,0.0,0.002014714488347164,True,lbfgs,891,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_014_seed_1403234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_014_seed_1403234/width_048/best_theta_init.npy
cell_beta_0p07_p_0p00,beta,15,dataset_015_seed_1503234,1503234,0.07,0.0,48,200,73,98.390625,138,1.0,100.0,0.0,0.0018132925925182803,True,lbfgs,718,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_015_seed_1503234/width_048/best_theta.npy,02_dnn/03_reference_search/raw_outputs/18_beta_cell_30_dataset_30_reference/selected_references/cell_beta_0p07_p_0p00/dataset_015_seed_1503234/width_048/best_theta_init.npy
